L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
128,4.0,0.0,1.0,1.0,0.0,0.31515725242759723,0.9546661696629988,true,59,-1.5297933663535335,0.1,0.1,1.240161887,0.0
128,4.0,0.2,1.0,1.0,0.0,0.31120016100399195,0.9710267832202524,true,58,-1.537471610372543,0.1,0.1,0.306644679,0.0
128,4.0,0.4,1.0,1.0,0.0,0.30712069126435004,0.9819854290162855,true,57,-1.5448875985065647,0.1,0.1,0.276944996,0.0
128,4.0,0.6,1.0,1.0,0.0,0.302928354514195,0.9874169012387135,true,56,-1.5520089719978487,0.1,0.1,0.464650688,0.0
128,4.0,0.8,1.0,1.0,0.0,0.298634141664019,0.9873607333494849,true,55,-1.5588060691804289,0.1,0.1,0.903086148,0.0
128,4.0,1.0,1.0,1.0,0.0,0.2942503387710679,0.9820209611611785,true,54,-1.565252648566504,0.1,0.1,0.299401777,0.0
128,4.0,1.2,1.0,1.0,0.0,0.28979029195324335,0.9717557353596806,true,53,-1.5713264987244757,0.1,0.1,0.255797895,0.0
128,4.0,1.4,1.0,1.0,0.0,0.2852681332059819,0.9570577582310724,true,52,-1.5770098999784747,0.1,0.1,0.234654045,0.0
128,4.0,1.6,1.0,1.0,0.0,0.28069848163634054,0.9385275003508387,true,51,-1.582289914201155,0.1,0.1,0.256454272,0.0
128,4.0,1.8,1.0,1.0,0.0,0.2760961361798035,0.9168418461055206,true,50,-1.5871584924774937,0.1,0.1,0.237214044,0.0
128,4.0,2.0,1.0,1.0,0.0,0.2714757758243125,0.8927211228846321,true,49,-1.591612404412667,0.1,0.1,0.244093496,0.0
128,4.0,2.2,1.0,1.0,0.0,0.26686333511102095,0.9891154993304507,true,47,-1.5956637332184567,0.1,0.1,0.224312807,0.0
128,4.0,2.4,1.0,1.0,0.0,0.2622503505525124,0.9620001374602838,true,46,-1.5992986801756173,0.1,0.1,0.356040433,0.0
128,4.0,2.6,1.0,1.0,0.0,0.2576600498235891,0.9345005737334544,true,45,-1.6025353493139112,0.1,0.1,0.653610434,0.0
128,4.0,2.8,1.0,1.0,0.0,0.253104228980586,0.9073071949879941,true,44,-1.6053862604638134,0.1,0.1,0.224902346,0.0
128,4.0,3.0,1.0,1.0,0.0,0.24859357989285888,0.8810461091122712,true,43,-1.6078665779895833,0.1,0.1,0.351391756,0.0
128,4.0,3.2,1.0,1.0,0.0,0.2441580138415898,0.996720452798805,true,41,-1.610019657496831,0.1,0.1,0.228248467,0.0
128,4.0,3.4,1.0,1.0,0.0,0.23976653419331873,0.9746020541064881,true,40,-1.6118153223452625,0.1,0.1,0.20754081,0.0
128,4.0,3.6,1.0,1.0,0.0,0.23544528249019703,0.9552492222851261,true,39,-1.6132963827215048,0.1,0.1,0.201146445,0.0
128,4.0,3.8,1.0,1.0,0.0,0.2312003020874489,0.9391325029441955,true,38,-1.6144832279434116,0.1,0.1,0.171604564,0.0
128,4.0,4.0,1.0,1.0,0.0,0.2270365674006164,0.9266909565546211,true,37,-1.6153964439156838,0.1,0.1,0.164521864,0.0
128,4.0,4.2,1.0,1.0,0.0,0.22295806262687445,0.9183499716344246,true,36,-1.6160564921438465,0.1,0.1,0.161434845,0.0
128,4.0,4.4,1.0,1.0,0.0,0.21896787074482696,0.9145414872535618,true,35,-1.6164834526612741,0.1,0.1,0.168189428,0.0
128,4.0,4.6,1.0,1.0,0.0,0.21506826822931024,0.9157265613506382,true,34,-1.6166968272520255,0.1,0.1,0.151486656,0.0
128,4.0,4.8,1.0,1.0,0.0,0.2112608218908357,0.9224205914193373,true,33,-1.61671539784453,0.1,0.1,0.151093875,0.0
128,4.0,5.0,1.0,1.0,0.0,0.20754648521447747,0.9352218940815171,true,32,-1.616557134300927,0.1,0.1,0.146409909,0.0
128,4.0,5.2,1.0,1.0,0.0,0.2039256924828458,0.9548447939587978,true,31,-1.6162391458690812,0.1,0.1,0.143511591,0.0
128,4.0,5.4,1.0,1.0,0.0,0.20039844980293653,0.9821588888440091,true,30,-1.6157776711507652,0.1,0.1,0.137282144,0.0
128,4.0,5.6,1.0,1.0,0.0,0.19691661873836147,0.8208047475149471,true,30,-1.615094914929127,0.1,0.1,0.137698953,0.0
128,4.0,5.8,1.0,1.0,0.0,0.19357046157968905,0.8528504272412585,true,29,-1.6143802492276076,0.1,0.1,0.13508164,0.0
128,4.0,6.0,1.0,1.0,0.0,0.1903153117301626,0.8937733743024645,true,28,-1.6135639032274605,0.1,0.1,0.13227744,0.0
128,4.0,0.0,1.0,2.0,0.0,0.3745517252057513,0.9867445561081434,true,61,-1.035940944199579,0.1,0.1,0.983186303,0.0
128,4.0,0.2,1.0,2.0,0.0,0.37255273767059277,0.9489267259590317,true,61,-1.0397929125650882,0.1,0.1,0.490420155,0.0
128,4.0,0.4,1.0,2.0,0.0,0.3703738201009815,0.9062743889235447,true,61,-1.0436688492273891,0.1,0.1,0.394002036,0.0
128,4.0,0.6,1.0,2.0,0.0,0.3679996488175738,0.9561341900655718,true,60,-1.0475465895042166,0.1,0.1,0.307443174,0.0
128,4.0,0.8,1.0,2.0,0.0,0.36541197647027296,0.8981991320010652,true,60,-1.0513984743168934,0.1,0.1,0.557818231,0.0
128,4.0,1.0,1.0,2.0,0.0,0.36259688608091123,0.9317549342794385,true,59,-1.05519276121789,0.1,0.1,0.555658695,0.0
128,4.0,1.2,1.0,2.0,0.0,0.3595378792701114,0.9574026697801719,true,58,-1.0588913544015484,0.1,0.1,0.673098985,0.0
128,4.0,1.4,1.0,2.0,0.0,0.3562210569975143,0.973355987179847,true,57,-1.062451135859963,0.1,0.1,0.536459951,0.0
128,4.0,1.6,1.0,2.0,0.0,0.35263508786327846,0.9780080581618389,true,56,-1.0658243067045325,0.1,0.1,0.261412149,0.0
128,4.0,1.8,1.0,2.0,0.0,0.34877225822120184,0.970113538880879,true,55,-1.0689595182280789,0.1,0.1,0.243341364,0.0
128,4.0,2.0,1.0,2.0,0.0,0.34462953088258497,0.9489767404190497,true,54,-1.0718035874105563,0.1,0.1,0.241079357,0.0
128,4.0,2.2,1.0,2.0,0.0,0.3402094926164587,0.9146140758850008,true,53,-1.0743037644294853,0.1,0.1,0.237637232,0.0
128,4.0,2.4,1.0,2.0,0.0,0.33553132934214774,0.9871237190731685,true,51,-1.076421254968379,0.1,0.1,0.72375963,0.0
128,4.0,2.6,1.0,2.0,0.0,0.33059124301867626,0.9259352587037695,true,50,-1.0780930062966627,0.1,0.1,0.902140964,0.0
128,4.0,2.8,1.0,2.0,0.0,0.32543452642549653,0.9820663842745603,true,48,-1.079310252361886,0.1,0.1,0.268551912,0.0
128,4.0,3.0,1.0,2.0,0.0,0.3200610639005756,0.8981131531867748,true,47,-1.0800156652089363,0.1,0.1,0.329182153,0.0
128,4.0,3.2,1.0,2.0,0.0,0.3145350574311087,0.9414392258489945,true,45,-1.0802382288395003,0.1,0.1,0.248064421,0.0
128,4.0,3.4,1.0,2.0,0.0,0.308877633094848,0.9876658238797686,true,43,-1.0799614170794416,0.1,0.1,0.215256484,0.0
128,4.0,3.6,1.0,2.0,0.0,0.3030985256369748,0.8815653639433485,true,42,-1.0791553437945334,0.1,0.1,0.222875765,0.0
128,4.0,3.8,1.0,2.0,0.0,0.297284140411846,0.9277959290904247,true,40,-1.0779185550412844,0.1,0.1,0.176721982,0.0
128,4.0,4.0,1.0,2.0,0.0,0.2914475420398373,0.9868220199340527,true,38,-1.0762494732478014,0.1,0.1,0.44624632,0.0
128,4.0,4.2,1.0,2.0,0.0,0.2855823790209405,0.8781845765351015,true,37,-1.0741152013111517,0.1,0.1,0.406181927,0.0
128,4.0,4.4,1.0,2.0,0.0,0.27979104681348416,0.9551346340828104,true,35,-1.0716858724940521,0.1,0.1,0.155945985,0.0
128,4.0,4.6,1.0,2.0,0.0,0.27401897777126044,0.8571130660055548,true,34,-1.06885607143417,0.1,0.1,0.165077536,0.0
128,4.0,4.8,1.0,2.0,0.0,0.26837701319681706,0.9656141388806327,true,32,-1.0658396494777853,0.1,0.1,0.148298957,0.0
128,4.0,5.0,1.0,2.0,0.0,0.2627850050120548,0.8830181253935976,true,31,-1.062483688968905,0.1,0.1,0.147546269,0.0
128,4.0,5.2,1.0,2.0,0.0,0.2573063266523198,0.8131954519154938,true,30,-1.0589232745526276,0.1,0.1,0.14015755,0.0
128,4.0,5.4,1.0,2.0,0.0,0.25201606480116323,0.9819018554894088,true,28,-1.0553361163066897,0.1,0.1,0.132902226,0.0
128,4.0,5.6,1.0,2.0,0.0,0.24679595249822062,0.934619086914279,true,27,-1.0514812574496046,0.1,0.1,0.129787051,0.0
128,4.0,5.8,1.0,2.0,0.0,0.2417147168666077,0.901247788345827,true,26,-1.047524248620944,0.1,0.1,0.140911675,0.0
128,4.0,6.0,1.0,2.0,0.0,0.23677618688700958,0.8818879663768375,true,25,-1.0434929125762409,0.1,0.1,0.108940182,0.0
128,4.0,0.0,1.0,10.0,0.0,0.40339630711642693,0.9813713199191554,true,62,-0.8235635385694293,0.1,0.1,0.989939874,0.0
128,4.0,0.2,1.0,10.0,0.0,0.40325298043748037,0.9787924935957815,true,62,-0.8238387825243658,0.1,0.1,0.341389751,0.0
128,4.0,0.4,1.0,10.0,0.0,0.403092229055504,0.9756766708486353,true,62,-0.8241216010072037,0.1,0.1,0.407576726,0.0
128,4.0,0.6,1.0,10.0,0.0,0.402911085424193,0.9718987124522904,true,62,-0.8244111483661453,0.1,0.1,0.309252222,0.0
128,4.0,0.8,1.0,10.0,0.0,0.40270592421183793,0.9672993193944324,true,62,-0.8247061051855114,0.1,0.1,0.328315422,0.0
128,4.0,1.0,1.0,10.0,0.0,0.40247228151595105,0.9616742635768505,true,62,-0.8250044930535555,0.1,0.1,0.310217581,0.0
128,4.0,1.2,1.0,10.0,0.0,0.4022046147215883,0.9547598192045648,true,62,-0.8253034142677093,0.1,0.1,0.73720312,0.0
128,4.0,1.4,1.0,10.0,0.0,0.40189598050172215,0.9462129735159364,true,62,-0.825598683200306,0.1,0.1,0.368657903,0.0
128,4.0,1.6,1.0,10.0,0.0,0.40153759898748076,0.9355844980424299,true,62,-0.825884299927802,0.1,0.1,0.283070576,0.0
128,4.0,1.8,1.0,10.0,0.0,0.4011182585061065,0.9222823818297865,true,62,-0.8261516923052444,0.1,0.1,0.283764621,0.0
128,4.0,2.0,1.0,10.0,0.0,0.4006234958602369,0.9055226106986503,true,62,-0.8263886157017922,0.1,0.1,0.286291704,0.0
128,4.0,2.2,1.0,10.0,0.0,0.40003534788024636,0.9844886990686419,true,61,-0.8265783434512574,0.1,0.1,0.294385613,0.0
128,4.0,2.4,1.0,10.0,0.0,0.39932747539963453,0.9549047249040044,true,61,-0.8266944296439707,0.1,0.1,1.098970301,0.0
128,4.0,2.6,1.0,10.0,0.0,0.3984675971299769,0.9169259261370133,true,61,-0.8267011632615924,0.1,0.1,0.331016307,0.0
128,4.0,2.8,1.0,10.0,0.0,0.3974136601349649,0.9690757445298681,true,60,-0.826548451854397,0.1,0.1,0.365231629,0.0
128,4.0,3.0,1.0,10.0,0.0,0.39610271980411627,0.9002627382656003,true,60,-0.8261562937027648,0.1,0.1,0.323318313,0.0
128,4.0,3.2,1.0,10.0,0.0,0.3944605813819113,0.9104750940808204,true,59,-0.8254215662424464,0.1,0.1,0.29701766,0.0
128,4.0,3.4,1.0,10.0,0.0,0.3923862834374467,0.9986783486312101,true,57,-0.8241947418659374,0.1,0.1,0.268635993,0.0
128,4.0,3.6,1.0,10.0,0.0,0.3897365911032775,0.9269024473863574,true,56,-0.8222483088533734,0.1,0.1,0.266871341,0.0
128,4.0,3.8,1.0,10.0,0.0,0.3863660609994709,0.9070162151672001,true,54,-0.8193231725632605,0.1,0.1,0.242357767,0.0
128,4.0,4.0,1.0,10.0,0.0,0.3821174648934619,0.933726819398295,true,51,-0.8151083609042894,0.1,0.1,0.235867893,0.0
128,4.0,4.2,1.0,10.0,0.0,0.376850120699868,0.8766803981111737,true,48,-0.8092741215637955,0.1,0.1,0.221758154,0.0
128,4.0,4.4,1.0,10.0,0.0,0.37054924282016777,0.8885459762600911,true,44,-0.8016633708328014,0.1,0.1,0.261250658,0.0
