L,U,V,t,β,δ,m,uS,ud,vx,vy,Qm,QuS,Qud,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,-3.8163916471489756e-17,0.0,0.0,0.1953125,0.5961535021183906,0.19531250000000008,0.1953125,0.1953125,true,11,-1.6212287122694493,0.5,0.5,0.891143984,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198513482,-3.2446542477804208e-6,-3.3406996228252563e-6,-3.327161882801945e-6,0.1953125,0.5963285579340116,0.057051308584474235,0.06195740353272937,0.06170608908397429,true,11,-1.604807555900937,0.5,0.5,0.225846277,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.4052291975256934,-1.4023545371194546e-6,-1.624339564930967e-6,-1.5984171947881065e-6,0.1953125,0.5967937024409231,0.013608486111389609,0.01650006183520911,0.01623671723692573,true,11,-1.5883864560932257,0.5,0.5,0.210272583,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.40522842132485837,-3.366873334610665e-7,-4.566960183939178e-7,-4.408714936950369e-7,0.1953125,0.5974639427992479,0.002382485777349219,0.0033617123701912177,0.0032452278894301028,true,11,-1.5719654170278747,0.5,0.5,0.214172807,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758589739427,-4.455627420490993e-8,-7.596057805992052e-8,-7.148510261528936e-8,0.1953125,0.5982827885450126,0.00025670210951837097,0.0004528498982003772,0.0004261686909600806,true,11,-1.5555444432924335,0.5,0.5,0.215549622,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.4052266852269586,-2.389249770251567e-9,-5.944745907157982e-9,-5.423996398156291e-9,0.1953125,0.5992186148127132,1.1878036300239504e-5,3.044568607898779e-5,2.7778696326951392e-5,true,11,-1.5391235399335415,0.5,0.5,0.216997942,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571253471207,-1.951288436385923e-11,-1.1101036577956317e-10,-9.774288273172135e-11,0.1953125,0.6002526730368718,8.67177580286295e-8,5.062944021065307e-7,4.4578426557775003e-7,true,11,-1.52270271251801,0.5,0.5,0.211878918,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601656315,-3.469446951953614e-17,-2.276406510456833e-14,-1.9246690071224323e-14,0.1953125,0.6013722740918492,1.0566905423586848e-13,9.469504781524646e-11,8.006334252638363e-11,true,11,-1.506281967198509,0.5,0.5,0.212780993,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.4052235194546392,-1.3691478506494548e-13,-4.18404827618614e-15,-3.59616830762653e-15,0.1953125,0.602570307796757,5.179131320857955e-10,1.6145178662967828e-11,1.3876690438860293e-11,true,11,-1.489861310789957,0.5,0.5,0.210976743,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.4052222805692067,3.2815705014455077e-11,-2.0392805460854105e-11,-1.926225496627081e-11,0.1953125,0.6038420850188464,1.168943060701538e-7,7.390728801277859e-8,6.98099645642555e-8,true,11,-1.4734407508579195,0.5,0.5,0.227642628,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.40522093232394785,8.305463088109644e-9,1.5606690485360742e-9,6.135615752510668e-10,0.1953125,0.6051864114605676,2.8112086502724855e-5,5.362764257328917e-6,2.108317650775143e-6,true,11,-1.4570202958209335,0.5,0.5,0.217963124,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.40521946196152064,1.9670796109344524e-7,8.832819221063073e-8,4.3264400476031224e-8,0.1953125,0.6066049743883584,0.0006371737136915442,0.0002898996916280336,0.00014199699389212995,true,11,-1.4405999550694026,0.5,0.5,0.211808913,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.40521785489215256,1.9806411624793963e-6,1.3511242670767705e-6,6.005900646563262e-7,0.1953125,0.6081040271204152,0.006174518783120411,0.004260564677966291,0.0018938713610493476,true,11,-1.4241797391234283,0.5,0.5,0.209375811,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4052160943448905,1.1940916466151447e-5,1.1384793661815272e-5,4.2440582128207675e-6,0.1953125,0.6096991248994987,0.03598997145316525,0.03465697969633911,0.0129196138312968,true,11,-1.4077596608045524,0.5,0.5,0.209632032,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.405214160063589,4.89525438102309e-5,6.650904663542086e-5,1.9102305623065038e-5,0.1953125,0.6114355829206497,0.14318338744843837,0.1962196729311231,0.056358322369227526,true,11,-1.3913397614978602,0.5,0.5,0.214225814,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4052120145130786,0.00013567129939991499,0.00030081033217970127,5.73864687842333e-5,0.1953125,0.6134641212843794,0.3862886576444332,0.8629191410312654,0.16463314308077528,true,11,-1.3749205224526275,0.5,0.5,0.218998312,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.4052096422253819,-5.059054633279464e-5,-0.00027291899219605625,-2.2707060432043445e-5,0.006103515625,0.019327128786050807,0.14061722758808157,0.7633388343708443,0.063509349373744,true,16,-1.3585008175900322,0.5,0.5,0.305154877,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.40520703018438337,-0.00010046290399821911,0.0003254235720562734,-1.1792412538071153e-5,2.9802322387695312e-6,5.003338854336903e-5,0.27314457209864074,0.8895618408335151,0.032234081848409576,true,27,-1.3420817358924069,0.5,0.5,0.520446581,0.0
128,0.0,1.8,1.0,100.0,0.0,0.0,0.4052018492474041,NaN,NaN,NaN,3.155443620884047e-28,4.438337353196431e-5,9.854782637945718,2.1752569299027864,0.23814701127784646,false,100,NaN,0.5,0.5,1.892609903,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,NaN,NaN,NaN,5.3646611862500353e-8,3.155443620884047e-28,0.0014670407106898153,45.44707102335239,61.075080503071945,0.00014708955119211833,false,100,NaN,0.5,0.5,1.909757748,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,NaN,NaN,-7.023917053328199e-12,NaN,3.155443620884047e-28,0.01077192544807204,73.80651873933935,1.9488795471379097e-8,104.17950566909853,false,100,NaN,0.5,0.5,1.890302048,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,NaN,NaN,-3.8134295777352e-17,NaN,3.155443620884047e-28,0.03238450609166499,102.55760347057047,1.0698749816590725e-13,145.03422564292998,false,100,NaN,0.5,0.5,1.875236013,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,NaN,NaN,2.179259658390948e-22,NaN,3.155443620884047e-28,0.06968179762689708,131.46524608569365,4.426769863399365e-16,185.92270669632805,false,100,NaN,0.5,0.5,1.871192194,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,NaN,NaN,2.1299008754782362e-19,NaN,3.155443620884047e-28,0.12710600311327536,160.83517558421843,3.522647626707323e-17,227.46362888640604,false,100,NaN,0.5,0.5,1.931511063,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,NaN,NaN,-9.135895855535533e-20,NaN,3.155443620884047e-28,0.21169324827141622,190.55582860146768,6.290666169405047e-16,269.5031618253061,false,100,NaN,0.5,0.5,1.888828328,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,NaN,NaN,-2.4301905975368063e-19,NaN,3.155443620884047e-28,0.3324486437492613,220.30288040450597,5.988334340231829e-16,311.5792734974213,false,100,NaN,0.5,0.5,1.869942474,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,NaN,NaN,1.1483746020001073e-19,NaN,3.155443620884047e-28,0.497941615186126,249.66876437898767,4.1883286968422437e-16,353.112102625638,false,100,NaN,0.5,0.5,1.878909938,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,NaN,NaN,-2.5868014342410336e-19,NaN,3.155443620884047e-28,0.7146589862707664,278.25582154260337,3.466058075938615e-16,393.5402320543124,false,100,NaN,0.5,0.5,1.871199613,0.0
128,0.0,2.8,1.0,100.0,0.0,0.0,NaN,NaN,3.394381920747843e-19,NaN,3.155443620884047e-28,0.9867137817509697,305.73885889659823,5.9719458021862295e-16,432.40893652121207,false,100,NaN,0.5,0.5,1.882296255,0.0
128,0.0,2.9,1.0,100.0,0.0,0.0,NaN,NaN,-2.911369592497319e-19,NaN,3.155443620884047e-28,1.3161906284182567,331.88833485873334,8.296157838003536e-16,469.3988312145505,false,100,NaN,0.5,0.5,1.864537792,0.0
128,0.0,3.0,1.0,100.0,0.0,0.0,NaN,NaN,4.716728698019961e-19,NaN,3.155443620884047e-28,1.7036355660697833,356.5674621209023,7.384612220112366e-16,504.3169330419521,false,100,NaN,0.5,0.5,1.884877804,0.0
128,0.0,3.1,1.0,100.0,0.0,0.0,NaN,NaN,3.786820245460533e-19,NaN,3.155443620884047e-28,2.1486691178869144,379.7199189365019,4.443999578983985e-16,537.0727753804912,false,100,NaN,0.5,0.5,1.885060436,0.0
128,0.0,3.2,1.0,100.0,0.0,0.0,NaN,NaN,8.041590231241438e-20,NaN,3.155443620884047e-28,2.6507349116768886,401.35370145749795,3.803118252278349e-16,567.6523191265653,false,100,NaN,0.5,0.5,1.873810416,0.0
128,0.0,3.3,1.0,100.0,0.0,0.0,NaN,NaN,-3.532939633864566e-19,NaN,3.155443620884047e-28,3.2092658155479237,421.51126981429377,9.29966728755069e-16,596.0984667985451,false,100,NaN,0.5,0.5,1.866634935,0.0
128,0.0,3.4,1.0,100.0,0.0,0.0,NaN,NaN,2.3694037203456786e-19,NaN,3.155443620884047e-28,3.821909387319522,440.2242822567243,4.62233037226438e-16,622.5024877559558,false,100,NaN,0.5,0.5,1.885294107,0.0
128,0.0,3.5,1.0,100.0,0.0,0.0,NaN,NaN,2.0794030186071533e-19,NaN,3.155443620884047e-28,4.482832924576852,457.51115937650553,5.536610155954691e-16,646.9903860511279,false,100,NaN,0.5,0.5,1.892059387,0.0
128,0.0,3.6,1.0,100.0,0.0,0.0,NaN,NaN,4.5724026661033703e-20,NaN,3.155443620884047e-28,5.189659035685024,473.4859695544102,6.940325496132938e-16,669.676299567948,false,100,NaN,0.5,0.5,1.888317593,0.0
128,0.0,3.7,1.0,100.0,0.0,0.0,NaN,NaN,5.603853092629812e-19,NaN,3.155443620884047e-28,5.950464211482931,488.3559285278349,8.136336423834142e-16,690.6467675388133,false,100,NaN,0.5,0.5,1.897608784,0.0
128,0.0,3.8,1.0,100.0,0.0,0.0,NaN,NaN,-9.080008123672243e-20,NaN,3.155443620884047e-28,6.761044950878592,502.12878202250187,7.385084745520207e-17,710.0522786768663,false,100,NaN,0.5,0.5,1.932814836,0.0
128,0.0,3.9,1.0,100.0,0.0,0.0,NaN,NaN,-1.3561404815151525e-19,NaN,3.155443620884047e-28,7.605988639274974,514.7757041111917,1.0073662137981013e-16,728.0572102655776,false,100,NaN,0.5,0.5,1.899748996,0.0
128,0.0,4.0,1.0,100.0,0.0,0.0,NaN,NaN,5.658353404138718e-19,NaN,3.155443620884047e-28,8.505303408776198,526.5897274325142,1.416109473590472e-15,744.7008872605618,false,100,NaN,0.5,0.5,1.87548419,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,1.3877787807814457e-17,0.0,0.0,0.8967438423698746,0.00035243725182709795,5.9604644704261906e-6,5.9604644775390625e-6,5.9604644775390625e-6,true,26,-1.621228508634671,0.5,0.5,0.48733904,0.0
128,0.5,0.1,1.0,100.0,0.0,0.0014115393239169226,0.4052296972028845,-1.4922754004720318e-11,-1.66923456061969e-11,-1.6644213765366668e-11,0.9720123889705862,0.0004285945431892202,2.6246712702445564e-7,3.0964980132708907e-7,3.087569360944519e-7,true,26,-1.604807300898873,0.5,0.5,0.492701787,0.0
128,0.5,0.2,1.0,100.0,0.0,0.0014111692498297232,0.40522897206058195,-2.4780871799023885e-13,-3.536843062709127e-13,-3.496021959030622e-13,0.9204599051163163,0.00039479713331846966,2.405372816629858e-9,3.593401681844849e-9,3.5519277967965994e-9,true,27,-1.5883862113738048,0.5,0.5,0.520469106,0.0
128,0.5,0.3,1.0,100.0,0.0,0.0016229250721346766,0.40522811959768323,-3.066991105526995e-15,-6.0344843536233196e-15,-5.8781059527170834e-15,0.9993412309714754,0.0004877389423452172,2.176176460118649e-11,4.442893174963573e-11,4.327759471835989e-11,true,27,-1.5719651072720477,0.5,0.5,0.507642337,0.0
128,0.5,0.4,1.0,100.0,0.0,0.0016644302634059166,0.40522726446456725,-0.0,-7.38524079684498e-18,-7.046072192536042e-18,0.9631658497090871,0.0004744616601826124,2.37221637462767e-15,4.4036491513320344e-14,4.201410716918143e-14,true,28,-1.5555441327293198,0.5,0.5,0.532086278,0.0
