L,U,V,t,β,δ,m,uS,vS,Qm,QuS,QvS,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.0,0.1953125,0.5961535021183906,0.1953125,true,11,-1.6212287122694493,0.5,0.5,0.778301407,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198521516,-1.6397639673494413e-6,0.1953125,0.5961623791828075,0.16186252062408624,true,11,-1.6048075558975314,0.5,0.5,0.152729563,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.4052291975166651,-2.6861971178947017e-6,0.1953125,0.596207234959012,0.13258063391604644,true,11,-1.5883864560929406,0.5,0.5,0.246861585,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.4052284213083204,-3.2581220277724006e-6,0.1953125,0.5962859140564714,0.10720760816572265,true,11,-1.5719654170310522,0.5,0.5,0.122378819,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758587452135,-3.463196402476383e-6,0.1953125,0.5963964589406068,0.08546809415279863,true,11,-1.5555444432976462,0.5,0.5,0.11211682,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.40522668519723226,-3.3972291231697074e-6,0.1953125,0.5965370853034946,0.06707322235031955,true,11,-1.5391235399399625,0.5,0.5,0.193753739,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.4052257124959502,-3.1436847854149973e-6,0.1953125,0.596706157500626,0.05172370306020865,true,11,-1.5227027125247607,0.5,0.5,0.109107002,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601138329,-2.773411816310646e-6,0.1953125,0.5969021641402117,0.03911342160873905,true,11,-1.5062819672047831,0.5,0.5,0.828744573,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.4052235193839342,-2.344626720753535e-6,0.1953125,0.5971236938009383,0.028933497378831056,true,11,-1.4898613107952055,0.5,0.5,0.129251378,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.40522228047182973,-1.903181813055642e-6,0.1953125,0.597369410723303,0.020876746284905035,true,11,-1.4734407508619067,0.5,0.5,0.138597001,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.4052209321900835,-1.4831353431492097e-6,0.1953125,0.5976380301674356,0.014642451263841677,true,11,-1.4570202958236917,0.5,0.5,0.127995656,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.40521946177896906,-1.107630700639972e-6,0.1953125,0.5979282929645668,0.009941305060660129,true,11,-1.440599955071001,0.5,0.5,0.111073338,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4052178546465752,-7.900750335060404e-7,0.1953125,0.5982389386143261,0.006500345600435075,true,11,-1.4241797391041096,0.5,0.5,0.102959172,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4052160940598076,-5.35587167062994e-7,0.1953125,0.5985686760793252,0.004067659512798665,true,11,-1.4077596596944597,0.5,0.5,0.110250651,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.4052141607757619,-3.4266075951972107e-7,0.1953125,0.5989161511994467,0.002416588711197749,true,11,-1.3913397300735062,0.5,0.5,0.130176968,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.40521203260035954,-2.0496267097059176e-7,0.1953125,0.5992799093896828,0.0013491454068894969,true,11,-1.3749199651544588,0.5,0.5,0.109472036,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.40520968385782824,-1.131612408818364e-7,0.1953125,0.5996583519490839,0.0006983321760569913,true,11,-1.3585003817934693,0.5,0.5,0.110297299,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.40520708475034173,-5.6658724870011266e-8,0.1953125,0.6000496838991509,0.0003290876438773905,true,11,-1.3420809990983553,0.5,0.5,0.110085526,0.0
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40520420058157597,-2.5092241350206974e-8,0.1953125,0.6004518506971257,0.00013764813626437555,true,11,-1.325661838794844,0.5,0.5,0.119864546,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.40520099081063354,-9.475090463463076e-9,0.1953125,0.600862460408802,4.9242851200089973e-5,true,11,-1.3092429256627547,0.5,0.5,0.110003951,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.4051974078931003,-2.882017673599646e-9,0.1953125,0.6012786868765385,1.4229528942403207e-5,true,11,-1.2928242880576482,0.5,0.5,0.112213351,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.4051933958530043,-6.42008102600256e-10,0.1953125,0.6016971479442246,3.0189506624375105e-6,true,11,-1.2764059585375123,0.5,0.5,0.132460562,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,0.40518888851183726,-8.760355335516208e-11,0.1953125,0.6021137507499219,3.9322878721515444e-7,true,11,-1.2599879746193146,0.5,0.5,0.118608415,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.4051838072766639,-4.877410366170319e-12,0.1953125,0.6025234931916756,2.0942079650455098e-8,true,11,-1.243570379697227,0.5,0.5,0.133913313,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.40517805835584364,-2.7594073415958887e-14,0.1953125,0.6029202065207517,1.1354701577638047e-10,true,11,-1.2271532241636183,0.5,0.5,0.829068469,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.4051715292238086,5.9439407557207655e-19,0.1953125,0.6032962180160251,2.3481144354730757e-15,true,11,-1.2107365667864756,0.5,0.5,0.119299364,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,0.40516408408925675,2.779919190359235e-15,0.1953125,0.603641903900165,1.0559862036460864e-11,true,11,-1.1943204764140911,0.5,0.5,0.138990136,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,0.4051555580241654,4.744087992665536e-13,0.1953125,0.6039450896002663,1.7354182947876718e-9,true,11,-1.1779050341016462,0.5,0.5,0.275356463,0.0
