L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,-3.8163916471489756e-17,0.0,0.0,0.1953125,0.5961535021183906,0.19531250000000008,0.1953125,0.1953125,true,11,-1.6212287122694493,0.5,0.5,0.627923056,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198511652,-3.2602033177633882e-6,-1.6374596848459279e-6,-6.12433223971466e-7,0.1953125,0.5963455159254671,0.05732468620465441,0.16163501646818257,0.004904757934010557,true,11,-1.60480755589878,0.5,0.5,0.186607928,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.4052291975176233,-1.425903172019155e-6,-2.6749505503703548e-6,-1.4539742609640145e-9,0.1953125,0.5968057131939819,0.01383700241372266,0.13202554937064964,7.175994218475488e-6,true,11,-1.5883864560934404,0.5,0.5,0.176836272,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.40522842131195347,-3.4681937605141044e-7,-3.2338795080345863e-6,1.0303901969967705e-11,0.1953125,0.5974438619750222,0.002454182676767485,0.10640992396912063,4.9365374084613376e-8,true,11,-1.5719654170310522,0.5,0.5,0.176862268,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758588264396,-4.658123669773473e-8,-3.425412229091919e-6,3.984955194927839e-9,0.1953125,0.5982183699022592,0.000268368604578221,0.08453563535477061,1.3725933532978245e-5,true,11,-1.5555444432975343,0.5,0.5,0.177452678,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.40522668521236227,-2.5299049070948154e-9,-3.3480885766671674e-6,1.610047750547001e-6,0.1953125,0.5991078194786947,1.260166451333563e-5,0.06610303680481193,0.005054930147359155,true,11,-1.539123539943349,0.5,0.5,0.177001172,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.4052257124511295,3.7353138637730154e-10,-3.0871506663672483e-6,3.7857499504157505e-5,0.1953125,0.60009935869898,1.2251838401097911e-6,0.05079356122350521,0.11116587162764278,true,11,-1.5227027152211312,0.5,0.5,0.179679431,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601014564,-3.3052603362615507e-10,-2.7142561312540923e-6,-3.2713734183910414e-5,0.1953125,0.6011810800399253,1.0646715062573395e-6,0.03827917774460597,0.0913102231633354,true,11,-1.5062819698474785,0.5,0.5,0.177257294,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522350541035534,1.3877787807814457e-17,1.2705494208814505e-21,-0.00037239781014265533,6.462348535570529e-25,2.1490481616481816e-6,5.603588066132421e-14,3.167459914427549e-18,0.9988125140816492,true,89,-1.48986174701618,0.5,0.5,1.445707223,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.40515096771712794,3.469446951953614e-18,5.421010862427522e-20,NaN,3.155443620884047e-28,1.1102230246251565e-13,1.3115450679015928e-15,1.2528259696608618e-16,92.48385677814221,false,100,NaN,0.5,0.5,1.618054038,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.405035487530503,0.0,0.0,NaN,3.155443620884047e-28,0.0,9.251858538525709e-15,7.228014483345011e-17,137.0450338267512,false,100,NaN,0.5,0.5,1.634748886,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.40487965470193543,0.0,5.421010862427522e-20,NaN,3.155443620884047e-28,0.0,3.9650822308039405e-15,1.445602896647444e-16,172.5031431009718,false,100,NaN,0.5,0.5,1.623587811,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4046731082145526,0.0,-1.0842021724855044e-19,NaN,3.155443620884047e-28,0.0,2.79919486965271e-29,2.8912057932946793e-16,205.0387521237307,false,100,NaN,0.5,0.5,1.620303232,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4044054487255795,-6.938893903907228e-18,-8.673617379884035e-19,NaN,3.155443620884047e-28,0.0,6.162975822039155e-30,2.1684043449710104e-15,236.56707645792847,false,100,NaN,0.5,0.5,1.635926853,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.40406697201343245,-6.938893903907228e-18,5.421010862427522e-19,NaN,3.155443620884047e-28,0.0,7.930164461608185e-15,1.3974161334257536e-15,267.70422348727374,false,100,NaN,0.5,0.5,1.619603949,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4036488976381464,-3.469446951953614e-18,-2.168404344971009e-19,NaN,3.155443620884047e-28,0.0,4.96119553674152e-28,5.782411586589236e-16,298.57581700181066,false,100,NaN,0.5,0.5,1.62365828,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.40314324448204936,3.469446951953614e-18,2.168404344971009e-19,NaN,3.155443620884047e-28,1.1102230246251565e-13,1.5407439555097887e-30,5.782411586589336e-16,329.1384343977781,false,100,NaN,0.5,0.5,1.623704371,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.4025426416554374,-6.938893903907228e-18,2.168404344971009e-19,NaN,3.155443620884047e-28,0.0,9.25185853854294e-15,2.8912057932947543e-16,359.3070047247395,false,100,NaN,0.5,0.5,1.62612409,0.0
