L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.8104611861692472,0.0,0.0,0.6938097521183018,0.09765625,0.09765625,12,-1.6212287122694495,0.5,0.5,1.391761129,0.0
128,0.0,0.1,1.0,100.0,0.0,0.8104583941253993,1.2956291817945912e-6,-1.3234889800848443e-22,0.6938030595267097,0.12011944326303022,0.09765625,12,-1.6212285965218562,0.5,0.5,0.162427921,0.0
128,0.0,0.2,1.0,100.0,0.0,0.8104551696127308,3.43957446634746e-6,9.529120656610879e-22,0.6938391754369722,0.14912857708040655,0.09765625,12,-1.6212282014877297,0.5,0.5,0.153304695,0.0
128,0.0,0.3,1.0,100.0,0.0,0.8104514211548808,6.950546390264616e-6,6.352747104407253e-22,0.6939316464440459,0.18700574148400376,0.09765625,12,-1.6212274384268084,0.5,0.5,0.156468085,0.0
128,0.0,0.4,1.0,100.0,0.0,0.810447032513621,1.2690068153988599e-5,4.0234064994579266e-21,0.6941016496857522,0.23704351216098732,0.09765624999999999,12,-1.6212261892982145,0.5,0.5,0.150352846,0.0
128,0.0,0.5,1.0,100.0,0.0,0.8104418544746803,2.2116400289357585e-5,8.046812998915853e-21,0.6943837044666168,0.3039684821515775,0.09765625000000004,12,-1.6212242957230945,0.5,0.5,0.145011572,0.0
128,0.0,0.6,1.0,100.0,0.0,0.8104356932818184,3.775177635026649e-5,0.0,0.6948367426971025,0.39464841080322993,0.09765625000000004,12,-1.6212215431240207,0.5,0.5,0.147584184,0.0
128,0.0,0.7,1.0,100.0,0.0,0.8104282938228209,6.406707508768616e-5,1.1858461261560205e-20,0.6955666076016165,0.51917443008995,0.09765624999999999,12,-1.621217637442122,0.5,0.5,0.156384173,0.0
128,0.0,0.8,1.0,100.0,0.0,0.8104193137734841,0.00010921100748921417,2.371692252312041e-20,0.6967741250960557,0.6925081839570711,0.09765625000000014,12,-1.6212121697366277,0.5,0.5,0.154134511,0.0
128,0.0,0.9,1.0,100.0,0.0,0.8104082795641883,0.00018851215411419016,6.776263578034403e-21,0.6988632894884272,0.9369304790753198,0.09765625000000007,12,-1.6212045587880954,0.5,0.5,0.145678448,0.0
