L,U,V,t,β,δ,uS,wd,QuS,Qwd,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.8104611861692472,0.0,0.6938097521183018,0.09765625,12,-1.6212287122694495,0.5,0.5,1.357848159,0.0
128,0.0,0.1,1.0,100.0,0.0,0.8104583873589926,0.0002539416474993776,0.34720510714336683,0.9985424784586358,13,-1.6212285916989775,0.5,0.5,0.18355704,0.0
128,0.0,0.2,1.0,100.0,0.0,0.8104550680572138,0.001009199345974177,0.0004291052349003621,0.896784620442374,24,-1.621228122375486,0.5,0.5,0.314162943,0.0
128,0.0,0.3,1.0,100.0,0.0,0.8103592298339439,0.02881769720021897,0.007132253534436472,0.9768649344595661,28,-1.6212110502893409,0.5,0.5,0.379096889,0.0
128,0.0,0.4,1.0,100.0,0.0,0.8096950020543321,0.06709404827032077,0.19891118845904998,0.8347105496219198,14,-1.621267579770135,0.5,0.5,0.17942837,0.0
128,0.0,0.5,1.0,100.0,0.0,0.8084340704440076,0.09559927702001664,0.6429507413456825,0.8300531796808786,12,-1.6214745810479028,0.5,0.5,0.154338644,0.0
128,0.0,0.6,1.0,100.0,0.0,0.8062597475255286,0.12372729600450538,0.03418781060915421,0.8045430217783478,16,-1.621727588306927,0.5,0.5,0.213724677,0.0
128,0.0,0.7,1.0,100.0,0.0,0.8030855700580541,0.15010086560290054,0.0904760046873676,0.7798572684948324,17,-1.6219586067908616,0.5,0.5,0.225029724,0.0
128,0.0,0.8,1.0,100.0,0.0,0.7988447491093824,0.17450284292227758,0.1435080376319675,0.820327534084897,17,-1.6220628556144097,0.5,0.5,0.219231371,0.0
128,0.0,0.9,1.0,100.0,0.0,0.7934919958684488,0.19696063676164655,0.18801325567840976,0.7768671748929479,17,-1.6219079992627643,0.5,0.5,0.226610804,0.0
128,0.0,1.0,1.0,100.0,0.0,0.7870206523357743,0.21751221277088442,0.21896539840726703,0.6875726790957493,17,-1.6213610460727614,0.5,0.5,0.224767464,0.0
128,0.0,1.1,1.0,100.0,0.0,0.7794778829233173,0.2361780370790587,0.3456569299584711,0.8875371500978169,16,-1.6203208879174835,0.5,0.5,0.206077499,0.0
128,0.0,1.2,1.0,100.0,0.0,0.7708362208694512,0.25321883035348114,0.35617951466671016,0.7384321681840333,16,-1.618622394455432,0.5,0.5,0.215404694,0.0
128,0.0,1.3,1.0,100.0,0.0,0.7612208917372326,0.26860344773508515,0.5385936483142117,0.9664678085585798,15,-1.6162396324144024,0.5,0.5,0.198669394,0.0
128,0.0,1.4,1.0,100.0,0.0,0.7506214458460652,0.28257207905276116,0.5111661418932822,0.7779900140887364,15,-1.6130339633395006,0.5,0.5,0.19176195,0.0
128,0.0,1.5,1.0,100.0,0.0,0.7391711395008005,0.29515626025007435,0.46078214855338473,0.610823612665401,15,-1.6090231578050866,0.5,0.5,0.197700677,0.0
128,0.0,1.6,1.0,100.0,0.0,0.7270003998108376,0.30643850439292175,0.6777600020715369,0.8439079800022231,14,-1.604253009401287,0.5,0.5,0.18604038,0.0
128,0.0,1.7,1.0,100.0,0.0,0.7141532265589543,0.3165823609373536,0.5777470149279651,0.6643975370542732,14,-1.598692740777505,0.5,0.5,0.183566554,0.0
128,0.0,1.8,1.0,100.0,0.0,0.7008095576697209,0.3256349851931928,0.8584039965664481,0.9881199552375097,13,-1.5924925481106598,0.5,0.5,0.166343158,0.0
128,0.0,1.9,1.0,100.0,0.0,0.6870331012833752,0.33372996079217904,0.7051910332727118,0.8023221552317938,13,-1.5856847362916617,0.5,0.5,0.170428814,0.0
128,0.0,2.0,1.0,100.0,0.0,0.6729759805927642,0.3409359739758544,0.5653768923266078,0.6610225574470441,13,-1.5784313314011604,0.5,0.5,0.172809477,0.0
128,0.0,2.1,1.0,100.0,0.0,0.6587477698986715,0.3473429073706119,0.4477544906096309,0.5569968802028313,13,-1.570859102274074,0.5,0.5,0.168209117,0.0
128,0.0,2.2,1.0,100.0,0.0,0.6444519226700812,0.3530337880031501,0.7010810227743303,0.9605134318688702,12,-1.5631007665048462,0.5,0.5,0.156430241,0.0
128,0.0,2.3,1.0,100.0,0.0,0.6301739000081599,0.3580883281958953,0.5670035121545514,0.8548720744029348,12,-1.5552750955174222,0.5,0.5,0.163246965,0.0
