L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,-3.8163916471489756e-17,0.0,0.0,0.3120356838859201,0.9524283685617974,0.3120356838859208,0.3120356838859201,0.3120356838859201,true,127,-1.6212287122694493,0.05,0.05,2.557925313,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299201429993,-8.613370689677935e-6,-2.811649058193676e-6,-5.727962283652657e-6,0.3120356838859201,0.9525818197706482,0.15145064460892055,0.2775416194341699,0.04587399501624498,true,127,-1.6048075559108084,0.05,0.05,2.08666204,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.40522919814811065,-7.509872933939704e-6,-4.973939714472381e-6,-1.236051538972008e-6,0.3120356838859201,0.9529332029626358,0.07287652284380713,0.24549931395024974,0.006137967783823523,true,127,-1.5883864561113135,0.05,0.05,2.102721198,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.4052284223303144,-4.864471687224259e-6,-6.564146330645734e-6,-1.8806372492383333e-7,0.3120356838859201,0.9534051581573388,0.03442262547766111,0.2159972047448229,0.0007429178118416041,true,127,-1.5719654170513415,0.05,0.05,2.089087646,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758734717446,-2.750743442254955e-6,-7.657796483861204e-6,-2.3006366635919983e-8,0.3120356838859201,0.9539643845570822,0.015848084470477565,0.1889932283685752,7.911909252447261e-5,true,127,-1.5555444433225876,0.05,0.05,2.083403925,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.405226687193523,-1.424949433254108e-6,-8.326702353320561e-6,-2.2121442065854726e-9,0.3120356838859201,0.9545920405424901,0.0070841840462174226,0.16440567595857222,6.891720047533833e-6,true,127,-1.5391235399738148,0.05,0.05,2.090836005,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571510202077,-6.898440421398977e-7,-8.638351835946451e-6,-1.14287242272975e-10,0.3120356838859201,0.9552762374943624,0.0030658174506697717,0.14213625173626504,3.1342786556695023e-7,true,127,-1.5227027125694983,0.05,0.05,2.097882709,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246634293648,-3.150499388315797e-7,-8.655574191370816e-6,2.1905338493474875e-11,0.3120356838859201,0.9560087982518617,0.0012812783942631996,0.12207721597478799,6.972734720095177e-8,true,127,-1.5062819672597565,0.05,0.05,2.094508488,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.4052235235233715,-1.363352617293756e-7,-8.43630138361417e-6,1.2050366211607474e-11,0.3120356838859201,0.9567836870834068,0.00051580140936412,0.10411433735826071,3.544687586197469e-8,true,127,-1.4898613108579397,0.05,0.05,2.093326181,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.4052222855664956,-5.59989575266151e-8,-8.03338825045919e-6,4.2208145859293325e-12,0.3120356838859201,0.9575961818882872,0.00019948146424919307,0.08812852055214741,1.2033999311743009e-8,true,127,-1.4734407509289615,0.05,0.05,2.088962571,0.0
