L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.4052305930846236,-2.7755575615628914e-17,0.5961535021183906,0.19531250000000006,true,11,-0.8107675261002024,0.5,0.5,0.758219361,0.0
128,0.0,0.1,1.0,100.0,0.0,0.40522991985438284,-3.233332359992014e-6,0.5961982685017686,0.056852233164666914,true,11,-0.810768845987402,0.5,0.5,0.144448631,0.0
128,0.0,0.2,1.0,100.0,0.0,0.4052291975255883,-1.388980070946011e-6,0.5963326870624952,0.013478699556125302,true,11,-0.8107702036608857,0.5,0.5,0.107695654,0.0
128,0.0,0.3,1.0,100.0,0.0,0.4052284213221641,-3.3147046384074397e-7,0.5965405770029797,0.002345569778007008,true,11,-0.8107715997587958,0.5,0.5,0.111797691,0.0
128,0.0,0.4,1.0,100.0,0.0,0.4052275858910752,-4.349045536200524e-8,0.5968067403974153,0.0002505615907471377,true,11,-0.8107730347547141,0.5,0.5,0.099245547,0.0
128,0.0,0.5,1.0,100.0,0.0,0.4052266852148302,-2.3022264372674073e-9,0.5971186815870722,1.1445403030522052e-5,true,11,-0.8107745089086822,0.5,0.5,0.101610284,0.0
128,0.0,0.6,1.0,100.0,0.0,0.40522571251386896,-1.835660790039384e-11,0.5974704802247377,8.157917974504526e-8,true,11,-0.8107760222049669,0.5,0.5,0.11084484,0.0
128,0.0,0.7,1.0,100.0,0.0,0.4052246601323223,-1.3877787807814457e-17,0.5978530282213512,9.690056916589196e-14,true,11,-0.8107775742737446,0.5,0.5,0.107836565,0.0
128,0.0,0.8,1.0,100.0,0.0,0.40522351940416906,-1.1191048088221578e-13,0.5982699558374494,4.233314003163069e-10,true,11,-0.8107791642941435,0.5,0.5,0.113614819,0.0
128,0.0,0.9,1.0,100.0,0.0,0.4052222804955532,6.438777289119457e-11,0.5987108348031178,2.2935846640979515e-7,true,11,-0.8107807908737527,0.5,0.5,0.102216314,0.0
128,0.0,1.0,1.0,100.0,0.0,0.4052209322197259,9.785111262927693e-9,0.5991878998551359,3.3120340409056176e-5,true,11,-0.8107824518991974,0.5,0.5,0.107608558,0.0
128,0.0,1.1,1.0,100.0,0.0,0.4052194618170534,2.1756484765156348e-7,0.5996812686548392,0.0007047326481228054,true,11,-0.8107841443500423,0.5,0.5,0.095566054,0.0
128,0.0,1.2,1.0,100.0,0.0,0.4052178546961608,2.1177172816883028e-6,0.6002238085177636,0.006601840626871999,true,11,-0.8107858640760011,0.5,0.5,0.102232826,0.0
128,0.0,1.3,1.0,100.0,0.0,0.40521609410343135,1.2416268498890992e-5,0.6007699605906636,0.03742269800587121,true,11,-0.8107876057825527,0.5,0.5,0.106535278,0.0
128,0.0,1.4,1.0,100.0,0.0,0.40521416053187836,4.7662346381038834e-5,0.6013683176050444,0.13941088779499347,true,11,-0.810789366387678,0.5,0.5,0.105984032,0.0
128,0.0,1.5,1.0,100.0,0.0,0.4052120309436823,0.00010905820518487819,0.60197292276154,0.31053676149426984,true,11,-0.8107911520976682,0.5,0.5,0.111742036,0.0
128,0.0,1.6,1.0,100.0,0.0,0.4052096839971654,-4.187643085268311e-6,0.6025695701652456,0.011638499366502832,true,11,-0.8107928744075437,0.5,0.5,0.104161556,0.0
128,0.0,1.7,1.0,100.0,0.0,0.40520703343319986,0.0003288789373069728,9.696338287845663e-5,0.8940852564359667,true,24,-0.8107949230926983,0.5,0.5,0.232327491,0.0
128,0.0,1.8,1.0,100.0,0.0,0.4052015313737807,NaN,4.9200605145571785e-5,10.784823422989982,false,100,NaN,0.5,0.5,0.958567634,0.0
128,0.0,1.9,1.0,100.0,0.0,0.40513824181893476,NaN,5.027089855502709e-10,48.4967548954557,false,100,NaN,0.5,0.5,0.971525999,0.0
128,0.0,2.0,1.0,100.0,0.0,0.40501699982283457,NaN,2.220446049250313e-13,76.4927490658697,false,100,NaN,0.5,0.5,0.960198962,0.0
128,0.0,2.1,1.0,100.0,0.0,0.4048032504116017,NaN,1.1102230246251565e-13,105.99860262987397,false,100,NaN,0.5,0.5,0.956678687,0.0
128,0.0,2.2,1.0,100.0,0.0,0.40445980350358257,NaN,0.0,138.01029239767797,false,100,NaN,0.5,0.5,0.957092873,0.0
128,0.0,2.3,1.0,100.0,0.0,0.4039453838444069,NaN,0.0,172.4904087817776,false,100,NaN,0.5,0.5,0.961630291,0.0
128,0.0,2.4,1.0,100.0,0.0,0.40321337485135655,NaN,0.0,209.21742469062826,false,100,NaN,0.5,0.5,0.956458258,0.0
128,0.0,2.5,1.0,100.0,0.0,0.40221747251462614,NaN,0.0,247.73935059992075,false,100,NaN,0.5,0.5,0.959825581,0.0
128,0.0,2.6,1.0,100.0,0.0,0.40091968075432405,NaN,0.0,287.3794018953041,false,100,NaN,0.5,0.5,0.960713312,0.0
128,0.0,2.7,1.0,100.0,0.0,0.39928824879274605,NaN,0.0,327.5375746558862,false,100,NaN,0.5,0.5,0.9592586,0.0
