L,U,V,t,β,δ,m,uS,ud,vpx,Qm,QuS,Qud,Qvpx,I,f,g,g0,ΔT,μ
30,1.0,1.0,1.0,100.0,0.1,0.0003745666942063659,-0.7910400596350098,0.0023526120452278232,-3.425724838131974e-20,0.28012321891696,0.8526413630299601,0.8295782696411572,0.09444732965739305,25,-3.1682617216290314,0.2,0.2,1.010538547,0.5574708783354404
30,1.0,1.2,1.0,100.0,0.1,0.00019856845022369,-0.791040449973051,0.0030410017459697697,-2.0504537959285267e-20,0.15930675841537778,0.44244011014762386,0.9033753324913202,0.048357032784585245,28,-3.438159330609231,0.2,0.2,0.535386756,0.5901219920290212
30,1.0,1.4,1.0,100.0,0.1,8.751506384305421e-5,-0.7910380102190857,0.0039577223974878025,-3.731077969944051e-21,0.07496390921071391,0.1886591524235648,0.9797515031067001,0.019807040628566117,32,-3.7082585803586086,0.2,0.2,0.604230116,0.6231118765154124
30,1.0,1.6,1.0,100.0,0.1,2.6663408050912648e-5,-0.7910346367632632,0.004833094189423357,-1.1154311560049897e-21,0.02428303554833362,0.05810963671910585,0.9904011910010366,0.005192296858534839,38,-3.9783605745605275,0.2,0.2,0.706052903,0.6561053741274216
30,1.0,1.8,1.0,100.0,0.1,4.6340057305111135e-6,-0.7910278576218717,0.0061146487132665355,-2.4267220182618985e-22,0.00447035529539605,0.018289771242452346,0.9914091711910747,0.0006968982874540837,47,-4.248665570972054,0.2,0.2,0.85937033,0.6894358010327755
30,1.0,2.0,1.0,100.0,0.1,5.247432173767055e-5,-0.7902064872435801,0.0478240878814776,1.3581308005470426e-20,0.0536402935916379,0.18338708089444822,0.922991027054458,0.015845632502852893,33,-4.538440207460973,0.2,0.2,0.597291724,0.7516578726741746
30,1.5,1.0,1.0,100.0,0.1,0.001057420141760617,-0.7910384650389507,0.002334836571386875,-9.978055271647719e-20,0.4567070129636164,0.8572043303723742,0.8237505010301774,0.09444732965739305,25,-3.168258997637858,0.2,0.2,0.46736676,0.5574745365132362
30,1.5,1.2,1.0,100.0,0.1,0.0005864349867654771,-0.7910400873653782,0.003010500547002819,-5.220453897222839e-20,0.27455928491469983,0.4445485679759775,0.8958037555174575,0.04835703278458525,28,-3.438145433093482,0.2,0.2,0.528027423,0.5901015494473278
30,1.5,1.4,1.0,100.0,0.1,0.000275082706082234,-0.7910382306692529,0.0039017729311199693,-1.3906478030124104e-20,0.13874867292915732,0.18932338546000516,0.9699811225508136,0.01980704062856612,32,-3.7082282829181428,0.2,0.2,0.5873513,0.6230615687498617
30,1.5,1.6,1.0,100.0,0.1,9.247754317247766e-5,-0.7910351839739215,0.004746601167907862,-4.9372230389659776e-21,0.04998267587281906,0.05809368171376672,0.9801393225021141,0.005192296858534839,38,-3.978311646396448,0.2,0.2,0.728528768,0.6560231637623856
30,1.5,1.8,1.0,100.0,0.1,1.8668766881347462e-5,-0.7910286721926472,0.005994831137955612,-1.0577341104611888e-21,0.01076173482008559,0.01806148735492563,0.9821313843163463,0.0006968982874540848,47,-4.2485970262849095,0.2,0.2,0.889325674,0.6893212654092208
30,1.5,2.0,1.0,100.0,0.1,0.00015455053991382352,-0.7902081518148381,0.047759568175163025,4.069286544097705e-20,0.09501403874801563,0.1825119609128567,0.8983720275768908,0.01584563250285291,33,-4.538336544015453,0.2,0.2,0.616790905,0.7515026334203099
30,2.0,1.0,1.0,100.0,0.1,0.0025980526692597973,-0.7910289896641911,0.0023052146474951845,-2.7505431103564083e-19,0.7117237436499096,0.8681510317465779,0.813927815466137,0.09444732965739307,25,-3.1682788409021696,0.2,0.2,0.462836733,0.5575564689672626
30,2.0,1.2,1.0,100.0,0.1,0.0017139588319337333,-0.7910335490119924,0.003409483609861507,-1.1065919972223325e-19,0.5159442504566099,0.5613655345799273,0.9916207854732375,0.060446290980731565,27,-3.4382689729761142,0.2,0.2,0.505318902,0.5903375628765583
30,2.0,1.4,1.0,100.0,0.1,0.000752580955329799,-0.791037919273063,0.003814002951240967,-3.4647948720233425e-20,0.24706703662426538,0.19115136059504323,0.9544743331310684,0.01980704062856613,32,-3.7081825672351556,0.2,0.2,0.623356851,0.6229901060172867
30,2.0,1.6,1.0,100.0,0.1,0.00027893298830818704,-0.7910359394793414,0.0046111392526651035,-1.3808282822526767e-20,0.0991229439462898,0.0582711418716908,0.9638171869351663,0.005192296858534852,38,-3.9782351790958965,0.2,0.2,0.683134989,0.6558953448349476
30,2.0,1.8,1.0,100.0,0.1,6.52910800180691e-5,-0.7910299977974319,0.005798139454529105,-2.4623466178684222e-21,0.024963577207290852,0.01771863185482392,0.9668331262389843,0.000696898287454087,47,-4.248484418838665,0.2,0.2,0.858694783,0.6891329512601773
30,2.0,2.0,1.0,100.0,0.1,0.00045987682836504936,-0.7902018053106347,0.04798589060229046,1.1361549260939876e-19,0.18906302505051256,0.22444339181790784,0.9879991096543528,0.019807040628566138,32,-4.538667099888825,0.2,0.2,0.579643593,0.7519965925976038
30,2.5,1.0,1.0,100.0,0.1,0.005290586665924632,-0.7909941219733042,0.0019597752717991405,-5.054075808522803e-19,0.9487826771466016,0.7168418716857916,0.6995035247193063,0.07555786372591443,26,-3.1683909737146774,0.2,0.2,0.475707012,0.557926318277571
30,2.5,1.2,1.0,100.0,0.1,0.00394818393855482,-0.7910124859336288,0.003320268058057601,-2.759075348374571e-19,0.7930071029704222,0.5763741349084528,0.9701307362998769,0.06044629098073158,27,-3.4382948134576083,0.2,0.2,0.494207121,0.590508628875452
30,2.5,1.4,1.0,100.0,0.1,0.0018873784900700573,-0.7910335888568646,0.0036836229826967106,-1.5940398216822395e-19,0.4202102482628401,0.19610182221050376,0.930984837048568,0.01980704062856617,32,-3.7081268841408304,0.2,0.2,0.574879468,0.6229307238295712
30,2.5,1.6,1.0,100.0,0.1,0.0007709032264534554,-0.7910363169627544,0.004414608383866935,-5.227979087623495e-20,0.18832740724139924,0.05919229430506601,0.9395296706796251,0.005192296858534857,38,-3.9781261051139047,0.2,0.2,0.690123667,0.6557183041948161
30,2.5,1.8,1.0,100.0,0.1,0.00023588103521063886,-0.7910270107184474,0.006224845359163511,-5.213479347963974e-21,0.06271413724418444,0.020425303181048626,0.999920924701702,0.0008711228593176125,46,-4.248726794764743,0.2,0.2,0.828363475,0.6895388481254463
30,2.5,2.0,1.0,100.0,0.1,0.0010716434767849298,-0.7902051260961499,0.04780138723335757,2.551164842835588e-19,0.3095229998713295,0.2233180434443316,0.9136754635072394,0.01980704062856616,32,-4.538359535284512,0.2,0.2,0.567732854,0.7515479660480744
30,3.0,1.0,1.0,100.0,0.1,0.00836267460934541,-0.7909251645654604,0.0010853984495772036,-1.2194041930516862e-18,0.9738887213039893,0.32753627308228506,0.39595207740515315,0.030948500982134627,30,-3.1686770011291,0.2,0.2,0.547318645,0.5587542632481808
30,3.0,1.2,1.0,100.0,0.1,0.00719065582151871,-0.7909554780385935,0.0024119885207794884,-7.805188008892557e-19,0.9655764131008919,0.39746075249236235,0.7401777186312715,0.038685626227668336,29,-3.4382414931240164,0.2,0.2,0.528915258,0.5907739636085619
30,3.0,1.4,1.0,100.0,0.1,0.004849295450630447,-0.7909976091933051,0.004018001267991353,-1.1380575793789963e-19,0.7381157578742704,0.25910293245907656,0.9893483818726775,0.024758800785707722,31,-3.708375547355349,0.2,0.2,0.567977463,0.623579566194062
30,3.0,1.6,1.0,100.0,0.1,0.0021968680782423733,-0.7910270220487055,0.004740127344889402,-1.1679359854550092e-19,0.3739965924799607,0.0769270602769323,0.9791912256206209,0.0064903710731685944,37,-3.9783179760798766,0.2,0.2,0.668349197,0.656096555340045
30,3.0,1.8,1.0,100.0,0.1,0.000692928380750331,-0.7910293109997772,0.005779843491405634,-1.5543762732086275e-20,0.13042824305618403,0.02024137444975871,0.9653861010649788,0.0008711228593176198,46,-4.2484738175683825,0.2,0.2,1.52440982,0.6891221197246861
30,3.0,2.0,1.0,100.0,0.1,0.0026223789065075837,-0.7901940736586323,0.047849232353117395,7.603616487941998e-19,0.5437029175104228,0.27793885901583604,0.9335122215109223,0.02475880078570771,31,-4.538404262840103,0.2,0.2,0.598779333,0.7517017568098873
30,3.5,1.0,1.0,100.0,0.1,0.013239436666208953,-0.7907464641609753,0.0004570904636756292,-1.926385558455546e-18,0.9479465921057167,0.13475613138425047,0.16770350860402122,0.008112963841460685,36,-3.1694466919477713,0.2,0.2,0.630299421,0.5608849338728965
30,3.5,1.2,1.0,100.0,0.1,0.01110962285021783,-0.7908377157878231,0.0011579379575800011,-1.2914589211110036e-18,0.9648771329044278,0.17268743728213742,0.37440147216804176,0.012676506002282364,34,-3.438452449425416,0.2,0.2,0.612641102,0.5918085579313654
30,3.5,1.4,1.0,100.0,0.1,0.009793017860529062,-0.7908788214735046,0.003240099315596072,-5.637059106710782e-19,0.9999268079798107,0.2417212451283346,0.8450689477221093,0.019807040628566232,32,-3.7084331455678043,0.2,0.2,0.578569749,0.6244866653674945
30,3.5,1.6,1.0,100.0,0.1,0.0052613582591528475,-0.7909909005121899,0.004302904343011281,-2.802572662080245e-19,0.6177138018525915,0.08942351848737484,0.9247693855286149,0.006490371073168627,37,-3.9781951554962687,0.2,0.2,0.667472904,0.6561818157883778
30,3.5,1.8,1.0,100.0,0.1,0.0020902688567259573,-0.7910222165092781,0.005849896131536149,-8.415578416150103e-20,0.2775313245759985,0.0256716254441125,0.970819574723849,0.0010889035741470498,45,-4.248530295981388,0.2,0.2,0.812678687,0.6892725479453375
30,3.5,2.0,1.0,100.0,0.1,0.00589913527778164,-0.7901490920103492,0.04774699400509634,1.6542544888488477e-18,0.8797245382263228,0.35507805928725045,0.9046801809761751,0.030948500982134638,30,-4.5383083867399625,0.2,0.2,0.541320766,0.7520140812088211
30,4.0,1.0,1.0,100.0,0.1,0.025558548696049243,-0.7899292001637015,0.00022606833920625508,-2.421208610069059e-18,0.9882859201363204,0.12910528984386715,0.0817745070920308,0.0026584559915695735,41,-3.172941638975363,0.2,0.2,0.754043012,0.5703578467018763
30,4.0,1.2,1.0,100.0,0.1,0.018803867771859807,-0.7904459626395828,0.0004954961300693848,-2.5171784809269874e-18,0.9691531806030523,0.11134194160871136,0.16098294746392666,0.0033230699894623004,40,-3.439988862493196,0.2,0.2,0.720571163,0.5964896629452081
30,4.0,1.4,1.0,100.0,0.1,0.015025001399216932,-0.7906661298590627,0.0013039484193507565,-1.5178556602809315e-18,0.9726472760694344,0.11876526764225126,0.38670595000849445,0.005192296858534876,38,-3.7085470969465626,0.2,0.2,0.681396688,0.6260562724578784
30,4.0,1.6,1.0,100.0,0.1,0.012582124733068571,-0.7907685449422939,0.004265068651034323,-4.509607803450983e-19,0.9815247245209012,0.1457853017019506,0.9174808433794251,0.008112963841460817,36,-3.9789251718902863,0.2,0.2,0.645938183,0.6590391340741085
30,4.0,1.8,1.0,100.0,0.1,0.005747034142912988,-0.790975387308716,0.005557754583401075,-3.0310619113848877e-19,0.5243483551094137,0.040144427808419536,0.9476746116424949,0.0013611294676838495,44,-4.2485141797281765,0.2,0.2,0.790254479,0.6896496430319549
30,4.0,2.0,1.0,100.0,0.1,0.00920039887790412,-0.7901065025648728,0.04602603434205755,2.366484818641031e-18,0.970171885368511,0.2148016124209562,0.5510194381155492,0.015845632502853056,33,-4.536867442294882,0.2,0.2,0.592332452,0.750851811511971
30,4.5,1.0,1.0,100.0,0.1,0.057544963902374575,-0.785315822610939,0.0003482899177564924,-8.172443242058975e-18,0.9820917272927498,0.2633974224351521,0.11882585192579025,0.00519229685853519,38,-3.193183213211294,0.2,0.2,0.691596749,0.6231164093455468
30,4.5,1.2,1.0,100.0,0.1,0.03834419299734529,-0.7885273245923423,0.00033317887406398113,-4.03872587537924e-18,0.9879312266566936,0.16465551044202442,0.10347631948974881,0.0017014118346045267,43,-3.4480885005998556,0.2,0.2,0.780698315,0.6197680738540071
30,4.5,1.4,1.0,100.0,0.1,0.027412225580356026,-0.7897680953847609,0.0006291881256727211,-4.612587648666995e-18,0.9978603634217015,0.12894075559535256,0.1858603915296607,0.001701411834604998,43,-3.7120288248401083,0.2,0.2,0.78056756,0.6373060113083013
30,4.5,1.6,1.0,100.0,0.1,0.020486335659162806,-0.7903368010748683,0.0015661141746114403,-1.309960732331093e-18,0.9777810553167642,0.1096454342092823,0.43050055109458113,0.002126764793255814,42,-3.97928039818742,0.2,0.2,0.768114604,0.6627179917798698
30,4.5,1.8,1.0,100.0,0.1,0.015682004190357837,-0.7906087360312725,0.006111661575848653,-1.9531583641197616e-19,0.930164054000044,0.10371215619044971,0.9914723976607729,0.002658455991569963,41,-4.250059602808403,0.2,0.2,0.744400627,0.6951542656546894
30,4.5,2.0,1.0,100.0,0.1,0.013618410802199924,-0.7900465679229728,0.0411254874331108,2.653076672988549e-18,0.9734436626048112,0.12952552493279423,0.6802771285274234,0.005192296858535058,38,-4.5354694520485666,0.2,0.2,0.695632138,0.7512238308386835
