L,U,V,t,β,δ,m,uS,ud,vpx,vpy,Qm,QuS,Qud,Qvpx,Qvpy,I,f,g,g0,ΔT,μ
30,1.0,1.0,1.0,100.0,0.1,0.0003739981713401907,-0.791040228171412,0.0023056640923513165,-3.4987625493783953e-20,-7.191744263966612e-20,0.2796975522517311,0.8540222042642487,0.814274919567722,0.09444732965739305,0.09444732965739305,25,-3.168243743457419,0.2,0.2,0.999877813,0.5574406724484999
30,1.0,1.2,1.0,100.0,0.1,0.00023602073668643127,-0.791038743682511,0.003354701318704923,-1.6386775920406256e-20,-4.453392113624371e-20,0.18929858413611503,0.5531835702929477,0.9787750903712161,0.060446290980731544,0.06044629098073156,27,-3.4382297350790965,0.2,0.2,0.50967382,0.5902426331291091
30,1.0,1.4,1.0,100.0,0.1,8.734283507926418e-5,-0.7910402095220577,0.0035863464015496566,-6.415245295458832e-21,-2.6653989634091476e-20,0.07481741218631906,0.18798323783968396,0.9133261064269371,0.019807040628566117,0.019807040628566124,32,-3.7080602423357583,0.2,0.2,0.58065465,0.6227773046747678
30,1.0,1.6,1.0,100.0,0.1,3.1836283345118234e-5,-0.7910351519614355,0.004753322515119955,-1.4749968803627332e-21,-8.864137388084498e-21,0.028993137701412108,0.06973668682246359,0.980866006115477,0.006490371073168547,0.006490371073168547,37,-3.978304070229361,0.2,0.2,0.661206991,0.6560105482872979
30,1.0,1.8,1.0,100.0,0.1,5.542749707155824e-6,-0.7910284056778266,0.0060341072425900266,-3.070664591673688e-22,-2.083730100598193e-21,0.005346980179016251,0.019716369654410038,0.9851639967486333,0.0008711228593176045,0.0008711228593176044,46,-4.248617763046845,0.2,0.2,0.807021336,0.6893559391650359
30,1.0,2.0,1.0,100.0,0.1,7.556234269178498e-5,-0.7902042034974925,0.04790927094363781,1.8422586774336665e-20,6.246645442992926e-21,0.07722589709545631,0.26628992322181855,0.9547879414788935,0.02475880078570764,0.024758800785707646,31,-4.538479111347226,0.2,0.2,0.550386779,0.7517007406674884
30,1.5,1.0,1.0,100.0,0.1,0.0010551958148690894,-0.7910386317603616,0.002289923588803385,-1.0553302947981285e-19,-2.337731196179173e-19,0.4557453730344111,0.8585509389946733,0.8090902012322532,0.09444732965739305,0.09444732965739298,25,-3.1682418385382998,0.2,0.2,0.452481862,0.5574456741749381
30,1.5,1.2,1.0,100.0,0.1,0.0006803580811833828,-0.7910382122812205,0.0033245627665210538,-4.3703937483935594e-20,-1.6360258143812387e-19,0.3184262942534348,0.5557733492619343,0.971586338797087,0.06044629098073156,0.0604462909807315,27,-3.4382158232415634,0.2,0.2,0.482609108,0.590223194802235
30,1.5,1.4,1.0,100.0,0.1,0.0003202143878991152,-0.7910371210364441,0.00407663218813805,-4.461191372439704e-21,-7.463679284624983e-20,0.16148845208770737,0.23506606056042934,0.9999596145453248,0.024758800785707646,0.02475880078570763,31,-3.7082840356049758,0.2,0.2,0.551829165,0.6231566987349452
30,1.5,1.6,1.0,100.0,0.1,0.00010800980696658805,-0.7910355542843954,0.004688238997927093,-5.248413130175059e-21,-2.6725880359016324e-20,0.05837540105277744,0.0698242172162189,0.9730710199138756,0.0064903710731685485,0.006490371073168539,37,-3.978267192225158,0.2,0.2,0.654729111,0.6559486230777357
