L,U,V,t,β,δ,uS,ud,QuS,Qud,I,f,g,g0,ΔT,μ
30,1.0,1.0,1.0,100.0,0.1,0.3954960284364909,-8.924063736696593e-5,0.8538145555530785,0.06533822620951601,20,-0.7912924399331639,0.2,0.2,0.749739961,0.3217850915572059
30,1.0,1.2,1.0,100.0,0.1,0.3954928645118959,-6.851552062427639e-5,0.8547023888456184,0.04256455950066934,20,-0.7912958029708028,0.2,0.2,0.257954282,0.30625675779635236
30,1.0,1.4,1.0,100.0,0.1,0.3954893247862696,-4.799661893858066e-5,0.8557236817635538,0.02602931732994795,20,-0.7912989785564369,0.2,0.2,0.233703768,0.2907427789238145
30,1.0,1.6,1.0,100.0,0.1,0.3954853243302593,-3.149693411770392e-5,0.8564994979473162,0.015221127666427772,20,-0.7913019125813134,0.2,0.2,0.243248199,0.27524421617137235
30,1.0,1.8,1.0,100.0,0.1,0.39548075363253893,-1.8593324052591757e-5,0.8574580446785496,0.008131516976151113,20,-0.7913045274949863,0.2,0.2,0.230743556,0.25976335629973907
30,1.0,2.0,1.0,100.0,0.1,0.3954754686692582,-9.78354831506915e-6,0.85858880962002,0.003918533572472604,20,-0.7913067146706126,0.2,0.2,0.240354322,0.24430206877230873
30,1.5,1.0,1.0,100.0,0.1,0.3954960284364909,-8.924063736696593e-5,0.8538145555530785,0.06533822620951601,20,-0.7912924399331639,0.2,0.2,0.240967893,0.3217850915572059
30,1.5,1.2,1.0,100.0,0.1,0.3954928645118959,-6.851552062427639e-5,0.8547023888456184,0.04256455950066934,20,-0.7912958029708028,0.2,0.2,0.241835229,0.30625675779635236
30,1.5,1.4,1.0,100.0,0.1,0.3954893247862696,-4.799661893858066e-5,0.8557236817635538,0.02602931732994795,20,-0.7912989785564369,0.2,0.2,0.229273349,0.2907427789238145
30,1.5,1.6,1.0,100.0,0.1,0.3954853243302593,-3.149693411770392e-5,0.8564994979473162,0.015221127666427772,20,-0.7913019125813134,0.2,0.2,0.240821278,0.27524421617137235
30,1.5,1.8,1.0,100.0,0.1,0.39548075363253893,-1.8593324052591757e-5,0.8574580446785496,0.008131516976151113,20,-0.7913045274949863,0.2,0.2,0.239828084,0.25976335629973907
30,1.5,2.0,1.0,100.0,0.1,0.3954754686692582,-9.78354831506915e-6,0.85858880962002,0.003918533572472604,20,-0.7913067146706126,0.2,0.2,0.229335565,0.24430206877230873
30,2.0,1.0,1.0,100.0,0.1,0.3954960284364909,-8.924063736696593e-5,0.8538145555530785,0.06533822620951601,20,-0.7912924399331639,0.2,0.2,0.243626399,0.3217850915572059
30,2.0,1.2,1.0,100.0,0.1,0.3954928645118959,-6.851552062427639e-5,0.8547023888456184,0.04256455950066934,20,-0.7912958029708028,0.2,0.2,0.241100581,0.30625675779635236
30,2.0,1.4,1.0,100.0,0.1,0.3954893247862696,-4.799661893858066e-5,0.8557236817635538,0.02602931732994795,20,-0.7912989785564369,0.2,0.2,0.228423555,0.2907427789238145
30,2.0,1.6,1.0,100.0,0.1,0.3954853243302593,-3.149693411770392e-5,0.8564994979473162,0.015221127666427772,20,-0.7913019125813134,0.2,0.2,0.233913341,0.27524421617137235
30,2.0,1.8,1.0,100.0,0.1,0.39548075363253893,-1.8593324052591757e-5,0.8574580446785496,0.008131516976151113,20,-0.7913045274949863,0.2,0.2,0.23874828,0.25976335629973907
30,2.0,2.0,1.0,100.0,0.1,0.3954754686692582,-9.78354831506915e-6,0.85858880962002,0.003918533572472604,20,-0.7913067146706126,0.2,0.2,0.23119917,0.24430206877230873
30,2.5,1.0,1.0,100.0,0.1,0.3954960284364909,-8.924063736696593e-5,0.8538145555530785,0.06533822620951601,20,-0.7912924399331639,0.2,0.2,0.233349233,0.3217850915572059
30,2.5,1.2,1.0,100.0,0.1,0.3954928645118959,-6.851552062427639e-5,0.8547023888456184,0.04256455950066934,20,-0.7912958029708028,0.2,0.2,0.240500646,0.30625675779635236
30,2.5,1.4,1.0,100.0,0.1,0.3954893247862696,-4.799661893858066e-5,0.8557236817635538,0.02602931732994795,20,-0.7912989785564369,0.2,0.2,0.238874246,0.2907427789238145
30,2.5,1.6,1.0,100.0,0.1,0.3954853243302593,-3.149693411770392e-5,0.8564994979473162,0.015221127666427772,20,-0.7913019125813134,0.2,0.2,0.233130063,0.27524421617137235
30,2.5,1.8,1.0,100.0,0.1,0.39548075363253893,-1.8593324052591757e-5,0.8574580446785496,0.008131516976151113,20,-0.7913045274949863,0.2,0.2,0.238898912,0.25976335629973907
30,2.5,2.0,1.0,100.0,0.1,0.3954754686692582,-9.78354831506915e-6,0.85858880962002,0.003918533572472604,20,-0.7913067146706126,0.2,0.2,0.239358915,0.24430206877230873
30,3.0,1.0,1.0,100.0,0.1,0.3954960284364909,-8.924063736696593e-5,0.8538145555530785,0.06533822620951601,20,-0.7912924399331639,0.2,0.2,0.232321425,0.3217850915572059
30,3.0,1.2,1.0,100.0,0.1,0.3954928645118959,-6.851552062427639e-5,0.8547023888456184,0.04256455950066934,20,-0.7912958029708028,0.2,0.2,0.241177235,0.30625675779635236
