L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
30,1.0,1.0,1.0,100.0,0.1,0.7720135954569324,0.00995175102767735,0.012405911705497272,0.16635851049974446,0.10000000000000002,0.09038232503695287,0.02228757174358685,0.13671061273166535,0.9273589934673532,0.0,34,-1.764873327933315,0.2,0.2,1.4255217,0.30186985640715625
30,1.0,1.2,1.0,100.0,0.1,0.7548202829964171,0.007055821020976821,0.013260346660781146,0.21897798718711095,0.10000000000000002,0.15407871545283225,0.001760347304893134,0.25427953088903443,0.9080264780751024,0.0,31,-1.7601634453456438,0.2,0.2,0.814921948,0.3078382979029829
30,1.0,1.4,1.0,100.0,0.1,0.7337970491283659,0.005041097017039787,0.016369454757429416,0.25606541520594545,0.10000000000000002,0.2354579485645658,0.024754482466379617,0.4339273933516428,0.952301593663496,0.0,29,-1.7498350269772758,0.2,0.2,0.734758592,0.3079434482568798
30,1.0,1.6,1.0,100.0,0.1,0.7092764833122888,0.0032188708502051493,0.022772279407312704,0.28426740955436236,0.10000000000000002,0.2910569109032535,0.049307220323947624,0.6141074248643248,0.9053754586182072,0.0,28,-1.7348872904735915,0.2,0.2,0.707752555,0.3048146339204558
30,1.0,1.8,1.0,100.0,0.1,0.6817430277186874,0.0010525839896266883,0.03500724522579481,0.30568373829155526,0.10000000000000002,0.31799770836931085,0.06818248141063875,0.7419744211745904,0.8934530701103949,0.0,27,-1.7155826749012686,0.2,0.2,0.687691548,0.29840825116024244
30,1.0,2.0,1.0,100.0,0.1,0.6508530478166138,-0.0017425617338510241,0.055567641910777094,0.3215419918510252,0.10000000000000002,0.34024462025199487,0.06500745642078072,0.645976309336857,0.8995464767111438,0.0,26,-1.6918028151779954,0.2,0.2,0.787220796,0.2873196982582628
30,1.5,1.0,1.0,100.0,0.1,0.7769920736525995,0.0038822723460357113,0.027018935472629266,0.017793824034015904,0.10000000000000002,0.05031300643854042,0.20825045624406624,0.0022020698587803256,0.977066278272979,0.0,37,-1.766119751015787,0.2,0.2,0.94604351,0.27391520740259184
30,1.5,1.2,1.0,100.0,0.1,0.7541571432371973,0.010966954702882342,0.019428933124370964,0.20643406464033906,0.10000000000000002,0.20674134979092873,0.021066950515084143,0.18502043567348997,0.922234271625838,0.0,36,-1.767041394025251,0.2,0.2,2.235640661,0.30133489348604564
30,1.5,1.4,1.0,100.0,0.1,0.7326514844900311,0.007863689210193467,0.022772973000793364,0.24886676287027185,0.10000000000000002,0.2605620900349326,0.010041099708305717,0.3668471309069977,0.9413219307580878,0.0,31,-1.756606595266467,0.2,0.2,0.918655001,0.3031332482491727
30,1.5,1.6,1.0,100.0,0.1,0.7076561283755285,0.0054942839895679284,0.029582078036469457,0.27942555807921254,0.10000000000000002,0.3067864992741587,0.03965842535990256,0.5422891404249619,0.9203098645180763,0.0,29,-1.7402060459806576,0.2,0.2,1.815062838,0.2989016067925168
30,1.5,1.8,1.0,100.0,0.1,0.6798329037587217,0.0028847594516764148,0.04260559604989922,0.3016542000827069,0.10000000000000002,0.34985419218800384,0.05362911497747433,0.6503199393176284,0.9938687659307943,0.0,27,-1.719965068302925,0.2,0.2,1.576744217,0.2911982181593597
30,1.5,2.0,1.0,100.0,0.1,0.6488393388844134,-0.00031084447236575394,0.06302071071069947,0.3177856655265741,0.10000000000000002,0.3618455157553324,0.04287523034720256,0.5180648690219919,0.9538983319750671,0.0,26,-1.6977782297051984,0.2,0.2,1.64069504,0.28207830651954274
30,2.0,1.0,1.0,100.0,0.1,0.7694119572809006,0.0018511410607997755,0.03138558648523726,0.007751027507621795,0.10000000000000002,0.4597128438337039,0.23208011160106531,0.10496756649564232,0.9846485336644313,0.0,26,-1.7863933698899865,0.2,0.2,1.622540534,0.2834467984705314
30,2.0,1.2,1.0,100.0,0.1,0.7640548197121462,0.0033307535180351283,0.038616650793121425,0.013667266435221858,0.10000000000000002,0.042900713055171735,0.23227182484639053,0.004357506202117001,0.9679198241008723,0.0,36,-1.7599205392313513,0.2,0.2,1.6555854,0.24852874789461538
30,2.0,1.4,1.0,100.0,0.1,0.7313045060265679,0.010973558519761025,0.02922554369423467,0.23712838085336457,0.10000000000000002,0.2878082878580157,0.011317820792834665,0.2922456501719406,0.9599210996301566,0.0,36,-1.7642868413690902,0.2,0.2,2.234464465,0.296074802607338
30,2.0,1.6,1.0,100.0,0.1,0.705973165726884,0.007648089468185798,0.03624393754905997,0.2716306865616873,0.10000000000000002,0.314188802732529,0.027738667980924288,0.4881918829349907,0.9399364374642172,0.0,31,-1.7483209211676376,0.2,0.2,1.216648949,0.2941557398075247
30,2.0,1.8,1.0,100.0,0.1,0.67754587741032,0.0048343396671482,0.04833685496918132,0.29633878292118204,0.10000000000000002,0.31386357039868695,0.04896806272198569,0.5875880387650828,0.88063875097244,0.0,29,-1.7267207936524271,0.2,0.2,0.983726418,0.2858253781814346
30,2.0,2.0,1.0,100.0,0.1,0.6464984600664047,0.0014443643385685027,0.0683242050590432,0.31323522531955184,0.10000000000000002,0.3366026085840579,0.036383663863038575,0.4819598419554927,0.9129569772032275,0.0,27,-1.7038870847710963,0.2,0.2,0.729991767,0.2755274125077975
30,2.5,1.0,1.0,100.0,0.1,0.7611676633210489,0.0011111373147456092,0.03461446945300672,0.004419319377776023,0.10000000000000002,0.8612901568428644,0.2268608402237535,0.16377695655943741,0.9095587773990403,0.0,23,-1.8086381947778254,0.2,0.2,1.032359413,0.29307588312834
30,2.5,1.2,1.0,100.0,0.1,0.7544365842048107,0.0017501077614927453,0.041768442534689795,0.0068829526988473996,0.10000000000000002,0.38695765836906926,0.24672418460265289,0.06482218319760757,0.9778752857454539,0.0,26,-1.7812062997956866,0.2,0.2,1.118798047,0.2581058439579504
30,2.5,1.4,1.0,100.0,0.1,0.7451338327057855,0.0024865269780108045,0.05266997645779087,0.009817811324442274,0.10000000000000002,0.04704316630370631,0.24753611861413893,0.034617790753463384,0.9817633431213928,0.0,33,-1.7503347988378462,0.2,0.2,2.040494861,0.22145347483833558
30,2.5,1.6,1.0,100.0,0.1,0.7038842223293709,0.010238592284741613,0.04288361424906007,0.26023545784768354,0.10000000000000002,0.2914542090118655,0.0016644069976014253,0.39987736518683065,0.8766187421659577,0.0,37,-1.756545486583207,0.2,0.2,1.709106196,0.286420203445182
30,2.5,1.8,1.0,100.0,0.1,0.6754339966322215,0.006473790481255143,0.055130144974735895,0.287738209434134,0.10000000000000002,0.30800998066451424,0.03848982680663884,0.5546833295502568,0.9377213024072462,0.0,31,-1.736367920528905,0.2,0.2,1.327674821,0.28125659834031613
30,2.5,2.0,1.0,100.0,0.1,0.6440112553366547,0.003235661060600129,0.0726571465866894,0.30738869987562284,0.10000000000000002,0.2866783700245623,0.04610799462553888,0.5182397069135702,0.8492373468044767,0.0,29,-1.711678043095937,0.2,0.2,1.80269805,0.2695563210306256
30,3.0,1.0,1.0,100.0,0.1,0.7524534276956056,0.000610339858595027,0.03708417868393299,0.002363166766622343,0.10000000000000002,0.8174109915218164,0.17833229462500497,0.1499823924659513,0.6912610273819393,0.0,23,-1.8324789188293116,0.2,0.2,1.037902359,0.3024266898158193
30,3.0,1.2,1.0,100.0,0.1,0.7445712170865383,0.0010762512033603829,0.04397381034364683,0.004150664369061209,0.10000000000000002,0.7320945323832095,0.23524817386581168,0.11073602235446567,0.9121044487323791,0.0,23,-1.80457041376939,0.2,0.2,1.449353912,0.2679559570452771
30,3.0,1.4,1.0,100.0,0.1,0.7340585552830708,0.0014783184571300846,0.053696016734571306,0.0057713515688356445,0.10000000000000002,0.3654374772979141,0.2545131322878673,0.00447983157678411,0.9951459504101808,0.0,25,-1.773009591633674,0.2,0.2,1.565283182,0.2319014014482671
30,3.0,1.6,1.0,100.0,0.1,0.7199015580410099,0.0016638847115577609,0.06827075408390931,0.006733520302211488,0.10000000000000002,0.03969778803114554,0.23675017040550536,0.12711467947616184,0.9546368236047198,0.0,30,-1.7366356522483395,0.2,0.2,1.73909249,0.19344183770156
30,3.0,1.8,1.0,100.0,0.1,0.6727694353531074,0.008859907977528746,0.06169877604137938,0.27620583784233443,0.10000000000000002,0.27579036764211473,0.016920072281231824,0.5593312984523424,0.922199942088131,0.0,39,-1.7440361870811234,0.2,0.2,3.105634889,0.270682296591601
30,3.0,2.0,1.0,100.0,0.1,0.6418776018072837,0.0045926050395640955,0.07948731686802675,0.2970227124171291,0.10000000000000002,0.3157692758819275,0.00989148660219246,0.45036045869491503,0.995030306408462,0.0,30,-1.7221500667535272,0.2,0.2,1.854172393,0.26295597189276765
30,3.5,1.0,1.0,100.0,0.1,0.7435244785651748,0.0004277522622517314,0.0390886025284368,0.0016393219350627382,0.10000000000000002,0.9825192740738675,0.16712211520405398,0.16795891953438336,0.634911713950797,0.0,22,-1.8581453870571647,0.2,0.2,1.37696939,0.3119639944482765
30,3.5,1.2,1.0,100.0,0.1,0.7345406242560166,0.0006788993215034929,0.04556460747047079,0.0025991141892709696,0.10000000000000002,0.8716414978111375,0.206426044997592,0.13044624849790215,0.7919711303422075,0.0,22,-1.8296329711884005,0.2,0.2,1.3700753,0.27773601664621245
30,3.5,1.4,1.0,100.0,0.1,0.7230909277566911,0.0010009770215998342,0.05424748766156792,0.003897927801973288,0.10000000000000002,0.7232873642087689,0.25136779784233154,0.04309480691708917,0.9790083312002007,0.0,22,-1.797808193762942,0.2,0.2,1.375337535,0.24254711601917922
30,3.5,1.6,1.0,100.0,0.1,0.7083030884192609,0.0011184218494732197,0.06617143190928416,0.004518818498314909,0.10000000000000002,0.29889911635716526,0.2436927921039087,0.11337928153389298,0.97935353929363,0.0,24,-1.7613594462551614,0.2,0.2,1.041913983,0.20554803657846302
30,3.5,1.8,1.0,100.0,0.1,0.6897009378103159,0.0011506861463471828,0.08307721468925695,0.004974515292102988,0.10000000000000002,0.021840448444421234,0.22508385408287798,0.2862338991441976,0.9607770115973395,0.0,27,-1.7202786735127116,0.2,0.2,0.700999423,0.16631943728671686
30,3.5,2.0,1.0,100.0,0.1,0.6662286194580777,0.001201724710428708,0.10979130255511935,0.005875000812218931,0.10000000000000002,0.08966772119083366,0.20558249128625525,0.3103235822815298,0.9893671325444994,0.0,36,-1.675303860212043,0.2,0.2,1.082869427,0.12241964673960515
30,4.0,1.0,1.0,100.0,0.1,0.734401618152825,0.00028394270154245474,0.04068329854754832,0.001087445715800921,0.10000000000000002,0.936037087285424,0.14199363270027757,0.15918123692668928,0.5334067474625046,0.0,22,-1.885240342110359,0.2,0.2,0.562715014,0.3213381387230076
30,4.0,1.2,1.0,100.0,0.1,0.724417442703116,0.00042370812714049986,0.04671856637168676,0.001621255633978608,0.10000000000000002,0.818289297614605,0.16854257213351628,0.1297400698642398,0.6440867259820096,0.0,22,-1.8562252593863757,0.2,0.2,0.571218009,0.2874014758034934
30,4.0,1.4,1.0,100.0,0.1,0.7121588479215777,0.0006674622828305843,0.054495390947650026,0.0026043848038856334,0.10000000000000002,0.868196070094629,0.22523268706940366,0.08244337758516046,0.8775688118103149,0.0,21,-1.824226191160475,0.2,0.2,0.538124146,0.2530217868571592
30,4.0,1.6,1.0,100.0,0.1,0.6968305516487341,0.0007518395387389994,0.06452204353336288,0.0030421302539602566,0.10000000000000002,0.49309080610375755,0.22555291622754023,0.05020572093683284,0.9076250360385042,0.0,22,-1.7878623993362885,0.2,0.2,0.567783535,0.21733042731455723
30,4.0,1.8,1.0,100.0,0.1,0.6784353830240119,0.0008152368916908041,0.07755390792059783,0.0034988493805014043,0.10000000000000002,0.21158991704208763,0.22498419281314638,0.22559044914467197,0.9536381836396084,0.0,23,-1.7475365106690046,0.2,0.2,0.594305246,0.18058737251196336
30,4.0,2.0,1.0,100.0,0.1,0.6569973313939333,0.0007934774178484235,0.09501905919769359,0.0037337514266450366,0.10000000000000002,0.007702282706811836,0.2036608251377317,0.44244337061871974,0.9365350398940484,0.0,25,-1.704098900616267,0.2,0.2,0.63730014,0.142154453244135
30,4.5,1.0,1.0,100.0,0.1,0.7252044805078276,0.00019876550334957163,0.04197440833851746,0.0007667237429003651,0.10000000000000002,0.892450895555208,0.12377294291238514,0.15301443090151717,0.46183258455885845,0.0,22,-1.913778103125982,0.2,0.2,0.55645662,0.33069868800617275
30,4.5,1.2,1.0,100.0,0.1,0.7144319382508653,0.00033102938942387573,0.04758472315956035,0.001273710181058748,0.10000000000000002,0.9868637806501823,0.16602759174208112,0.15763315103697745,0.6334684347647359,0.0,21,-1.8845887270424426,0.2,0.2,0.535155661,0.2973008928143075
30,4.5,1.4,1.0,100.0,0.1,0.7012844997149877,0.000432834308128414,0.0545135527648178,0.0016959014041984031,0.10000000000000002,0.8092075867622617,0.18668729777315426,0.10447726763821857,0.7294722137895439,0.0,21,-1.852106650970354,0.2,0.2,0.545313548,0.26332685924258015
30,4.5,1.6,1.0,100.0,0.1,0.6857516134747611,0.0006101911587375828,0.06303751743300132,0.002477626713553826,0.10000000000000002,0.8056399014087612,0.23734231900736508,0.024704711884748765,0.9570418836377846,0.0,20,-1.8164231584095512,0.2,0.2,0.510765654,0.22920816503786567
30,4.5,1.8,1.0,100.0,0.1,0.6672464399014382,0.0006144736209015601,0.07348799943565898,0.0026274600575663695,0.10000000000000002,0.39842213323222353,0.22268754893539935,0.1206789608156067,0.9416126546642583,0.0,21,-1.7764851040198233,0.2,0.2,0.681269378,0.19416567908742569
30,4.5,2.0,1.0,100.0,0.1,0.646518631231806,0.0006027824720479571,0.08637194624042496,0.0027756223709848107,0.10000000000000002,0.13762586591421488,0.20708328576586463,0.2990069079644664,0.9360585941622683,0.0,22,-1.7339367126571887,0.2,0.2,0.56691397,0.1587648698441352
30,5.0,1.0,1.0,100.0,0.1,0.7159909079536353,0.00014479222053262483,0.04301904719518736,0.0005664669847376258,0.10000000000000002,0.8516992219130826,0.1102600792328592,0.1487998352267303,0.40959629202523395,0.0,22,-1.9436564520295463,0.2,0.2,0.560257121,0.3400374322405776
