L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.0,0.40469623277305744,0.3094850098213456,0.8991931669808384,true,30,-0.9646573664958156,0.2,0.2,1.738945428,0.0
256,0.0,4.4,1.0,100.0,0.0,0.0,0.4037612166133763,0.38685626227668196,0.9735853807321115,true,29,-0.8992655001159341,0.2,0.2,0.866976375,0.0
256,0.0,4.8,1.0,100.0,0.0,0.0,0.39783409350476295,0.9444732965739303,0.5482860933867517,true,25,-0.8347255387566053,0.2,0.2,0.746066757,0.0
256,0.0,5.2,1.0,100.0,0.0,0.0,0.37659863618134515,0.9444732965739303,5.456305540718631e-5,true,25,-0.7744661794414007,0.2,0.2,0.752785949,0.0
256,0.0,5.6,1.0,100.0,0.0,0.0,0.35168865672364236,0.0,0.7627406124904867,true,20,-0.7213957621193233,0.1,0.2,1.883748633,0.0
256,0.0,6.0,1.0,100.0,0.0,0.0,0.32985194964596865,0.0,0.5971129323216751,true,220,-0.6749795907631725,0.1,0.2,7.504644236,0.0
256,0.0,6.4,1.0,100.0,0.0,0.0,0.30983315981081305,0.0,0.6575632959991973,true,29,-0.6341893923109972,0.1,0.2,0.988867098,0.0
256,0.0,6.8,1.0,100.0,0.0,0.0,0.2915471979825426,0.0,0.2186833888772055,true,124,-0.5980530944151025,0.05,0.1,5.33803267,0.0
256,0.0,7.2,1.0,100.0,0.0,0.0,0.2761482332462658,0.0,0.9197475561594226,true,20,-0.5660031845777995,0.025,0.05,1.348479006,0.0
256,0.0,7.6,1.0,100.0,0.0,0.0,0.26108792078425586,0.0,0.5574066532603172,true,6,-0.5371085102220102,0.0125,0.025,0.950529639,0.0
256,0.0,8.0,1.0,100.0,0.0,0.0,0.24818397167957357,0.0,0.5014612072030133,true,10,-0.5111356903920816,0.0125,0.025,0.290792226,0.0
256,0.4,4.0,1.0,100.0,0.0,0.174900491568873,0.3943384480143012,0.9442181584263798,0.14926440752760506,true,58,-0.9675928637132165,0.2,0.2,1.76408566,0.0
256,0.4,4.4,1.0,100.0,0.0,0.236298517083314,0.3806114748031403,0.9184639306309972,0.2153215575105838,true,47,-0.9073764580228708,0.2,0.2,1.43472119,0.0
256,0.4,4.8,1.0,100.0,0.0,0.2874282761616074,0.3621697244112264,0.961261719521378,0.18120885735473102,true,40,-0.8521241670972425,0.2,0.2,1.227475662,0.0
256,0.4,5.2,1.0,100.0,0.0,0.3260269408530114,0.34237464498069503,0.8465130046293456,0.10967421721741477,true,38,-0.8024700620175131,0.2,0.2,1.151599703,0.0
256,0.4,5.6,1.0,100.0,0.0,0.3549095712350575,0.3231301063487816,0.9932432198815899,0.09518707886646549,true,36,-0.7581916276102747,0.2,0.2,1.087680388,0.0
256,0.4,6.0,1.0,100.0,0.0,0.3769182368189615,0.305170725195011,0.836796314088506,0.06252373056359062,true,36,-0.7187348381811979,0.2,0.2,1.090459374,0.0
256,0.4,6.4,1.0,100.0,0.0,0.3940735172179466,0.2886871370584235,0.99381648909036,0.060053770034929066,true,35,-0.6834884528062461,0.2,0.2,1.066268765,0.0
256,0.4,6.8,1.0,100.0,0.0,0.40773020508804153,0.27365180343470086,0.95889995322751,0.048131525654748764,true,37,-0.6518846858684043,0.2,0.2,1.120932877,0.0
256,0.4,7.2,1.0,100.0,0.0,0.41880128094946945,0.25995891688669814,0.9402909283952043,0.03631296285400154,true,36,-0.6234272821522263,0.2,0.2,1.102444231,0.0
256,0.4,7.6,1.0,100.0,0.0,0.4276331553693459,0.24788671579978833,0.5450608988726291,0.9235077366614997,true,52,-0.5977047130193238,0.2,0.2,1.575620502,0.0
256,0.4,8.0,1.0,100.0,0.0,0.43553358524245633,0.23607033098691677,0.9525595973798318,0.03046570591669351,true,28,-0.574323519844079,0.1,0.2,0.91236773,0.0
256,0.8,4.0,1.0,100.0,0.0,0.28037191407374673,0.36518728444099224,0.8722705806388786,0.2927279638595959,true,45,-0.9901888613490266,0.2,0.2,1.355212758,0.0
256,0.8,4.4,1.0,100.0,0.0,0.3142164572927687,0.34907445185060415,0.9715317083828223,0.30449113116759463,true,40,-0.9391303124578297,0.2,0.2,1.212546458,0.0
256,0.8,4.8,1.0,100.0,0.0,0.34230420974640996,0.3320695346980542,0.8509821115452176,0.20957912604369078,true,38,-0.8927190322030871,0.2,0.2,1.147607317,0.0
256,0.8,5.2,1.0,100.0,0.0,0.36510748756069167,0.31520874131764376,0.9687321620990286,0.18414776932995647,true,36,-0.8508236841130261,0.2,0.2,1.086902197,0.0
256,0.8,5.6,1.0,100.0,0.0,0.38355022514632064,0.29908477282877854,0.9956735522006488,0.15071532498645013,true,35,-0.8130981839899194,0.2,0.2,1.065355419,0.0
256,0.8,6.0,1.0,100.0,0.0,0.39854180968035247,0.28397219669175633,0.8693342244421309,0.10767082498674974,true,35,-0.7791159950540104,0.2,0.2,1.061512997,0.0
256,0.8,6.4,1.0,100.0,0.0,0.41083659026625063,0.2699571572614269,0.9822294909996865,0.10171157038807443,true,34,-0.7484460449242948,0.2,0.2,1.036995524,0.0
256,0.8,6.8,1.0,100.0,0.0,0.4210217688493001,0.25702696130522706,0.9148991023053554,0.08059971623963769,true,34,-0.7206878689998724,0.2,0.2,1.040978526,0.0
256,0.8,7.2,1.0,100.0,0.0,0.42954479280383284,0.24512173516346086,0.8653616130190889,0.0657889146488122,true,34,-0.6954843355170238,0.2,0.2,1.03602989,0.0
256,0.8,7.6,1.0,100.0,0.0,0.43674552858941473,0.23416228895010366,0.8992596887651416,0.05970199516347474,true,34,-0.6725234516904187,0.2,0.2,1.027866043,0.0
256,0.8,8.0,1.0,100.0,0.0,0.4428834031257538,0.22406456296746594,0.9796508049655372,0.05736876023504367,true,33,-0.651535391858851,0.2,0.2,1.002407012,0.0
256,1.2,4.0,1.0,100.0,0.0,0.33116131718968655,0.3392647333391794,0.8397022306068092,0.34528761362029314,true,41,-1.0282580797236447,0.2,0.2,1.244395335,0.0
256,1.2,4.4,1.0,100.0,0.0,0.3538119145065975,0.32394475794081606,0.9294940921610317,0.3308208065918583,true,38,-0.9842615696288955,0.2,0.2,1.164181412,0.0
