L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,3.874658327,0.0
256,0.0,0.4,1.0,100.0,0.0,0.4049902343952866,-1.063612280471915e-7,2.3087054351568687e-6,0.057678977066681666,3.469446951953614e-18,0.07678382025544384,0.00025864892200579717,0.047869750032752206,0.9820512593348152,0.021267647932553167,true,42,-1.5557525823144067,0.2,0.2,4.655908979,0.0
256,0.0,0.8,1.0,100.0,0.0,0.40174788431039044,-7.468710533919953e-7,1.585925553351862e-5,0.14727707125977751,0.0,0.01817043508178795,0.006025848506305267,0.1372443923132098,0.9230613807023058,0.026584559915691953,true,41,-1.4952322352235083,0.2,0.2,4.47312908,0.0
256,0.0,1.2,1.0,100.0,0.0,0.39454347381090454,-3.970720882678913e-6,5.946292567044365e-5,0.21152942746843484,0.0,0.08700547400342096,0.01869818440389169,0.28304319116875254,0.9598322790291824,0.021267647932560984,true,42,-1.4450747910912283,0.2,0.2,4.408444987,0.0
256,0.0,1.6,1.0,100.0,0.0,0.3843327529606188,-2.2077352984942178e-5,0.00027502087596726656,0.2569756855690057,-6.938893903907228e-18,0.16426796114932252,0.0631504802342339,0.7899677060215748,0.9030835093947198,0.026584559915718016,true,41,-1.406654271592524,0.2,0.2,4.52638224,0.0
256,0.0,2.0,1.0,100.0,0.0,0.3720388562012428,-4.601930581646374e-5,0.0005203366134952075,0.2900347746660443,6.938893903907228e-18,0.06773423066586126,0.08158046320966023,0.9228514775349652,0.20833391522379063,0.005575186299620067,true,48,-1.379573653083497,0.2,0.2,5.162976312,0.0
256,0.0,2.4,1.0,100.0,0.0,0.358487015122974,-8.303992044428332e-5,0.000894502410804016,0.314488223071242,6.938893903907228e-18,0.0041766013454402895,0.08813173488059461,0.9493759925822214,0.01629660606561334,0.0003064991081637306,true,61,-1.362890053273193,0.2,0.2,6.504208355,0.0
256,0.0,2.8,1.0,100.0,0.0,0.3442396626215732,-0.00015982285153892661,0.001690562530784338,0.33292874070790757,0.0,0.0034677532817495305,0.0907073665401765,0.9594982349233373,0.004471389016380556,1.1579209131323903e-6,true,86,-1.355530618841752,0.2,0.2,9.319109542,0.0
256,0.0,3.2,1.0,100.0,0.0,0.3297234765413082,-0.0004443563565906389,0.004708490850131222,0.3470134807797587,-6.938893903907228e-18,0.009312145585083087,0.09292475243968704,0.9847360427375061,0.008222409094593708,5.85088894369828e-13,true,151,-1.3564800945241542,0.2,0.2,16.354818421,0.0
256,0.0,3.6,1.0,100.0,0.0,0.30951290401565146,-0.007238432233023409,0.07851072328996483,0.35341666329993715,0.0,0.14557174616403046,0.09046894959603008,0.9985440221304265,0.12148045477577973,1.4334385338673963e-9,true,116,-1.3870241487631858,0.2,0.2,12.353091476,0.0
256,0.0,4.0,1.0,100.0,0.0,0.281267349993076,-0.012975763874806048,0.1469805708720543,0.3502533310827457,2.0816681711721685e-17,0.29747290601489507,0.0806998963315056,0.9742583104908054,0.11674198497568788,0.021267647932535456,true,42,-1.47148883486927,0.2,0.2,4.454959226,0.0
256,5.0,0.0,1.0,100.0,0.0,0.40525405929677527,0.0,-4.1359030627651384e-25,0.0,5.976044831578366e-8,0.9645807775411352,0.30948500982138744,0.3094850098213456,0.3094850098213456,0.00013632719245256105,true,30,-1.6212674825230817,0.2,0.2,3.234330005,0.0
256,5.0,0.4,1.0,100.0,0.0,0.4049920858085552,-3.9763321698638165e-6,2.5727778223801176e-5,0.05752285347016385,1.734723475976807e-18,0.9739371357314619,0.016954522915942485,0.5322759515609048,0.8166526935762947,3.3835193402240794e-15,true,30,-1.5557526180958776,0.2,0.2,3.213258717,0.0
256,5.0,0.8,1.0,100.0,0.0,0.4017493613390525,-3.568615526139407e-7,7.696225623319902e-6,0.14725594877727555,0.0,0.03236499328540532,0.0029555904148434943,0.0666040745712922,0.9749101273140437,4.1820592505164484e-15,true,45,-1.4952322277463723,0.2,0.2,4.88744051,0.0
256,5.0,1.2,1.0,100.0,0.0,0.39454353603089354,-2.883789415167315e-6,4.320713699116491e-5,0.21152906555356926,6.938893903907228e-18,0.11012101733731683,0.013593774567636552,0.20566390026580264,0.9649190835950838,1.5008235723828458e-14,true,44,-1.4450747903445331,0.2,0.2,4.755672471,0.0
256,5.0,1.6,1.0,100.0,0.0,0.38433450539653835,-1.9176044440627482e-5,0.0002388823369646291,0.2569698593567261,-2.0122792321330962e-16,0.18818913608120713,0.05484833265851276,0.6861341355184332,0.938386469892083,6.333101801804929e-13,true,42,-1.4066542570704939,0.2,0.2,4.480244732,0.0
256,5.0,2.0,1.0,100.0,0.0,0.3720406960785919,-4.5383662328632446e-5,0.0005131450945976539,0.2900308136103249,-2.0122792321330962e-16,0.08030529306513046,0.08044440472004051,0.9100527199912599,0.24015186426340485,7.031997242427977e-13,true,48,-1.379573644857101,0.2,0.2,5.112794698,0.0
256,5.0,2.4,1.0,100.0,0.0,0.35848708720053435,-8.210154983115392e-5,0.0008843942395326005,0.3144881576183662,2.0816681711721685e-17,0.004968208518252304,0.08713542240901803,0.9386442031226825,0.017522638250611067,4.258134418045292e-14,true,61,-1.3628900249503644,0.2,0.2,6.572872235,0.0
256,5.0,2.8,1.0,100.0,0.0,0.3442394859247895,-0.0001658775211794694,0.0017546077393697287,0.33292851549509506,6.938893903907228e-18,0.003728962959526072,0.09414399274073622,0.9958526655366399,0.004825885463910495,1.2411885772099268e-14,true,85,-1.355531101307224,0.2,0.2,8.76539212,0.0
256,5.0,3.2,1.0,100.0,0.0,0.3297228796062157,-0.0004508833319656347,0.00477765661769995,0.3470129537803027,-6.938893903907228e-18,0.009588086791190165,0.0942930945884502,0.9992401055029659,0.008466254249994698,2.186404296829223e-14,true,150,-1.3564819971423574,0.2,0.2,15.815965678,0.0
256,5.0,3.6,1.0,100.0,0.0,0.30951958203982183,-0.007234256392141161,0.07846464908190379,0.3534222248751112,2.0816681711721685e-17,0.1443939974296038,0.08979101193398557,0.9910269645643788,0.12047386199609544,4.224074969278065e-14,true,116,-1.386998262122026,0.2,0.2,12.17553065,0.0
256,5.0,4.0,1.0,100.0,0.0,0.28126463955832426,-0.012976608216147392,0.14699074705502724,0.3502507978390773,-6.830539606150765e-11,0.2858737198694339,0.07960480627623723,0.9611682908249319,0.1341769889537936,2.9765836985565203e-7,true,43,-1.4715008300244357,0.2,0.2,4.551668372,0.0
256,10.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,-2.2420775429197073e-44,-8.96831017167883e-44,-1.652879367202371e-27,0.32485736542275934,0.033999245791417124,0.38512178644410167,0.9176714566717622,3.538176498866771e-24,true,64,-1.6212674825229374,0.1,0.2,7.826335312,0.0
256,10.0,0.4,1.0,100.0,0.0,0.40499026456577714,-1.5404269249064129e-9,1.2068749115991305e-7,0.05767641074952763,0.0,0.012692530191649176,4.205898747756504e-5,0.002504134543512783,0.9783874408507975,5.207537330960006e-16,true,122,-1.5557525829582226,0.1,0.2,13.833722258,0.0
256,10.0,0.8,1.0,100.0,0.0,0.4017469435523069,-2.469025734419539e-7,5.35056896700122e-6,0.1472905260937944,-1.3877787807814457e-17,0.03873694365985614,0.002062615858133093,0.04630623102647156,0.8962547224282136,3.3703611979122945e-14,true,47,-1.4952322397355438,0.2,0.2,4.909994436,0.0
256,10.0,1.2,1.0,100.0,0.0,0.3945399747583905,-2.450825516184252e-6,3.673218929560462e-5,0.2115505346227621,-6.938893903907228e-18,0.1062452158279159,0.011563776760275377,0.17485045744625996,0.890351983469595,1.6793402634444482e-14,true,45,-1.4450747986091745,0.2,0.2,4.768347529,0.0
256,10.0,1.6,1.0,100.0,0.0,0.38433724213471004,-1.893604885690181e-5,0.00023588215479199322,0.2569606297806567,-2.0816681711721685e-17,0.19890340351869096,0.054148378830215824,0.6774880439319633,0.9861165640328018,4.6397232890203685e-14,true,42,-1.4066542524644416,0.2,0.2,4.44692826,0.0
256,10.0,2.0,1.0,100.0,0.0,0.3720443109097804,-4.937661394882609e-5,0.000558282726837795,0.29002282734035967,-6.938893903907228e-18,0.0996232271402997,0.08750254267174139,0.9900176451109262,0.30113731467151794,1.2366814606518275e-14,true,47,-1.3795736957521325,0.2,0.2,4.961635345,0.0
256,10.0,2.4,1.0,100.0,0.0,0.35848722612680806,-8.688339162336856e-5,0.0009359038284768931,0.31448772161440963,2.7755575615628914e-17,0.006641428177411868,0.09220914631036123,0.9933046348178306,0.0217467683325534,6.964832028009585e-14,true,60,-1.3628901726323643,0.2,0.2,6.15334489,0.0
256,10.0,2.8,1.0,100.0,0.0,0.3442395556838824,-0.0001635220239276508,0.0017296917048295803,0.332928603843741,-6.938893903907228e-18,0.003620073200871765,0.09280700584713877,0.9817092942452625,0.004694916266534399,1.64755024281986e-14,true,85,-1.3555309114779415,0.2,0.2,8.769426427,0.0
256,10.0,3.2,1.0,100.0,0.0,0.32972326477248715,-0.00044668278206977385,0.004733143747559928,0.34701329382242163,6.938893903907228e-18,0.009410036064250171,0.0934124569539731,0.9899055631379973,0.008308912178511818,1.87024563005391e-14,true,150,-1.3564807694967538,0.2,0.2,15.40303684,0.0
256,10.0,3.6,1.0,100.0,0.0,0.30951983981086395,-0.007234095158177953,0.07846287013375552,0.35342243953118946,0.0,0.1443485820183943,0.08976485809725904,0.9907369775356001,0.12043506128955883,7.026038975791055e-15,true,115,-1.3869972629099478,0.2,0.2,11.949222975,0.0
256,10.0,4.0,1.0,100.0,0.0,0.2812666229742202,-0.012975898770365354,0.1469821292946229,0.3502531380316364,0.0,0.28041648107124395,0.07959304598034733,0.9610779949351667,0.14773493442854502,8.208256570729214e-15,true,44,-1.471490671441315,0.2,0.2,4.589725241,0.0
