L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.2812747083036734,-0.012973486965485323,0.1469531003069786,0.35026014194450733,0.0,0.3062035881049585,0.08233755895933545,0.9945803866611147,0.10534292337982532,0.025273239981126096,true,176,-1.4714564572979059,0.05,0.05,12.03554175,0.0
256,0.0,4.4,1.0,100.0,0.0,0.25678113089405696,-0.015678641619648506,0.18567249577763797,0.3465738148527594,1.0408340855860843e-17,0.28554201055930317,0.07460300181671292,0.9893070224525347,0.3320826261534737,0.0060106559450208855,true,204,-1.567797151275606,0.05,0.05,13.466082379,0.0
256,0.0,4.8,1.0,100.0,0.0,0.23630063882144592,-0.01704501291421423,0.21072542847026265,0.343497934872534,1.0408340855860843e-17,0.2982655131348877,0.06858367852284608,0.9898331693591889,0.38105308046387787,0.01365665017171563,true,188,-1.6684340882616375,0.05,0.05,12.513200513,0.0
256,0.0,5.2,1.0,100.0,0.0,0.2189070765461167,-0.017736172548967352,0.22855544015519136,0.3409031613533815,1.3877787807814457e-17,0.30745834916928727,0.06402182309220988,0.9951432146323436,0.3788500143181439,0.02947746316501969,true,173,-1.7723982119524906,0.05,0.05,11.60470659,0.0
256,0.0,5.6,1.0,100.0,0.0,0.2039414530243414,-0.0180399084776951,0.24194334997843844,0.3386867556647992,1.734723475976807e-17,0.3152210040214265,0.06046868861817045,0.999381799232979,0.3244315179385948,0.054551518215426524,true,161,-1.8790086310379976,0.05,0.05,10.733752797,0.0
256,0.0,6.0,1.0,100.0,0.0,0.1909221279119695,-0.018107041692758577,0.2523660157474359,0.33677051712602674,1.214306433183765e-17,0.3166329963028014,0.056936600760025546,0.9867815512554223,0.22250034727933077,0.08655544515189997,true,152,-1.9877658397617313,0.05,0.05,10.240169867,0.0
256,0.0,6.4,1.0,100.0,0.0,0.17949333071806767,-0.018023795613168803,0.2606811109898105,0.33510853333639723,1.5612511283791264e-17,0.32618698070940866,0.055770431217731786,0.9973197297015179,0.0768949175496969,0.13046846474672746,true,144,-2.098227299891171,0.05,0.05,9.627470557,0.0
256,0.0,6.8,1.0,100.0,0.0,0.16937535379884844,-0.01784460714433518,0.26746246472321367,0.33364801721647275,1.3877787807814457e-17,0.3281949680773999,0.05437245261864093,0.9901984492061144,0.09686532713759632,0.17748592578786485,true,138,-2.2101346953234655,0.05,0.05,9.253297997,0.0
256,0.0,7.2,1.0,100.0,0.0,0.16035501040101433,-0.01760348401546434,0.27307878458625856,0.33236016955970904,1.5612511283791264e-17,0.3299535169302148,0.05382118064885949,0.9861434795461754,0.2931218304401684,0.22937490081016787,true,133,-2.3232250620235284,0.05,0.05,8.852686085,0.0
256,0.0,7.6,1.0,100.0,0.0,0.15226168886938418,-0.017323201184450618,0.2777946352585357,0.33121743340045406,1.734723475976807e-17,0.32816895685677805,0.053465662595966745,0.9767890211724861,0.4976922841775089,0.2816122047070431,true,129,-2.437312473183453,0.05,0.05,8.664536083,0.0
256,0.0,8.0,1.0,100.0,0.0,0.14495945345843808,-0.017018936475292373,0.28179680675818497,0.3302009281923396,1.6479873021779667e-17,0.3354197553106508,0.05518903657562857,0.9975216102172668,0.733887656314991,0.3457459101229055,true,125,-2.5522291050741477,0.05,0.05,8.326190768,0.0
256,5.0,4.0,1.0,100.0,0.0,0.2812744448562905,-0.012973503307625117,0.14695325365535417,0.3502602428278603,-1.0417952542307596e-9,0.2987686255434552,0.08186504047461018,0.9888512716790809,0.11997794317242239,4.539698654547805e-6,true,179,-1.4714566377537772,0.05,0.05,11.8459195,0.0
256,5.0,4.4,1.0,100.0,0.0,0.2567801797625906,-0.015678898449905013,0.18567591116787913,0.3465725444942235,-2.387393165104168e-10,0.28446328588016545,0.0743503280337815,0.9859782320252863,0.3313804932163489,1.1217611880957895e-6,true,205,-1.5678027423912944,0.05,0.05,13.465492318,0.0
256,5.0,4.8,1.0,100.0,0.0,0.2362985763966447,-0.017045514394990996,0.21073271997814824,0.34349458085909323,-2.246279297984932e-9,0.2953414788799402,0.06794320334603532,0.9806602427376299,0.3782383840987835,1.1311336641727971e-5,true,189,-1.6684488626257792,0.05,0.05,12.520683869,0.0
256,5.0,5.2,1.0,100.0,0.0,0.21890501676995971,-0.017736641115048288,0.2285628489233627,0.340899231661824,-1.4723000929528496e-8,0.3035839026661047,0.06326442268096005,0.9835284311973669,0.3758989545576963,7.903779501736609e-5,true,174,-1.7724158479548675,0.05,0.05,11.499135104,0.0
256,5.0,5.6,1.0,100.0,0.0,0.20393975656736668,-0.01804027622272708,0.2419496397275699,0.3386830595794419,-6.187845754193622e-8,0.3107735372561704,0.05969028944299154,0.9868706259663629,0.3233303791423392,0.00035250038095506,true,162,-1.8790256970854804,0.05,0.05,10.759384563,0.0
256,5.0,6.0,1.0,100.0,0.0,0.19092094712135105,-0.018107288097136964,0.2523705466345446,0.3367676413110775,-1.7893978391560206e-7,0.3118425154504667,0.056174163638636476,0.9742914457294694,0.2249986461143605,0.0010772859695968643,true,153,-1.9877795768762518,0.05,0.05,10.215303712,0.0
256,5.0,6.4,1.0,100.0,0.0,0.1794926739856875,-0.01802392848940737,0.2606837065937434,0.3351067857252123,-4.356035169985478e-7,0.3208874597714906,0.05498402002596797,0.9846072105879067,0.08480523084086755,0.002761336800046369,true,145,-2.0982359694265025,0.05,0.05,9.623063434,0.0
256,5.0,6.8,1.0,100.0,0.0,0.1693752110021383,-0.017844635739036954,0.26746300651283916,0.3336476384993121,-8.50551222040391e-7,0.3224489405417863,0.0535459055877735,0.977308265037724,0.08255205617180295,0.0056585234856281145,true,139,-2.2101366677243393,0.05,0.05,9.195264701,0.0
256,5.0,7.2,1.0,100.0,0.0,0.16035532579766232,-0.017603424658638497,0.27307734554993207,0.33236123585068245,-1.4665187039568373e-6,0.32366257505250795,0.05291263787196576,0.9725783998564275,0.27157006290590147,0.010208617751550665,true,134,-2.3232193994428294,0.05,0.05,8.806597573,0.0
256,5.0,7.6,1.0,100.0,0.0,0.15226239387313195,-0.01732307084844409,0.2777913722686849,0.33121992462480715,-2.2637632162234717e-6,0.3213229759033709,0.05244797873750484,0.9621433967312853,0.4686598683838472,0.01644411044901658,true,130,-2.4372986884789505,0.05,0.05,8.485036064,0.0
