L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,0,0.0,1,100,0.4,0.170187803384022,5.55111512312578e-17,0.0,0.0,0.0,0.54834221393768,0.78125,0.78125,0.78125,0.78125,true,9,-3.23615635831453,0.5,0.5,0.858986943,2.83926499776947
128,0,0.1,1,100,0.4,0.17018767530797,-3.75045459050094e-7,4.61731120244845e-5,6.58827167990225e-6,-2.97476031527268e-5,0.274412614560238,0.384682094080881,0.826340424887842,0.480975377496607,0.110145479123494,true,10,-3.21154160762726,0.5,0.5,4.227265,2.81513348223813
128,0,0.2,1,100,0.4,0.170187542012361,-3.69779441594664e-7,0.000120089323943934,8.77716018953098e-6,-7.73558519331633e-5,0.137692594631644,0.188841773231667,0.946382003775144,0.308997705995203,0.287766526583354,true,11,-3.18690927024515,0.5,0.5,4.610218794,2.79098242162809
128,0,0.3,1,100,0.4,0.170187405339951,-1.35503329556919e-7,0.000165879428000071,4.94729641134847e-6,-0.000106833218198127,0.0347580626163246,0.0459541194946783,0.753410892864658,0.111829746327681,0.404400885370639,true,13,-3.16226582159543,0.5,0.5,5.47642234,2.76681900988819
128,0,0.4,1,100,0.4,0.170187260423227,-4.37855809665155e-8,0.000255345519247017,2.71787254750198e-6,-0.000164424126774787,0.00896086698976006,0.011114874793174,0.733495619088135,0.044312389253044,0.451898601360533,true,15,-3.13762880087322,0.5,0.5,6.297593082,2.74266273393104
128,0,0.5,1,100,0.4,0.170187092117542,-1.31031028249851e-8,0.00044998326797217,1.52965884996256e-6,-0.000289704097852669,0.00256692962913307,0.0026766075946436,0.841947236258476,0.019158231746629,0.536785829430797,true,17,-3.11299453153446,0.5,0.5,7.166917303,2.71850949906616
128,0,0.6,1,100,0.4,0.170186880720306,-1.7974713661939e-9,0.000732478022553671,5.24058579318826e-7,-0.000471487045716003,0.000731973753720361,0.000318921754335498,0.881618479909312,0.00524352876326744,0.566694990991452,true,20,-3.08836104160924,0.5,0.5,8.38943036,2.69435707279836
128,0,0.7,1,100,0.4,0.170186501008792,-8.8726748170842e-11,0.00129955507460623,1.18106626440328e-7,-0.000836320423767754,0.000694210494311953,1.92338875570746e-5,0.94568936366011,0.000969610743348677,0.608346815627803,true,24,-3.06372793063486,0.5,0.5,10.005912457,2.6702047812514
128,0,0.8,1,100,0.4,0.170185356076949,6.13195605403405e-12,0.00257022313972353,1.1371038552488e-8,-0.00165344970763481,0.00116684447620807,3.66078252852515e-7,0.961780783538172,7.81807331365841e-5,0.618248617317973,true,30,-3.03909500346603,0.5,0.5,12.625847914,2.64605092761501
128,0,0.9,1,100,0.4,0.17017518697462,1.23983323607746e-11,0.00739961477972311,5.22208192133163e-9,-0.00475112693385788,0.00331201856151875,1.31845784147955e-7,0.989426804702107,3.11155023117162e-5,0.632388233698468,true,33,-3.01446351114869,0.5,0.5,13.916460612,2.62187395085786
