L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.0,0.40525405929677566,0.3094850098213456,0.9447155553944375,true,30,-1.6212674825229372,0.2,0.2,1.706933456,0.0
256,0.5,0.0,1.0,100.0,0.0,0.0011970061325068508,0.4052538783106825,0.9729707720979534,0.0010638190124367952,true,63,-1.6212672755742135,0.2,0.2,2.173543706,0.0
256,1.0,0.0,1.0,100.0,0.0,0.06061884273621823,0.4045176622372073,0.9584685958149708,0.04649301019288288,true,48,-1.621753318932444,0.2,0.2,1.5839192,0.0
256,1.5,0.0,1.0,100.0,0.0,0.12541628013988942,0.40066325416518855,0.9415224820828183,0.01335359105658629,true,40,-1.6262470854020508,0.2,0.2,1.311018431,0.0
256,2.0,0.0,1.0,100.0,0.0,0.1874322179133471,0.39214946475191914,0.996263684037324,0.17317873338418277,true,50,-1.6388598051421823,0.2,0.2,1.628681838,0.0
256,2.5,0.0,1.0,100.0,0.0,0.23984461478567903,0.3795692176275812,0.976124489566188,0.2792543006184811,true,51,-1.6620907647701744,0.2,0.2,1.693743435,0.0
256,3.0,0.0,1.0,100.0,0.0,0.28262878416996795,0.36424058719368246,0.9650054312960732,0.39007294987447594,true,50,-1.6965997514900992,0.2,0.2,1.714424923,0.0
256,3.5,0.0,1.0,100.0,0.0,0.31719950769789684,0.34743992322476513,0.8969136104606257,0.4718207279328368,true,49,-1.741914325590977,0.2,0.2,1.659516403,0.0
256,4.0,0.0,1.0,100.0,0.0,0.34505500865860284,0.3301941927517794,0.9385164833909387,0.6040211048304878,true,47,-1.7970289304041243,0.2,0.2,1.605949486,0.0
256,4.5,0.0,1.0,100.0,0.0,0.3676384979506766,0.31313909592349254,0.8684502353090151,0.6600680633409572,true,46,-1.8607679587921906,0.2,0.2,1.57061747,0.0
256,5.0,0.0,1.0,100.0,0.0,0.3860003091521526,0.2967480305537219,0.947494553703021,0.81762528162177,true,44,-1.931973653122952,0.2,0.2,1.480289729,0.0
256,5.5,0.0,1.0,100.0,0.0,0.40108625241947266,0.28120114492623427,0.9124683816404966,0.8782649741910786,true,43,-2.0095908923038652,0.2,0.2,1.451720633,0.0
256,6.0,0.0,1.0,100.0,0.0,0.4135524528361445,0.26663536969359697,0.8971313183306906,0.9436139444530811,true,42,-2.0926955653143766,0.2,0.2,1.457121247,0.0
256,6.5,0.0,1.0,100.0,0.0,0.4239535332573307,0.2530519485929972,0.7613202574637823,0.87016618283553,true,42,-2.1804958959589875,0.2,0.2,1.413662508,0.0
256,7.0,0.0,1.0,100.0,0.0,0.43266185102810373,0.24048676645200637,0.7766233045882753,0.9408193661541442,true,41,-2.272321224019657,0.2,0.2,1.40408047,0.0
256,7.5,0.0,1.0,100.0,0.0,0.4400371051672971,0.22884043949193267,0.6767869839721108,0.869658795569106,true,41,-2.367606823605769,0.2,0.2,1.378375195,0.0
