L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
128,0.0,4.0,1.0,100.0,0.0,0.0,0.4046965043137819,0.328458614616758,0.9590602499408574,true,126,-0.9646573626751064,0.05,0.05,1.767502362,0.0
128,0.0,4.1,1.0,100.0,0.0,0.0,0.4045676743824945,0.3457459101229032,0.9947020563956244,true,125,-0.9482849042921059,0.05,0.05,0.948883528,0.0
128,0.0,4.2,1.0,100.0,0.0,0.0,0.4043900301993928,0.3457459101229032,0.9717809949372214,true,125,-0.9319249207701097,0.05,0.05,0.935687004,0.0
128,0.0,4.3,1.0,100.0,0.0,0.0,0.4041373916824572,0.3639430632872665,0.9874422801057214,true,124,-0.9155824383215165,0.05,0.05,0.925618136,0.0
128,0.0,4.4,1.0,100.0,0.0,0.0,0.4037613815063801,0.3830979613550174,0.9801332056388334,true,123,-0.8992655001522756,0.05,0.05,0.91549989,0.0
128,0.0,4.5,1.0,100.0,0.0,0.0,0.4031750249513757,0.42448527573963146,0.9824642875861933,true,121,-0.8829876015478593,0.05,0.05,0.90261723,0.0
128,0.0,4.6,1.0,100.0,0.0,0.0,0.4022126203554775,0.4950987324561965,0.954137850782244,true,118,-0.8667723669818054,0.05,0.05,0.87988636,0.0
128,0.0,4.7,1.0,100.0,0.0,0.0,0.4005876613141083,0.6735195133702903,0.9384058420842667,true,112,-0.8506617570089692,0.05,0.05,0.836976607,0.0
128,0.0,4.8,1.0,100.0,0.0,0.0,0.3978691333720874,0.9644616106539327,0.7221247899671379,true,105,-0.8347256125576455,0.05,0.05,0.779749895,0.0
128,0.0,4.9,1.0,100.0,0.0,0.0,0.39371515130692236,0.9644616106539327,0.13063230458310038,true,105,-0.8190590849256343,0.05,0.05,0.791410263,0.0
128,0.0,5.0,1.0,100.0,0.0,0.0,0.388538927942366,0.9644616106539327,0.0042415556512631625,true,105,-0.8037565618919804,0.05,0.05,0.775821712,0.0
128,0.0,5.1,1.0,100.0,0.0,0.0,0.3827268890439419,0.9644616106539327,1.240074087860421e-5,true,105,-0.7888820573306775,0.05,0.05,0.786864577,0.0
128,0.0,5.2,1.0,100.0,0.0,0.0,0.3765986595561416,0.9644616106539327,1.64879221387082e-9,true,105,-0.7744661794413809,0.05,0.05,0.778018707,0.0
128,0.0,5.3,1.0,100.0,0.0,0.0,0.3703701380580251,0.9644616106539327,1.1102230246251565e-13,true,105,-0.7605166326474151,0.05,0.05,0.788502717,0.0
128,0.0,5.4,1.0,100.0,0.0,0.0,0.3641629464019458,0.9644616106539327,8.881784197001252e-13,true,105,-0.747028219014204,0.05,0.05,0.778501895,0.0
128,0.0,5.5,1.0,100.0,0.0,0.0,0.358043622932706,0.9644616106539327,2.4424906541753444e-12,true,105,-0.7339890104298159,0.05,0.05,0.788339572,0.0
