L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,0,0,1,100,0,0.405230593084624,-1.38777878078145E-17,0,0,0,0.596153502118391,0.1953125,0.1953125,0.1953125,0.1953125,true,11,-1.62122871226945,0.5,0.5,0.621930076,0
128,0,0.1,1,100,0,0.405229916728147,-6.23076606684481E-07,6.4650170150178E-07,0.000241278337505029,0,0.149204797822988,0.0109519759850452,0.0612264734377044,0.967247284261231,0.048828125,true,13,-1.60480755201345,0.5,0.5,0.199377471,0
128,0,0.2,1,100,0,0.405229154721268,-7.77043707156366E-12,2.51473890791119E-09,0.00093664574782112,2.71050543121376E-20,0.000270190153806027,4.78675672113338E-08,0.000114055436342723,0.905113037728157,4.76837158202784E-05,true,23,-1.58838639894078,0.5,0.5,0.328200443,0
128,0,0.3,1,100,0,0.405205971338951,-2.29677388219329E-14,6.00696848220093E-12,0.020907962994277,0,0.0022279788537416,8.39633627554684E-10,1.73680030242525E-07,0.949215167417479,2.32830639363726E-08,true,34,-1.57196560480832,0.5,0.5,0.478327433,0
128,0,0.4,1,100,0,0.40497002253866,-1.45834479492457E-08,9.5840973368032E-07,0.0583125468831688,3.46944695195361E-18,0.030267034414444,0.000301840464035335,0.0198845192766435,0.962888403287232,0.00610351562499097,true,16,-1.55573129859488,0.5,0.5,0.231047603,0
128,0,0.5,1,100,0,0.404542289533359,-9.07736724398145E-07,3.18488631860203E-05,0.0832358566672708,1.73472347597681E-18,0.607744597903137,0.0108056499988359,0.505449059284987,0.510987482947534,0.195312499999988,true,11,-1.53984836044476,0.5,0.5,0.155589158,0
128,0,0.6,1,100,0,0.403891044855909,-8.87628837528687E-07,2.74775613501471E-05,0.105632064783683,0,0.263229042439583,0.0105512347025916,0.347341014824131,0.994726309696686,0.0976562499999985,true,12,-1.52440905879867,0.5,0.5,0.171364128,0
128,0,0.7,1,100,0,0.402947421281586,-3.14540468782099E-07,8.11817480547337E-06,0.12738398804311,0,0.00749649147102627,0.00320747212919591,0.0840638027081679,0.879981784643102,0.0122070312500026,true,15,-1.50951056224155,0.5,0.5,0.21122968,0
128,0,0.8,1,100,0,0.401740097614883,-3.44729010115508E-07,7.59218050268751E-06,0.147348628709974,-3.46944695195361E-18,0.039278676023824,0.00295327948608861,0.0657099563932879,0.840463160023675,0.0061035156250114,true,16,-1.4952278237556,0.5,0.5,0.227497857,0
128,0,0.9,1,100,0,0.400282851356767,-6.18905157193095E-07,1.20113471793024E-05,0.165579503058892,-6.93889390390723E-18,0.0637973345437581,0.00450609316324112,0.0882044001410651,0.926908811596128,0.00610351562502778,true,16,-1.48161387940762,0.5,0.5,0.224908612,0
128,0,1,1,100,0,0.398585123956997,-1.06901355900746E-06,1.87312586965357E-05,0.182275637535091,0,0.0868019154918187,0.00669130156441189,0.118061284757191,0.949052890819369,0.00610351562500193,true,16,-1.46870406372016,0.5,0.5,0.224662004,0
128,0,1.1,1,100,0,0.396664137078721,-1.79111934962839E-06,2.88552284511781E-05,0.197558706431896,-1.38777878078145E-17,0.107178301739452,0.00972285069902324,0.157504147318691,0.929944070302946,0.00610351562501517,true,16,-1.45652005736638,0.5,0.5,0.225588584,0
128,0,1.2,1,100,0,0.394537678679805,-2.92757176630076E-06,4.39787482228813E-05,0.211557292354033,0,0.124333394469267,0.0138751833400866,0.209347473402506,0.885748057375679,0.00610351562501165,true,16,-1.44507324932968,0.5,0.5,0.227646833,0
128,0,1.3,1,100,0,0.392223248517474,-4.68701454803266E-06,6.63938786978503E-05,0.224395254708888,1.38777878078145E-17,0.138038998528378,0.0194960238573587,0.277119507748474,0.827483051826006,0.00610351562500465,true,16,-1.43436731279127,0.5,0.5,0.230020086,0
128,0,1.4,1,100,0,0.389737622663225,-7.37216347733438E-06,9.93720606661721E-05,0.23618685632944,-6.93889390390723E-18,0.148306220256966,0.0270200910498624,0.365195214018835,0.762518607879126,0.00610351562501305,true,16,-1.42440015925945,0.5,0.5,0.227580682,0
128,0,1.5,1,100,0,0.387096658745934,-1.14180104978934E-05,0.000147552611002879,0.247035215919535,0,0.155291556713677,0.0369829048860264,0.478931966121873,0.695710420084261,0.00610351562500045,true,16,-1.41516541085581,0.5,0.5,0.224589422,0
128,0,1.6,1,100,0,0.384335556158208,-2.47415564438302E-05,0.000308418250068194,0.256963569092241,-1.38777878078145E-17,0.237170813563226,0.0708758055007256,0.885806451035319,0.985314623427436,0.0122070312500208,true,15,-1.40665351788021,0.5,0.5,0.210920744,0
128,0,1.7,1,100,0,0.381407260323234,-2.63236410319306E-05,0.000318281871007619,0.266259910805697,6.93889390390723E-18,0.160368737128991,0.0669421422283501,0.810451767891088,0.56806299358525,0.00610351562498586,true,16,-1.39885255125059,0.5,0.5,0.227450309,0
128,0,1.8,1,100,0,0.37837436423794,-2.88602321468212E-05,0.000339979786451404,0.274820885960283,6.93889390390723E-18,0.10217444549987,0.0651409163405269,0.767852977376245,0.316614632595025,0.00305175781251267,true,17,-1.39174885434295,0.5,0.5,0.241124561,0
128,0,1.9,1,100,0,0.375246017974587,-3.26095231077822E-05,0.000375725224688589,0.282728375894258,2.77555756156289E-17,0.0617776750172494,0.0652860097216138,0.752441981346005,0.171244387272229,0.00152587890617043,true,18,-1.38532756146006,0.5,0.5,0.253175046,0
128,0,2,1,100,0,0.372034618415123,-4.96382378368659E-05,0.000561288293129096,0.290042065770195,6.93889390390723E-18,0.0576770326834453,0.0880234902482499,0.995555946471457,0.150195892208327,0.00152587890622241,true,18,-1.37957306095505,0.5,0.5,0.254633353,0
128,0,2.1,1,100,0,0.368739138151074,-4.55537010459195E-05,0.000507033175778715,0.296841319473637,-6.93889390390723E-18,0.0193546826883217,0.0714358614479736,0.795162693074747,0.0472265052591236,0.000381469726583157,true,20,-1.37446858920453,0.5,0.5,0.284401159,0
128,0,2.2,1,100,0,0.365378519879154,-5.62842799075036E-05,0.000618276591189517,0.303151178574463,2.77555756156289E-17,0.00975619676546469,0.0778206190549075,0.85487747334997,0.0250739829276148,0.000190734863240423,true,21,-1.36999785009655,0.5,0.5,0.302124928,0
128,0,2.3,1,100,0,0.361958091191491,-7.15826861826391E-05,0.000777857088972921,0.309020988795676,1.38777878078145E-17,0.00411951737833149,0.0869318005319534,0.944667367948123,0.0143592654402447,9.53674315829697E-05,true,22,-1.36614381451812,0.5,0.5,0.315469464,0
128,0,2.4,1,100,0,0.35848626976987,-7.74116027515703E-05,0.000833866363066252,0.3144880360969,3.46944695195361E-17,0.000131185164509162,0.0821619877713483,0.885046920263356,0.00619156208514493,2.38418578483385E-05,true,24,-1.36288909416319,0.5,0.5,0.341985959,0
128,0,2.5,1,100,0,0.354971198701907,-8.93205950517895E-05,0.000955537627637072,0.319584187725622,0,0.00126902131070139,0.0823172173752112,0.880625782604074,0.00402065854698819,5.96046444589344E-06,true,26,-1.36021702512232,0.5,0.5,0.367711351,0
128,0,2.6,1,100,0,0.351420276755816,-0.000109753777370172,0.00116800896483402,0.324338907994985,1.38777878078145E-17,0.00210955222501585,0.0870958738285848,0.926893136800791,0.00380308951142272,1.4901160729341E-06,true,28,-1.35811089694357,0.5,0.5,0.397389036,0
128,0,2.7,1,100,0,0.347840886415578,-0.000125203859821454,0.00132747806020353,0.328779051336077,-1.38777878078145E-17,0.00244196717757994,0.0846286434492033,0.897289974054268,0.00347013043711097,1.86264515593794E-07,true,31,-1.35655342959967,0.5,0.5,0.43833672,0
128,0,2.8,1,100,0,0.344239305769639,-0.000156883715255504,0.00165943374614892,0.33292789483642,1.38777878078145E-17,0.00321722576723804,0.0890418521613718,0.941854811670163,0.00397270257745941,2.32830703887803E-08,true,34,-1.3555294118666,0.5,0.5,0.477645721,0
128,0,2.9,1,100,0,0.340621941787682,-0.000194652364918946,0.00205658924201432,0.336807447167733,-6.93889390390723E-18,0.0040436034703939,0.0909984350404867,0.961461815712423,0.00448357340276928,1.45520198491172E-09,true,38,-1.35502253220005,0.5,0.5,0.539082438,0
128,0,3,1,100,0,0.336994015266781,-0.000250536312512886,0.00264696714323048,0.340436913631135,6.93889390390723E-18,0.00531620513077868,0.0939168452881391,0.992284382515125,0.0053930582479822,4.54511957857625E-11,true,43,-1.35501904664998,0.5,0.5,0.610842238,0
128,0,3.1,1,100,0,0.333360236635193,-0.000326980603679611,0.0034580407343098,0.343833874043278,-1.38777878078145E-17,0.00691162355648256,0.0944809468048846,0.999250821563744,0.00650020634274107,3.76074133070118E-13,true,50,-1.35550628124833,0.5,0.5,0.709835535,0
128,0,3.2,1,100,0,0.329722440058802,-0.00044910897892686,0.00475874729545806,0.347012313250133,6.93889390390723E-18,0.00935801611900988,0.0939293678303295,0.995358097887693,0.00824163047774551,8.73148105869416E-15,true,60,-1.35648038487636,0.5,0.5,0.854342152,0
128,0,3.3,1,100,0,0.326072326812372,-0.000684828987296104,0.00727663723920496,0.349977299643349,-6.93889390390723E-18,0.0139568452743877,0.0924845876977653,0.982866979924241,0.0116051728422661,5.51678871573315E-15,true,75,-1.35797260528922,0.5,0.5,1.059528945,0
128,0,3.4,1,100,0,0.322305003265859,-0.00138562510715944,0.0147778811033865,0.352658485765679,-6.93889390390723E-18,0.0284424107238612,0.0935538723520835,0.998414127313933,0.0225392091508514,1.24056987656672E-14,true,94,-1.36036029685336,0.5,0.5,1.333400063,0
128,0,3.5,1,100,0,0.317106720937659,-0.00406890636626293,0.0436757381476612,0.354062162345119,6.93889390390723E-18,0.0821027466781921,0.0917747028825623,0.990357554326429,0.0645958215580444,1.39736135874059E-14,true,80,-1.36853795413436,0.5,0.5,1.150268896,0
128,0,3.6,1,100,0,0.30953577310242,-0.00722377220164346,0.0783475511459096,0.353435622362407,6.93889390390723E-18,0.141503442629531,0.0882150220124917,0.973463568454569,0.117947348784897,1.42159825100349E-12,true,48,-1.38693121757635,0.5,0.5,0.681789945,0
128,0,3.7,1,100,0,0.301806687212932,-0.00939147038761165,0.102998760006192,0.352428464804961,2.77555756156289E-17,0.18139258070915,0.0861200632109802,0.973971281754776,0.162054485953744,1.86264469254278E-07,true,31,-1.40794805338737,0.5,0.5,0.440471613,0
128,0,3.8,1,100,0,0.294384553542831,-0.0109814352017651,0.121794495557525,0.351410969040833,6.93889390390723E-18,0.194945499047416,0.0799131137238923,0.926379766200747,0.196718687757169,0.000762939453111814,true,19,-1.42976598865068,0.5,0.5,0.268327589,0
128,0,3.9,1,100,0,0.287632455718282,-0.0121008793480202,0.135645970829843,0.350754776651115,6.93889390390723E-18,0.393156429190911,0.00920741311871004,0.0998676249687192,0.765921711971762,0.0976562500000029,true,12,-1.45063731791389,0.5,0.5,0.172106595,0
128,0,4,1,100,0,0.281210297244079,-0.0129946902643498,0.14720570832739,0.350193978589852,0,0.300750119417881,0.0719721934847907,0.866648904325695,0.0348051375068659,0.02441406250001,true,14,-1.47175238055063,0.5,0.5,0.199125395,0
128,4,0,1,100,0,0.405230593084624,-1.38777878078145E-17,0,0,0,0.331842354895917,0.0347700236420154,0.393879796644701,0.937017556183351,0,true,24,-1.62122871226945,0.25,0.5,0.820904923,0
128,4,0.1,1,100,0,0.405229916775108,3.43163519683776E-08,2.87538133902386E-07,0.000234196199490535,6.7762635780344E-21,0.0189598651325618,0.000604980123100808,0.0272327670136693,0.938852698633832,8.16529342562075E-18,true,34,-1.60480755223806,0.25,0.5,0.523816652,0
128,4,0.2,1,100,0,0.405229151858781,1.44052825223895E-11,2.36399427770972E-09,0.000968251820608578,-5.42101086242752E-20,0.000194343773629591,1.66561852196664E-07,0.000107218693998586,0.935674033263906,1.12514516095086E-16,true,55,-1.58838639501854,0.25,0.5,0.847072271,0
128,4,0.3,1,100,0,0.405205586599047,-3.89965837399586E-14,1.17296345975969E-11,0.0210749323635307,-4.33680868994202E-19,0.0023593564815183,1.69882929279342E-09,3.39142979414269E-07,0.989356476222281,9.60360832908016E-16,true,78,-1.57196556134985,0.25,0.5,1.194550932,0
128,4,0.4,1,100,0,0.404969847433898,-1.14836383457995E-09,8.65851002087334E-08,0.0583272902912008,5.20417042793042E-18,0.0124072509933848,2.8453765865029E-05,0.0017964876689197,0.97987309930006,1.14455047749191E-14,true,47,-1.5557312949682,0.25,0.5,0.720186372,0
128,4,0.5,1,100,0,0.404535581692137,-9.47504907866659E-09,4.27320926169755E-07,0.0835276277640264,0,0.0237813014698496,0.000163673476512037,0.00678298173692514,0.949651448354905,2.26445940743455E-15,true,43,-1.53984830091916,0.25,0.5,0.654184123,0
128,4,0.6,1,100,0,0.403850791534385,-4.54597250676425E-08,1.49844185159324E-06,0.106746953127538,3.46944695195361E-18,0.04023604851211,0.000604632433837206,0.018950275011226,0.994736257892481,5.84259577884742E-15,true,40,-1.52440906280838,0.25,0.5,0.613607642,0
128,4,0.7,1,100,0,0.402900844575683,-1.46478702459096E-07,3.86348826738009E-06,0.12827959292057,0,0.0566359309711606,0.00156553325878218,0.040027245629407,0.957856538453095,4.06865194076547E-15,true,38,-1.50951055187105,0.25,0.5,0.57794287,0
128,4,0.8,1,100,0,0.401685893573007,-4.24510025923142E-07,9.47430926567599E-06,0.148119044477948,-1.73472347597681E-17,0.0777574772821144,0.00375581600770948,0.0820484872825201,0.948107571056955,3.67277020388198E-14,true,36,-1.49522780974167,0.25,0.5,0.552952936,0
128,4,0.9,1,100,0,0.400216679178847,-1.1325576642629E-06,2.21838128737629E-05,0.16630638280556,-3.46944695195361E-18,0.106062408317786,0.00845692550500421,0.16302341247031,0.964834298033401,1.33764314666881E-14,true,34,-1.48161387555093,0.25,0.5,0.530450974,0
128,4,1,1,100,0,0.398514082960662,-2.28554740104581E-06,4.02854170441298E-05,0.182899008541246,-3.46944695195361E-18,0.120703314580806,0.0145740718180245,0.254116362550225,0.858370654455709,4.54105572716252E-15,true,33,-1.46870407673026,0.25,0.5,0.506697926,0
128,4,1.1,1,100,0,0.396584560327567,-5.3957561386847E-06,8.73076493590063E-05,0.198130572889729,-6.93889390390723E-18,0.165483448254178,0.0297469683146989,0.477003720438611,0.912478569895292,1.37990301320025E-14,true,31,-1.45652006307581,0.25,0.5,0.470791485,0
128,4,1.2,1,100,0,0.394532238397332,-5.05152557353505E-07,7.5894032740987E-06,0.211590086189986,1.4086420002668E-08,0.123465865452643,0.00239566100749309,0.0361290266636678,0.772608187065149,4.56601865486373E-05,true,20,-1.44507326012622,0.5,0.5,0.285802659,0
128,4,1.3,1,100,0,0.392229951104247,-2.0013579379724E-06,2.83474614507489E-05,0.224360968830445,5.32366970645848E-09,0.176465334086995,0.0083194250566673,0.118307623737651,0.964098627087739,1.76283466638174E-05,true,18,-1.43436729823365,0.5,0.5,0.256746514,0
