L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
128,0.0,4.0,1.0,100.0,0.0,0.4046965043137819,0.9590602499408574,true,126,-0.8103834384885874,0.05,0.05,1.452672038,0.0
128,0.0,4.1,1.0,100.0,0.0,0.4045676743824946,0.9947020563957354,true,125,-0.810219710751948,0.05,0.05,0.685806156,0.0
128,0.0,4.2,1.0,100.0,0.0,0.40439003019939285,0.9717809949369993,true,125,-0.8099795979097518,0.05,0.05,0.684612601,0.0
128,0.0,4.3,1.0,100.0,0.0,0.40413739168245727,0.9874422801056104,true,124,-0.8096182701788002,0.05,0.05,0.675470384,0.0
128,0.0,4.4,1.0,100.0,0.0,0.40376138150638013,0.9801332056388334,true,123,-0.8090509391390925,0.05,0.05,0.680746494,0.0
128,0.0,4.5,1.0,100.0,0.0,0.4031750249513757,0.9824642875859713,true,121,-0.8081213317018391,0.05,0.05,0.665622791,0.0
128,0.0,4.6,1.0,100.0,0.0,0.40221262035547756,0.954137850782355,true,118,-0.8065240666500142,0.05,0.05,0.648217321,0.0
128,0.0,4.7,1.0,100.0,0.0,0.4005876613141084,0.9384058420843777,true,112,-0.8037159559197753,0.05,0.05,0.613159487,0.0
128,0.0,4.8,1.0,100.0,0.0,0.3979124383271281,0.9380259650985101,true,102,-0.7989346474571088,0.05,0.05,0.558588634,0.0
128,0.0,4.9,1.0,100.0,0.0,0.3939566846822812,0.9714732368784063,true,89,-0.7916827632175382,0.05,0.05,0.483907524,0.0
128,0.0,5.0,1.0,100.0,0.0,0.38885478885806635,0.8932541659779636,true,77,-0.7821524517990546,0.05,0.05,0.419421502,0.0
128,0.0,5.1,1.0,100.0,0.0,0.383029599864666,0.7567926871540065,true,67,-0.7711283527099011,0.05,0.05,0.367756716,0.0
128,0.0,5.2,1.0,100.0,0.0,0.37699925729055517,0.936593173698097,true,58,-0.7596588651832054,0.05,0.05,0.316797476,0.0
128,0.0,5.3,1.0,100.0,0.0,0.3706868936040103,0.7108576440486569,true,52,-0.747523575895167,0.05,0.05,0.281179713,0.0
128,0.0,5.4,1.0,100.0,0.0,0.3644183324648022,0.5583829431268228,true,47,-0.7354210909530592,0.05,0.05,0.254904517,0.0
128,0.0,5.5,1.0,100.0,0.0,0.35820361852319277,0.34371470918126423,true,43,-0.7233596422131112,0.05,0.05,0.239418672,0.0
128,0.0,5.6,1.0,100.0,0.0,0.3522884705581848,0.5097515735186242,true,39,-0.7119327788989657,0.05,0.05,0.210828753,0.0
128,0.0,5.7,1.0,100.0,0.0,0.3462622824043424,0.13956297741424262,true,36,-0.7001241238723652,0.05,0.05,0.196707119,0.0
128,0.0,5.8,1.0,100.0,0.0,0.34025512100179667,0.5026819037621255,true,34,-0.688249004943799,0.05,0.05,0.185949017,0.0
128,0.0,5.9,1.0,100.0,0.0,0.3351366582277845,0.3843593523171762,true,33,-0.6785210702508528,0.05,0.05,0.177366179,0.0
128,0.0,6.0,1.0,100.0,0.0,0.32923562203729806,0.67771739008049,true,34,-0.666663432545623,0.05,0.05,0.185724453,0.0
128,0.0,6.1,1.0,100.0,0.0,0.32476982019125966,0.9091800201256328,true,35,-0.6584953061114419,0.05,0.05,0.192163851,0.0
128,0.0,6.2,1.0,100.0,0.0,0.3188119399298551,0.8898091721308843,true,49,-0.6461779660723844,0.05,0.05,0.273189789,0.0
128,0.0,6.3,1.0,100.0,0.0,0.3146116210240588,0.6239252988315958,true,8,-0.6385068429135321,0.025,0.05,0.771475768,0.0
128,0.0,6.4,1.0,100.0,0.0,0.30936959098372274,0.2911880464222527,true,8,-0.6278456482279501,0.025,0.05,0.063820915,0.0
128,0.0,6.5,1.0,100.0,0.0,0.3044072839910631,0.9118404681662806,true,5,-0.6178817890505663,0.025,0.05,0.035472331,0.0
128,0.0,6.6,1.0,100.0,0.0,0.3001418697413407,0.3793746417636301,true,6,-0.6096857226991527,0.025,0.05,0.031784185,0.0
128,0.0,6.7,1.0,100.0,0.0,0.29616357358930845,0.47640040456642385,true,11,-0.6022649232313343,0.025,0.05,0.061179061,0.0
128,0.0,6.8,1.0,100.0,0.0,0.2915240149723539,0.2658612733721366,true,45,-0.5927853005891108,0.05,0.05,0.245524087,0.0
128,0.0,6.9,1.0,100.0,0.0,0.2870162799585255,0.9792565630435401,true,10,-0.5836305582990702,0.025,0.05,0.056408859,0.0
128,0.0,7.0,1.0,100.0,0.0,0.2830975550317537,0.7265575759731746,true,14,-0.5760020377955429,0.025,0.05,0.08150425,0.0
128,0.0,7.1,1.0,100.0,0.0,0.27915630273186076,0.7426540308760332,true,15,-0.5682276389388814,0.025,0.05,0.086618502,0.0
128,0.0,7.2,1.0,100.0,0.0,0.275973315572971,0.5649807208436552,true,185,-0.5626290856589647,0.05,0.05,1.017016622,0.0
128,0.0,7.3,1.0,100.0,0.0,0.27241348663817083,0.9012226934560497,true,41,-0.5558527307330055,0.025,0.05,0.228361529,0.0
128,0.0,7.4,1.0,100.0,0.0,0.2678509364460769,0.9920467532483768,true,135,-0.5458291126367371,0.025,0.05,0.758398317,0.0
128,0.0,7.5,1.0,100.0,0.0,0.26474197150282275,0.1310945592757351,true,6,-0.5400881760147163,0.0125,0.025,0.778803121,0.0
128,0.0,7.6,1.0,100.0,0.0,0.2611516627872785,0.4284304071856537,true,5,-0.5328489972259264,0.0125,0.025,0.040405713,0.0
128,0.0,7.7,1.0,100.0,0.0,0.2584011254798848,0.796352129963207,true,5,-0.5281895623710988,0.0125,0.025,0.036413355,0.0
128,0.0,7.8,1.0,100.0,0.0,0.2549800436494284,0.4943325510473606,true,7,-0.521224859535689,0.0125,0.025,0.040888706,0.0
128,0.0,7.9,1.0,100.0,0.0,0.25186886068868125,0.6549625323709618,true,5,-0.5152066933853112,0.0125,0.025,0.025498565,0.0
128,0.0,8.0,1.0,100.0,0.0,0.24818440999893385,0.5005757462400173,true,9,-0.5072006090855016,0.0125,0.025,0.046968142,0.0
128,0.0,4.0,1.0,100.0,0.01,0.4046269457815842,0.9583534016295303,true,126,-0.8102328126267081,0.05,0.05,32.279129539,0.006498360455756529
128,0.0,4.1,1.0,100.0,0.01,0.4044973776780827,0.9939746056364385,true,125,-0.8100682127477954,0.05,0.05,31.938216948,0.005930492537551903
128,0.0,4.2,1.0,100.0,0.01,0.4043190451623126,0.971076851854491,true,125,-0.809827269091109,0.05,0.05,32.025383557,0.00535606096762887
128,0.0,4.3,1.0,100.0,0.01,0.40406584638222104,0.9867656627602361,true,124,-0.8094652861551997,0.05,0.05,31.760603809,0.004778545900458987
128,0.0,4.4,1.0,100.0,0.01,0.4036896071869477,0.979585323006904,true,123,-0.808897837970049,0.05,0.05,31.754514746,0.004197906276518716
128,0.0,4.5,1.0,100.0,0.01,0.4031038406054771,0.9822659722154015,true,121,-0.8079695342235724,0.05,0.05,30.95359775,0.0036196733596343842
128,0.0,4.6,1.0,100.0,0.01,0.4021439211363097,0.9548475256326849,true,118,-0.8063770141425329,0.05,0.05,30.481626081,0.003053082050796542
128,0.0,4.7,1.0,100.0,0.01,0.40052526899071395,0.941229839064528,true,112,-0.8035808460112608,0.05,0.05,28.783109764,0.0025214770855553972
128,0.0,4.8,1.0,100.0,0.01,0.39786187446748544,0.9450047689373298,true,102,-0.7988223208977949,0.05,0.05,25.94330395,0.002060309164740233
128,0.0,4.9,1.0,100.0,0.01,0.39392166071459883,0.9846460627083164,true,89,-0.7916011608452059,0.05,0.05,22.813712113,0.0017014095340743764
128,0.0,5.0,1.0,100.0,0.01,0.38883380314323823,0.9114177602234097,true,77,-0.7820995541928235,0.05,0.05,19.754007574,0.0014429199301503356
