L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.4046965608349101,0.9589445302794486,true,126,-0.8103835130026099,0.05,0.05,3.46072083,0.0
256,0.0,4.4,1.0,100.0,0.0,0.40376137995959616,0.9800685951748545,true,123,-0.8090509363576293,0.05,0.05,2.687179287,0.0
256,0.0,4.8,1.0,100.0,0.0,0.39791242439795627,0.9379563300828675,true,102,-0.7989346199371845,0.05,0.05,2.216718374,0.0
256,0.0,5.2,1.0,100.0,0.0,0.3769991487892577,0.9363390981222963,true,58,-0.7596586214811067,0.05,0.05,1.253385285,0.0
256,0.0,5.6,1.0,100.0,0.0,0.35228822610813965,0.5092327308543476,true,39,-0.7119321686025103,0.05,0.05,0.845168964,0.0
256,0.0,6.0,1.0,100.0,0.0,0.3292359301270971,0.6770802473301529,true,34,-0.6666642102807987,0.05,0.05,0.746125136,0.0
256,0.0,6.4,1.0,100.0,0.0,0.30921064237669893,0.6164641678756411,true,5,-0.6274173489903958,0.025,0.05,0.86609822,0.0
256,0.0,6.8,1.0,100.0,0.0,0.291544924320454,0.22331034555356233,true,73,-0.5928451937591426,0.05,0.05,1.615428952,0.0
256,0.0,7.2,1.0,100.0,0.0,0.276147211362416,0.9176749544778096,true,20,-0.5632070976013129,0.025,0.05,0.455201524,0.0
256,0.0,7.6,1.0,100.0,0.0,0.2610874928982251,0.55827243976736,true,6,-0.5326597630376583,0.0125,0.025,0.890358939,0.0
256,0.0,8.0,1.0,100.0,0.0,0.24818400838037896,0.5013870669003939,true,10,-0.5071994025433818,0.0125,0.025,0.236988547,0.0
256,0.0,4.0,1.0,100.0,0.05,0.40272957562155254,0.9551139187564672,true,126,-0.8062516855780737,0.05,0.05,131.546611616,0.036317235134186825
256,0.0,4.4,1.0,100.0,0.05,0.40184139082566694,0.9828488853971251,true,123,-0.8050005760861171,0.05,0.05,127.827291065,0.02276932125549993
256,0.0,4.8,1.0,100.0,0.05,0.39655516326751694,0.961981551109492,true,104,-0.7959433501411287,0.05,0.05,108.389512491,0.011034029410651807
256,0.0,5.2,1.0,100.0,0.05,0.37661848899571304,0.9331848812245136,true,60,-0.7586294075020725,0.05,0.05,62.429544749,0.005901828018940225
256,0.0,5.6,1.0,100.0,0.05,0.3521442651322535,0.5341983601165889,true,40,-0.7114338220124824,0.05,0.05,41.143295984,0.004415536250969193
256,0.0,6.0,1.0,100.0,0.05,0.32972118378720827,0.5120067188734145,true,33,-0.667804987648484,0.05,0.05,34.207582488,0.0037527152157760036
256,0.0,6.4,1.0,100.0,0.05,0.3093399083169268,0.22898734549936517,true,6,-0.6276473915429331,0.025,0.05,6.17489115,0.0033617568278677323
256,0.0,6.8,1.0,100.0,0.05,0.29140020673444716,0.42794738508566965,true,9,-0.5923242235275429,0.025,0.05,9.386945619,0.003107480039249392
256,0.0,7.2,1.0,100.0,0.05,0.2752617210497501,0.8087166208223806,true,20,-0.5603874155893067,0.025,0.05,20.583121971,0.0029254845579799313
256,0.0,7.6,1.0,100.0,0.05,0.26131012108535046,0.051621105429888736,true,7,-0.5332242151781026,0.0125,0.025,7.232353658,0.0027941695980233778
256,0.0,8.0,1.0,100.0,0.05,0.24826046668910412,0.30047355678342047,true,313,-0.5073279889889144,0.05,0.05,326.813154463,0.002688414393624718
256,0.0,4.0,1.0,100.0,0.1,0.3954230209657111,0.9956811216891293,true,125,-0.7914276353585058,0.05,0.05,135.65397433,0.0901587727004062
256,0.0,4.4,1.0,100.0,0.1,0.39487778929519624,0.969867093153387,true,124,-0.790692739065983,0.05,0.05,135.282294068,0.05730876687630372
256,0.0,4.8,1.0,100.0,0.1,0.39156639601321697,0.9926192868633388,true,111,-0.7851972492380704,0.05,0.05,122.508182806,0.0280313642013677
256,0.0,5.2,1.0,100.0,0.1,0.3751666351179969,0.8589387052686526,true,68,-0.7548790551875716,0.05,0.05,74.620887912,0.013559652173460904
256,0.0,5.6,1.0,100.0,0.1,0.35155357084131833,0.4312395288814663,true,44,-0.709557018843578,0.05,0.05,48.614499081,0.00959035467012539
256,0.0,6.0,1.0,100.0,0.1,0.32943942544160915,0.553478031796617,true,33,-0.6666661862662756,0.05,0.05,36.292460325,0.0079729106262726
256,0.0,6.4,1.0,100.0,0.1,0.30973602838194103,0.992583810986436,true,51,-0.6283995914252734,0.05,0.05,56.116498753,0.007076554322314342
256,0.0,6.8,1.0,100.0,0.1,0.2912832169740186,0.37266196694274445,true,6,-0.5916565864871229,0.025,0.05,6.50262119,0.006472188343985425
256,0.0,7.2,1.0,100.0,0.1,0.2759101184305809,0.7338991410880125,true,11,-0.5619720338694021,0.025,0.05,11.639462333,0.006077978051061593
256,0.0,7.6,1.0,100.0,0.1,0.2617363571595972,0.9931162750036471,true,65,-0.5342732809918271,0.025,0.05,68.082476278,0.00577703282292689
256,0.0,8.0,1.0,100.0,0.1,0.24848700776971816,0.3067307994982782,true,7,-0.5077192547202594,0.0125,0.025,7.368284428,0.005537448454160318
256,0.0,4.0,1.0,100.0,0.15,0.3812883680657685,0.9577869463628375,true,125,-0.7630142543970596,0.05,0.05,144.586297144,0.17218866889001894
256,0.0,4.4,1.0,100.0,0.15,0.38102424865869644,0.9753614897035634,true,124,-0.7626913679666437,0.05,0.05,144.597022131,0.11784753727783169
256,0.0,4.8,1.0,100.0,0.15,0.3798512804816968,0.9647256167436558,true,120,-0.7608905886218708,0.05,0.05,138.716516653,0.06539184272944405
256,0.0,5.2,1.0,100.0,0.15,0.3711369448462151,0.9681626650850372,true,87,-0.7453026338264244,0.05,0.05,99.348187689,0.028267485172820676
256,0.0,5.6,1.0,100.0,0.15,0.35033371438973926,0.5878851493441584,true,53,-0.70589469491676,0.05,0.05,60.863492049,0.0171738799830713
256,0.0,6.0,1.0,100.0,0.15,0.3287334298654608,0.44003891146915386,true,37,-0.6641698378332983,0.05,0.05,42.954315849,0.013489768110497017
256,0.0,6.4,1.0,100.0,0.15,0.3085579248731782,0.5919061324598518,true,33,-0.624611808780452,0.05,0.05,38.943531526,0.011603889730035467
256,0.0,6.8,1.0,100.0,0.15,0.2911266005612312,0.1025155850497006,true,4,-0.5906209218177478,0.025,0.05,4.324066612,0.010495205910354929
256,0.0,7.2,1.0,100.0,0.15,0.2755195053160759,0.38622511040187213,true,7,-0.5601930545711705,0.025,0.05,7.511938127,0.00973968504327508
256,0.0,7.6,1.0,100.0,0.15,0.2615177127625868,0.9033076336438794,true,15,-0.5329595969583417,0.025,0.05,16.030372406,0.009191482780628028
256,0.0,8.0,1.0,100.0,0.15,0.24868200592987172,0.9893908758678016,true,259,-0.5077740700391316,0.025,0.05,276.712464786,0.008769055214409823
256,0.0,4.0,1.0,100.0,0.2,0.35921032740462533,0.9848787362258804,true,123,-0.7187455071635904,0.05,0.05,137.23895405,0.2994721503214601
256,0.0,4.4,1.0,100.0,0.2,0.359096406700976,0.972739760469965,true,123,-0.7186282783371166,0.05,0.05,138.724012401,0.22380074031747085
256,0.0,4.8,1.0,100.0,0.2,0.3587682891526245,0.9760626404063943,true,122,-0.7181944917082036,0.05,0.05,138.08988205,0.14880583914147782
256,0.0,5.2,1.0,100.0,0.2,0.3571440307724515,0.9940969280334278,true,115,-0.7155737757454974,0.05,0.05,131.355342479,0.07779354719903182
256,0.0,5.6,1.0,100.0,0.2,0.34657615591731683,0.953935782618931,true,77,-0.696313154563938,0.05,0.05,87.863350201,0.03468587701420292
