L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,4.0,4.0,1.0,100.0,0.0,0.2812779176684812,-0.012972358482138902,0.14693554239064957,0.35026402955692426,-5.473416921086827e-9,0.3025945044675682,0.08247700408056322,0.9961325194159376,0.11636321044528053,2.680591233626283e-5,true,178,-1.4714337779276352,0.05,0.05,3.087376521,0.0
128,4.0,4.1,1.0,100.0,0.0,0.27471530427126534,-0.013843327984533485,0.1585734972620478,0.3492797177429866,-8.836385095856159e-10,0.2719312287182696,0.07981200570181604,0.9874760948071493,0.24296557401981556,4.417963656104627e-6,true,201,-1.495037492773052,0.05,0.05,2.965338458,0.0
128,4.0,4.2,1.0,100.0,0.0,0.26845868370674886,-0.014565176948172998,0.16871522017582338,0.34833745542574823,-6.442491193303646e-10,0.2764783506297164,0.07836966339108686,0.9927533462566474,0.2847120308331341,3.2863892901161815e-6,true,207,-1.5189821319672023,0.05,0.05,3.050316226,0.0
128,4.0,4.3,1.0,100.0,0.0,0.2624876623302522,-0.015169325771069248,0.17767070763786458,0.3474371892535762,-7.843058806578096e-10,0.28200121547716783,0.07666329649036463,0.9937608802111919,0.3121699440025161,4.079821788948915e-6,true,207,-1.543235955988984,0.05,0.05,3.03984958,0.0
128,4.0,4.4,1.0,100.0,0.0,0.256781098015224,-0.015678885760129713,0.1856686815393041,0.346574281313187,-1.1178734396488643e-9,0.28389884929014286,0.07424734122173787,0.9844125647220925,0.33112740707053057,5.926867269961911e-6,true,205,-1.5677880510241045,0.05,0.05,3.011285722,0.0
128,4.0,4.5,1.0,100.0,0.0,0.25132796010026204,-0.01610883390162264,0.19284885781490177,0.3457554911873556,-1.8548220563630036e-9,0.2893776200932896,0.0729759305439226,0.9890237057726403,0.34954559152577946,1.0018385737808285e-5,true,201,-1.5925797668758361,0.05,0.05,2.964667453,0.0
128,4.0,4.6,1.0,100.0,0.0,0.24610560966711167,-0.016473769849184625,0.19935917149233615,0.3449700955464946,-3.027245013692559e-9,0.2919869422949861,0.0712581629011208,0.9866780571335387,0.36262759598404415,1.6649789661973583e-5,true,197,-1.6176315319729977,0.05,0.05,2.895692231,0.0
128,4.0,4.7,1.0,100.0,0.0,0.24110063169630275,-0.016783393712643063,0.20529209563765094,0.3442178338127212,-4.864993522618599e-9,0.2934333229093755,0.06948966022828074,0.9825033763386504,0.3719062974536502,2.723437187062824e-5,true,193,-1.6429197860725713,0.05,0.05,2.839927704,0.0
128,4.0,4.8,1.0,100.0,0.0,0.23630438510738194,-0.017044584530118215,0.21070815886105743,0.3435047131395458,-8.350132120471532e-9,0.3012693187521842,0.06925418678750683,0.9989965266385958,0.3834993773397244,4.755666759947986e-5,true,188,-1.6683952337266277,0.05,0.05,2.765953393,0.0
128,4.0,4.9,1.0,100.0,0.0,0.23169597407862969,-0.017266010230063147,0.2157006480734079,0.3428155427755662,-1.3041336302532791e-8,0.30359461114926045,0.06794963222982175,0.9995339067093711,0.38749278573579904,7.553518075943815e-5,true,184,-1.6941034973621054,0.05,0.05,2.720479367,0.0
