L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.0,0.40525405929677566,0.3094850098213456,0.9447155553944375,true,30,-1.6212674825229372,0.2,0.2,1.74268991,0.0
256,0.0,0.4,1.0,100.0,0.0,0.0,0.4052496932618992,0.3094850098213456,0.9446307746843186,true,30,-1.5555758186435262,0.2,0.2,0.876798383,0.0
256,0.0,0.8,1.0,100.0,0.0,0.0,0.40524393549204907,0.3094850098213456,0.9444984094593156,true,30,-1.4898857852620657,0.2,0.2,0.901659376,0.0
256,0.0,1.2,1.0,100.0,0.0,0.0,0.4052361803991563,0.3094850098213456,0.9442890820587913,true,30,-1.4241979261729256,0.2,0.2,0.899977055,0.0
256,0.0,1.6,1.0,100.0,0.0,0.0,0.40522546629436557,0.3094850098213456,0.9439508950838116,true,30,-1.3585130349858694,0.2,0.2,0.892230613,0.0
256,0.0,2.0,1.0,100.0,0.0,0.0,0.4052101856635011,0.3094850098213456,0.9433865679138176,true,30,-1.2928323130064234,0.2,0.2,0.910385671,0.0
256,0.0,2.4,1.0,100.0,0.0,0.0,0.4051874668737676,0.3094850098213456,0.942399171188324,true,30,-1.2271576677561438,0.2,0.2,0.908158779,0.0
256,0.0,2.8,1.0,100.0,0.0,0.0,0.4051517149290952,0.3094850098213456,0.940548388890794,true,30,-1.1614923290843864,0.2,0.2,0.902322541,0.0
256,0.0,3.2,1.0,100.0,0.0,0.0,0.40509069657556207,0.3094850098213456,0.9367126375934287,true,30,-1.095842271216453,0.2,0.2,0.913414075,0.0
256,0.0,3.6,1.0,100.0,0.0,0.0,0.4049730278656961,0.3094850098213456,0.9274729169876927,true,30,-1.030220024042082,0.2,0.2,0.90315715,0.0
256,0.0,4.0,1.0,100.0,0.0,0.0,0.40469623277305744,0.3094850098213456,0.8991931669808384,true,30,-0.9646573664958156,0.2,0.2,0.898712424,0.0
256,0.4,0.0,1.0,100.0,0.0,0.0006209947900121071,0.40525401059612387,0.9411393281723825,0.01400939897944209,true,49,-1.6212674160285903,0.2,0.2,1.476595641,0.0
256,0.4,0.4,1.0,100.0,0.0,0.0007141286403326877,0.405249621504352,0.93434398432792,0.007363293429984985,true,52,-1.5555757379767436,0.2,0.2,1.55976912,0.0
256,0.4,0.8,1.0,100.0,0.0,0.0009116164477785591,0.40524380977982905,0.9991801651322071,0.004035007646785438,true,55,-1.4898856675962422,0.2,0.2,1.664883868,0.0
256,0.4,1.2,1.0,100.0,0.0,0.0010953732319026069,0.4052359852591346,0.9618737761638526,0.0014082846762075718,true,61,-1.424197779771607,0.2,0.2,1.839321719,0.0
256,0.4,1.6,1.0,100.0,0.0,0.0015021149272464447,0.40522509076917806,0.9827188956506435,0.0007440754880017053,true,69,-1.358512812614091,0.2,0.2,2.091139261,0.0
256,0.4,2.0,1.0,100.0,0.0,0.002279498342510907,0.40520932652952457,0.9660212910656187,0.0007941209324568987,true,84,-1.2928319500073742,0.2,0.2,2.546506701,0.0
256,0.4,2.4,1.0,100.0,0.0,0.005258077105423883,0.40518312100763165,0.9877883767628222,0.0017093510049637217,true,113,-1.2271567275054562,0.2,0.2,3.434888307,0.0
256,0.4,2.8,1.0,100.0,0.0,0.032042984332876015,0.40498049871899133,0.9868396728239387,0.011439307340599392,true,76,-1.1614958117377665,0.2,0.2,2.298954166,0.0
256,0.4,3.2,1.0,100.0,0.0,0.06889342134651402,0.4041227277538857,0.9680119025576583,0.03064532992103075,true,59,-1.0960044388319068,0.2,0.2,1.786189412,0.0
256,0.4,3.6,1.0,100.0,0.0,0.11623507184585838,0.401417896781598,0.9769545379126054,0.07682100921968527,true,65,-1.0310586394777026,0.2,0.2,1.960361067,0.0
256,0.4,4.0,1.0,100.0,0.0,0.174900491568873,0.3943384480143012,0.9442181584263798,0.14926440752760506,true,58,-0.9675928637132165,0.2,0.2,1.755883139,0.0
256,0.8,0.0,1.0,100.0,0.0,0.033502786116854866,0.40508061980687493,0.9663205003870856,0.012501539401243988,true,64,-1.621315007063218,0.2,0.2,1.937434393,0.0
256,0.8,0.4,1.0,100.0,0.0,0.04306789060026668,0.4049341096523835,0.9849807033670277,0.020720766213067066,true,56,-1.5556931853575757,0.2,0.2,1.703924912,0.0
256,0.8,0.8,1.0,100.0,0.0,0.05420227944885192,0.4046915912515934,0.9824356772553944,0.04220028097212669,true,48,-1.4901316817824413,0.2,0.2,1.472237897,0.0
256,0.8,1.2,1.0,100.0,0.0,0.067633606560239,0.40428197200022303,0.956239345331289,0.3417491576417353,true,35,-1.4246716004751048,0.2,0.2,1.057264498,0.0
256,0.8,1.6,1.0,100.0,0.0,0.08256057023461205,0.40365690594984105,0.8812117076636983,0.8950748471752146,true,30,-1.3593860516869531,0.2,0.2,0.908416399,0.0
256,0.8,2.0,1.0,100.0,0.0,0.1038686873321954,0.40241108336152365,0.9446734674951052,0.05100813567526785,true,49,-1.2944080731848402,0.2,0.2,1.473352933,0.0
256,0.8,2.4,1.0,100.0,0.0,0.13053861445463988,0.4001668504856386,0.9807892461105583,0.09339729151669474,true,55,-1.2299797162764834,0.2,0.2,1.68020203,0.0
256,0.8,2.8,1.0,100.0,0.0,0.16327911594800776,0.3961608659593009,0.9560173535795302,0.13569589294681883,true,57,-1.166530040895125,0.2,0.2,1.71621992,0.0
256,0.8,3.2,1.0,100.0,0.0,0.20128045599953703,0.3893818223815897,0.9547921294499884,0.196156785239876,true,55,-1.10476016506154,0.2,0.2,1.627549467,0.0
256,0.8,3.6,1.0,100.0,0.0,0.24168239579364548,0.3790151023086005,0.9815706457634299,0.27560497844436593,true,50,-1.045639937958671,0.2,0.2,1.487822547,0.0
256,0.8,4.0,1.0,100.0,0.0,0.28037191407374673,0.36518728444099224,0.8722705806388786,0.2927279638595959,true,45,-0.9901888613490266,0.2,0.2,1.344001472,0.0
256,1.2,0.0,1.0,100.0,0.0,0.08698573223907385,0.4034360266017837,0.9785040323600502,0.6516021924870552,true,32,-1.6228243043356039,0.2,0.2,0.95401735,0.0
256,1.2,0.4,1.0,100.0,0.0,0.09972052956921076,0.4026899148776454,0.5197985764475721,0.903178194576304,true,30,-1.5578291263754,0.2,0.2,0.89292367,0.0
256,1.2,0.8,1.0,100.0,0.0,0.11608414860408027,0.4014855836416168,0.9281545914375244,0.0243699871254055,true,43,-1.4931606020897459,0.2,0.2,1.273516014,0.0
256,1.2,1.2,1.0,100.0,0.0,0.13569689422423564,0.39963370971076384,0.9503270516979523,0.08948208195214136,true,50,-1.4289828543347167,0.2,0.2,1.482124841,0.0
256,1.2,1.6,1.0,100.0,0.0,0.15851936906056052,0.39683946734879527,0.9987826429991298,0.1315425080322674,true,53,-1.3655416025306952,0.2,0.2,1.569802401,0.0
256,1.2,2.0,1.0,100.0,0.0,0.18471390713092317,0.3926509470411499,0.9263605801013708,0.16298180471574497,true,55,-1.3031974564647344,0.2,0.2,1.658637827,0.0
256,1.2,2.4,1.0,100.0,0.0,0.21375016449314044,0.38656637300871044,0.9483723640310582,0.21834833250244934,true,54,-1.2424520177474274,0.2,0.2,1.598945186,0.0
256,1.2,2.8,1.0,100.0,0.0,0.24463865636804266,0.3781056955427131,0.8926438530439951,0.2645118472162089,true,52,-1.183941573600457,0.2,0.2,1.540995935,0.0
256,1.2,3.2,1.0,100.0,0.0,0.27562074879056964,0.3671258934765048,0.932254091612239,0.3394487073725694,true,48,-1.1283632257298464,0.2,0.2,1.423824048,0.0
256,1.2,3.6,1.0,100.0,0.0,0.30491034465520617,0.3539367959348183,0.9304162682419737,0.383537153582969,true,44,-1.0763350613739222,0.2,0.2,1.303355526,0.0
256,1.2,4.0,1.0,100.0,0.0,0.33116131718968655,0.3392647333391794,0.8397022306068092,0.34528761362029314,true,41,-1.0282580797236447,0.2,0.2,1.214592679,0.0
256,1.6,0.0,1.0,100.0,0.0,0.1384608964907329,0.39933368395155977,0.9729516104715619,0.06495500734360338,true,44,-1.6280092346147426,0.2,0.2,1.297421758,0.0
256,1.6,0.4,1.0,100.0,0.0,0.15602482820531227,0.39718132714358867,0.9662052666238874,0.11562027134282005,true,49,-1.564574316781416,0.2,0.2,1.453487739,0.0
256,1.6,0.8,1.0,100.0,0.0,0.17572969664588023,0.3942158242693663,0.9427903209986432,0.1482257431030254,true,52,-1.5019480810948702,0.2,0.2,1.545136632,0.0
256,1.6,1.2,1.0,100.0,0.0,0.19754123871779006,0.39016513235567285,0.9628264192242941,0.19015553134016372,true,53,-1.4404221869543117,0.2,0.2,1.5692624,0.0
256,1.6,1.6,1.0,100.0,0.0,0.22129812407133212,0.3847026048881529,0.9580005068799968,0.23536929564138553,true,53,-1.3803734110218226,0.2,0.2,1.563895055,0.0
256,1.6,2.0,1.0,100.0,0.0,0.24649555903735887,0.3775229248772441,0.9346301677497504,0.2830862385488908,true,52,-1.3222608115700245,0.2,0.2,1.538967557,0.0
256,1.6,2.4,1.0,100.0,0.0,0.27230872672541984,0.3684346968949741,0.906927408774405,0.3330603264265486,true,50,-1.266596247261702,0.2,0.2,1.480969372,0.0
256,1.6,2.8,1.0,100.0,0.0,0.2976967312105785,0.35747092986935247,0.9160891901255352,0.3945263165312518,true,47,-1.213881824982981,0.2,0.2,1.394371839,0.0
256,1.6,3.2,1.0,100.0,0.0,0.32166133745514625,0.3449232758790225,0.8900096919675082,0.4260288149611213,true,44,-1.1645281428831926,0.2,0.2,1.303289308,0.0
256,1.6,3.6,1.0,100.0,0.0,0.34343737038422717,0.3313019339613421,0.9005691355898904,0.4401567318960131,true,41,-1.1187870100321848,0.2,0.2,1.214244321,0.0
256,1.6,4.0,1.0,100.0,0.0,0.3626598686031849,0.31716998680316344,0.833165467959085,0.3785175160572196,true,39,-1.076728234494079,0.2,0.2,1.162042702,0.0
256,2.0,0.0,1.0,100.0,0.0,0.1874322179133471,0.39214946475191914,0.996263684037324,0.17317873338418277,true,50,-1.6388598051421823,0.2,0.2,1.480977923,0.0
256,2.0,0.4,1.0,100.0,0.0,0.2062504491200391,0.38829783637639603,0.933084436237519,0.19874373031247838,true,52,-1.5779599844171137,0.2,0.2,1.543363918,0.0
256,2.0,0.8,1.0,100.0,0.0,0.22642700073641142,0.3833638482598128,0.970678813855097,0.24850388557851044,true,52,-1.5184197222018956,0.2,0.2,1.537592629,0.0
256,2.0,1.2,1.0,100.0,0.0,0.24780384127833818,0.3771069119580437,0.9220483487514253,0.2831133567617883,true,52,-1.4605897716531817,0.2,0.2,1.539981503,0.0
256,2.0,1.6,1.0,100.0,0.0,0.26989289869197125,0.36936780381270284,0.8912896218574717,0.3252626437494355,true,51,-1.4048635950249575,0.2,0.2,1.510555329,0.0
256,2.0,2.0,1.0,100.0,0.0,0.2920987752488896,0.3600796973248963,0.8947830322898476,0.3821864656673446,true,49,-1.3516475150962066,0.2,0.2,1.453674336,0.0
256,2.0,2.4,1.0,100.0,0.0,0.3137394432638161,0.34933233033064526,0.9752427728536572,0.4739943368068378,true,46,-1.3013149046763295,0.2,0.2,1.363583709,0.0
256,2.0,2.8,1.0,100.0,0.0,0.33421685023088354,0.3373537944476367,0.8812229588484044,0.4727355720799409,true,44,-1.2541557932832819,0.2,0.2,1.310860527,0.0
256,2.0,3.2,1.0,100.0,0.0,0.3529836244255825,0.3245546903960257,0.9609899274343192,0.532330425279115,true,41,-1.2103392692514823,0.2,0.2,1.214560605,0.0
256,2.0,3.6,1.0,100.0,0.0,0.3698030897932124,0.3113347067461394,0.9275728087003721,0.49761370032541663,true,39,-1.1699020037629049,0.2,0.2,1.1500713,0.0
256,2.0,4.0,1.0,100.0,0.0,0.38460228184757383,0.2980874003966588,0.9849389029978894,0.47598527733072604,true,37,-1.1327630398214428,0.2,0.2,1.098051338,0.0
256,2.4,0.0,1.0,100.0,0.0,0.23016331773467064,0.382350463238621,0.9838581377441535,0.25880205224648734,true,51,-1.6565425145408972,0.2,0.2,1.499241735,0.0
256,2.4,0.4,1.0,100.0,0.0,0.24873582654474374,0.37680779785190455,0.9882537211665099,0.3047991902600522,true,51,-1.59892464858408,0.2,0.2,1.501426226,0.0
256,2.4,0.8,1.0,100.0,0.0,0.2680461213226851,0.3700690650102323,0.9231973987755548,0.33315065195338445,true,51,-1.5431525225740121,0.2,0.2,1.494672897,0.0
256,2.4,1.2,1.0,100.0,0.0,0.2876888472996465,0.3620558407836502,0.8997882576826655,0.37652262445331264,true,50,-1.4895579172157756,0.2,0.2,1.478007681,0.0
256,2.4,1.6,1.0,100.0,0.0,0.3072235736635419,0.3527608102666575,0.9353872953541398,0.4474661450366568,true,48,-1.4384662702271236,0.2,0.2,1.424760591,0.0
256,2.4,2.0,1.0,100.0,0.0,0.32620147505601527,0.34227121155323237,0.9264602541511069,0.49810590392951326,true,46,-1.390163556446083,0.2,0.2,1.365196522,0.0
256,2.4,2.4,1.0,100.0,0.0,0.3441636687499042,0.330806321811114,0.8877557183305518,0.5218531295141382,true,44,-1.3448632894804835,0.2,0.2,1.299789045,0.0
256,2.4,2.8,1.0,100.0,0.0,0.3607563737222008,0.3186685315045587,0.8470365446910932,0.5223236031642875,true,42,-1.3026835688606415,0.2,0.2,1.245048941,0.0
256,2.4,3.2,1.0,100.0,0.0,0.37577237865022484,0.30618828377113794,0.8364903885658137,0.5120662073232474,true,40,-1.263640810424283,0.2,0.2,1.185225449,0.0
256,2.4,3.6,1.0,100.0,0.0,0.3891488370377746,0.29367173401875557,0.885686230218452,0.5065920629805376,true,38,-1.22766018638888,0.2,0.2,1.122433207,0.0
256,2.4,4.0,1.0,100.0,0.0,0.4009363831856998,0.2813661476545193,0.8211580553102449,0.4194039935734306,true,37,-1.1945969149475322,0.2,0.2,1.114686846,0.0
256,2.8,0.0,1.0,100.0,0.0,0.2666146790510294,0.37060552191068863,0.9165262706757327,0.3274755305970878,true,51,-1.6814558465652567,0.2,0.2,1.49739149,0.0
256,2.8,0.4,1.0,100.0,0.0,0.28414014152812017,0.3635971268036493,0.9548176098634897,0.39013975228952,true,50,-1.6275673665075292,0.2,0.2,1.460855428,0.0
256,2.8,0.8,1.0,100.0,0.0,0.3018333230825845,0.3554686267623083,0.9435958445548343,0.4392083130253521,true,49,-1.5758777769561747,0.2,0.2,1.441391077,0.0
256,2.8,1.2,1.0,100.0,0.0,0.31934550679892837,0.34624038897943643,0.880727877934695,0.4636430271782732,true,48,-1.5266511819154802,0.2,0.2,1.415324435,0.0
