L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.281267349993076,-0.012975763874806048,0.1469805708720543,0.3502533310827457,2.0816681711721685e-17,0.29747290601489507,0.0806998963315056,0.9742583104908054,0.11674198497568788,0.021267647932535456,true,42,-1.47148883486927,0.2,0.2,5.198075255,0.0
256,0.0,4.4,1.0,100.0,0.0,0.2567812376385875,-0.01567859173597537,0.18567183656230685,0.34657410383201454,1.0408340855860843e-17,0.2800550498147647,0.07418104721257368,0.9842982090602082,0.34314226514065016,0.00356811923176793,true,50,-1.5677960720135506,0.2,0.2,5.539277955,0.0
256,0.0,4.8,1.0,100.0,0.0,0.23630372186612458,-0.01704424314727432,0.21071421058029588,0.3435031417184794,1.0408340855860843e-17,0.2926692791849206,0.06859850082142904,0.9917202035676365,0.40572535235250395,0.008711228593177738,true,46,-1.6684113585382332,0.2,0.2,5.047134355,0.0
256,0.0,5.2,1.0,100.0,0.0,0.21889932095792491,-0.01773792266488211,0.2285830487019429,0.3408885548536126,2.0816681711721685e-17,0.2767579289677524,0.059452605014775894,0.9289903691114265,0.4023253937153193,0.017014118346031077,true,43,-1.7724639333481587,0.2,0.2,4.771390147,0.0
256,0.0,5.6,1.0,100.0,0.0,0.20393514692347253,-0.0180412647302807,0.24196639279952276,0.3386732552457957,1.734723475976807e-17,0.2762490865390044,0.05495516975282527,0.9171672654530449,0.37173285635372366,0.03323069989461762,true,40,-1.879071154242288,0.2,0.2,4.422129361,0.0
256,0.0,6.0,1.0,100.0,0.0,0.19092545311780224,-0.018106339099208474,0.252352653517946,0.33677906515071077,1.3877787807814457e-17,0.29732838113855076,0.054979318164588564,0.9632814797567724,0.2963185452843353,0.0649037107316873,true,37,-1.9877253274199012,0.2,0.2,4.087824956,0.0
256,0.0,6.4,1.0,100.0,0.0,0.17949548626000722,-0.018023358538624704,0.26067185449273245,0.33511484126149205,1.5612511283791264e-17,0.3007668744253733,0.05265094532030945,0.9543692789864,0.16294962701435267,0.10141204801826363,true,35,-2.0981963824263206,0.2,0.2,3.88136251,0.0
256,0.0,6.8,1.0,100.0,0.0,0.16937987029296886,-0.01784372402923573,0.2674429387281103,0.33366190792449324,1.734723475976807e-17,0.322636900867701,0.05409742058251621,0.9936197177804473,0.03478074420915078,0.15845632502852905,true,33,-2.2100636105522193,0.2,0.2,3.619356923,0.0
256,0.0,7.2,1.0,100.0,0.0,0.1603549762425307,-0.017603501020854062,0.27307830465819594,0.3323605763465782,1.9081958235744878e-17,0.30696154484516347,0.050477613621056905,0.9317487638904609,0.2247993283410743,0.19807040628565525,true,32,-2.323223173387781,0.2,0.2,3.522382656,0.0
256,0.0,7.6,1.0,100.0,0.0,0.15225900288175642,-0.01732371693609107,0.2778061881519198,0.3312086786669718,2.0816681711721685e-17,0.30109792632765364,0.04919199510422523,0.8982489563110763,0.44440923834287993,0.2475880078570668,true,31,-2.437361279321797,0.2,0.2,3.417189813,0.0
