L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.3965758519133218,NaN,0.0,0.0,0.0,313.53220771071034,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.344654459,0.0
256,0.0,4.4,1.0,100.0,0.0,0.381075787952812,NaN,0.0,0.0,1.1102230246251565e-13,465.63092310817353,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.073435611,0.0
256,0.0,4.8,1.0,100.0,0.0,0.36114143687037925,NaN,0.0,0.0,2.220446049250313e-13,574.0449388118736,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.163429177,0.0
256,0.0,5.2,1.0,100.0,0.0,0.3405171676494737,NaN,0.0,0.0,3.3306690738754696e-13,648.2161094568141,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.252611917,0.0
256,0.0,5.6,1.0,100.0,0.0,0.3208428348910476,NaN,0.0,0.0,1.1102230246251565e-13,700.1473488444325,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.291239431,0.0
256,0.0,6.0,1.0,100.0,0.0,0.3026570077246029,NaN,0.0,0.0,1.1102230246251565e-13,737.7188022170136,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.354740313,0.0
256,0.0,6.4,1.0,100.0,0.0,0.2860535799142564,NaN,0.0,0.0,3.3306690738754696e-13,765.734067269433,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.40002541,0.0
256,0.0,6.8,1.0,100.0,0.0,0.27095803939641455,NaN,0.0,0.0,1.1102230246251565e-13,787.1693788313635,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.440605249,0.0
256,0.0,7.2,1.0,100.0,0.0,0.25723884352680815,NaN,0.0,0.0,1.1102230246251565e-13,803.9312556718315,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.507988513,0.0
256,0.0,7.6,1.0,100.0,0.0,0.2447526096665492,NaN,0.0,0.0,5.551115123125783e-14,817.2831861490527,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.560714211,0.0
256,0.0,8.0,1.0,100.0,0.0,0.23336211970818868,NaN,0.0,0.0,5.551115123125783e-14,828.0887172234036,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.589768294,0.0
256,0.4,4.0,1.0,100.0,0.0,0.3965758519133218,NaN,0.0,0.0,0.0,313.53220771071034,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.581777343,0.0
256,0.4,4.4,1.0,100.0,0.0,0.381075787952812,NaN,0.0,0.0,1.1102230246251565e-13,465.63092310817353,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.611103529,0.0
256,0.4,4.8,1.0,100.0,0.0,0.36114143687037925,NaN,0.0,0.0,2.220446049250313e-13,574.0449388118736,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.694113911,0.0
256,0.4,5.2,1.0,100.0,0.0,0.3405171676494737,NaN,0.0,0.0,3.3306690738754696e-13,648.2161094568141,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.771063319,0.0
256,0.4,5.6,1.0,100.0,0.0,0.3208428348910476,NaN,0.0,0.0,1.1102230246251565e-13,700.1473488444325,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.817346448,0.0
256,0.4,6.0,1.0,100.0,0.0,0.3026570077246029,NaN,0.0,0.0,1.1102230246251565e-13,737.7188022170136,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.795349743,0.0
256,0.4,6.4,1.0,100.0,0.0,0.2860535799142564,NaN,0.0,0.0,3.3306690738754696e-13,765.734067269433,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.851242436,0.0
256,0.4,6.8,1.0,100.0,0.0,0.27095803939641455,NaN,0.0,0.0,1.1102230246251565e-13,787.1693788313635,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.920821247,0.0
256,0.4,7.2,1.0,100.0,0.0,0.25723884352680815,NaN,0.0,0.0,1.1102230246251565e-13,803.9312556718315,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.936367064,0.0
256,0.4,7.6,1.0,100.0,0.0,0.2447526096665492,NaN,0.0,0.0,5.551115123125783e-14,817.2831861490527,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,11.971633122,0.0
