L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.9447155553945485,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,2.898376091,0.0
256,0.0,0.4,1.0,100.0,0.0,0.4049906072945231,0.05764753381410738,0.06329630812573761,0.9463432209239897,true,43,-1.5557525900748228,0.2,0.2,3.664482592,0.0
256,0.0,0.8,1.0,100.0,0.0,0.40174974486106674,0.14725046459197716,0.03395779381243358,0.982814958210676,true,40,-1.4952322257413746,0.2,0.2,2.974515027,0.0
256,0.0,1.2,1.0,100.0,0.0,0.3945418530344425,0.2115392253022655,0.08269510514535838,0.9253959382476973,true,42,-1.4450747937597432,0.2,0.2,3.122432068,0.0
256,0.0,1.6,1.0,100.0,0.0,0.3843306763567075,0.2569830495182724,0.15840712647385846,0.8661492202142185,true,41,-1.4066542241876059,0.2,0.2,3.163428257,0.0
256,0.0,2.0,1.0,100.0,0.0,0.37208263385607526,0.289940770197854,0.24483371970396295,0.9072432533526742,true,39,-1.3795733464225617,0.2,0.2,3.02497253,0.0
256,0.0,2.4,1.0,100.0,0.0,0.35854430759072053,0.3144035862990884,0.33839543548352946,0.9800204654113465,true,37,-1.3628887839781945,0.2,0.2,2.6328919,0.0
256,0.0,2.8,1.0,100.0,0.0,0.344287234619292,0.3328813023937235,0.3756360113444934,0.913292432317192,true,36,-1.3555243681945046,0.2,0.2,2.988043649,0.0
256,0.0,3.2,1.0,100.0,0.0,0.3297766703044693,0.3470031796316084,0.3951239061120715,0.8822053938269958,true,35,-1.3564158036494083,0.2,0.2,2.429446479,0.0
256,0.0,3.6,1.0,100.0,0.0,0.31535929697186005,0.35790761954197153,0.40245482935152843,0.8892220431270248,true,34,-1.3645657952393448,0.2,0.2,2.748256891,0.0
256,0.0,4.0,1.0,100.0,0.0,0.3012892257885414,0.36640424801704463,0.40343119768304625,0.9357273594596816,true,33,-1.3790659857029341,0.2,0.2,2.45919282,0.0
256,5.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.9447155553945485,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,2.200391828,0.0
256,5.0,0.4,1.0,100.0,0.0,0.4049906072945231,0.05764753381410738,0.06329630812573761,0.9463432209239897,true,43,-1.5557525900748228,0.2,0.2,3.339120895,0.0
256,5.0,0.8,1.0,100.0,0.0,0.40174974486106674,0.14725046459197716,0.03395779381243358,0.982814958210676,true,40,-1.4952322257413746,0.2,0.2,3.161267301,0.0
256,5.0,1.2,1.0,100.0,0.0,0.3945418530344425,0.2115392253022655,0.08269510514535838,0.9253959382476973,true,42,-1.4450747937597432,0.2,0.2,3.622032605,0.0
256,5.0,1.6,1.0,100.0,0.0,0.3843306763567075,0.2569830495182724,0.15840712647385846,0.8661492202142185,true,41,-1.4066542241876059,0.2,0.2,3.35560434,0.0
256,5.0,2.0,1.0,100.0,0.0,0.37208263385607526,0.289940770197854,0.24483371970396295,0.9072432533526742,true,39,-1.3795733464225617,0.2,0.2,3.177763645,0.0
256,5.0,2.4,1.0,100.0,0.0,0.35854430759072053,0.3144035862990884,0.33839543548352946,0.9800204654113465,true,37,-1.3628887839781945,0.2,0.2,2.888138031,0.0
256,5.0,2.8,1.0,100.0,0.0,0.344287234619292,0.3328813023937235,0.3756360113444934,0.913292432317192,true,36,-1.3555243681945046,0.2,0.2,2.603915025,0.0
256,5.0,3.2,1.0,100.0,0.0,0.3297766703044693,0.3470031796316084,0.3951239061120715,0.8822053938269958,true,35,-1.3564158036494083,0.2,0.2,2.779834675,0.0
256,5.0,3.6,1.0,100.0,0.0,0.31535929697186005,0.35790761954197153,0.40245482935152843,0.8892220431270248,true,34,-1.3645657952393448,0.2,0.2,2.484644842,0.0
256,5.0,4.0,1.0,100.0,0.0,0.3012892257885414,0.36640424801704463,0.40343119768304625,0.9357273594596816,true,33,-1.3790659857029341,0.2,0.2,2.389896507,0.0
256,10.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.9447155553945485,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,2.190163563,0.0
256,10.0,0.4,1.0,100.0,0.0,0.4049906072945231,0.05764753381410738,0.06329630812573761,0.9463432209239897,true,43,-1.5557525900748228,0.2,0.2,3.030416951,0.0
