L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,3.64172283,0.0
256,0.0,0.4,1.0,100.0,0.0,0.40524969326578364,-2.051141511208443e-6,0.0,0.0,0.9453812618366308,0.01260660543855935,0.3094850098213456,0.3094850098213456,true,30,-1.555575818646021,0.2,0.2,2.990382193,0.0
256,0.0,0.8,1.0,100.0,0.0,0.4052439355270087,-4.5685165747655354e-8,0.0,0.0,0.9466320228275205,0.00017952084210130727,0.3094850098213456,0.3094850098213456,true,30,-1.4898857852620693,0.2,0.2,2.404652806,0.0
256,0.0,1.2,1.0,100.0,0.0,0.40523618052612675,-1.2723153086646732e-10,0.0,0.0,0.9480817959239829,4.0556355624362067e-7,0.3094850098213456,0.3094850098213456,true,30,-1.4241979261729258,0.2,0.2,2.414121161,0.0
256,0.0,1.6,1.0,100.0,0.0,0.4052254666475971,-7.91033905045424e-15,0.0,0.0,0.9496005833614651,2.226608731837245e-11,0.3094850098213456,0.3094850098213456,true,30,-1.3585130349858696,0.2,0.2,2.693431107,0.0
256,0.0,2.0,1.0,100.0,0.0,0.405210186534277,-5.551115123125783e-17,0.0,0.0,0.9510627842597152,1.2143583821115637e-13,0.3094850098213456,0.3094850098213456,true,30,-1.2928323130064239,0.2,0.2,2.518208812,0.0
256,0.0,2.4,1.0,100.0,0.0,0.4051874689160721,1.3877787807814457e-17,0.0,0.0,0.952257031909598,3.002599125058939e-14,0.3094850098213456,0.3094850098213456,true,30,-1.2271576677561458,0.2,0.2,2.794103489,0.0
256,0.0,2.8,1.0,100.0,0.0,0.4051517197164818,-1.887379141862766e-15,0.0,0.0,0.9527335942410842,4.393836600865603e-12,0.3094850098213456,0.3094850098213456,true,30,-1.1614923290843968,0.2,0.2,2.536671766,0.0
256,0.0,3.2,1.0,100.0,0.0,0.40509070832960614,-5.965970027999035e-7,0.0,0.0,0.9513506907261604,0.0013386296033006764,0.3094850098213456,0.3094850098213456,true,30,-1.0958422712270097,0.2,0.2,2.810221829,0.0
256,0.0,3.6,1.0,100.0,0.0,0.40374592343841365,NaN,0.0,0.0,3.3306690738754696e-13,144.1687302162358,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,17.467866943,0.0
256,0.0,4.0,1.0,100.0,0.0,0.3965758519133218,NaN,0.0,0.0,0.0,313.53220771071034,1.0373788922202606e-17,1.0373788922202606e-17,false,200,NaN,0.2,0.2,17.536887518,0.0
256,5.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,2.827663154,0.0
256,5.0,0.4,1.0,100.0,0.0,0.40524969326578364,-2.051141511208443e-6,0.0,0.0,0.9453812618366308,0.01260660543855935,0.3094850098213456,0.3094850098213456,true,30,-1.555575818646021,0.2,0.2,2.54962826,0.0
256,5.0,0.8,1.0,100.0,0.0,0.4052439355270087,-4.5685165747655354e-8,0.0,0.0,0.9466320228275205,0.00017952084210130727,0.3094850098213456,0.3094850098213456,true,30,-1.4898857852620693,0.2,0.2,2.837869386,0.0
256,5.0,1.2,1.0,100.0,0.0,0.40523618052612675,-1.2723153086646732e-10,0.0,0.0,0.9480817959239829,4.0556355624362067e-7,0.3094850098213456,0.3094850098213456,true,30,-1.4241979261729258,0.2,0.2,2.479158162,0.0
256,5.0,1.6,1.0,100.0,0.0,0.4052254666475971,-7.91033905045424e-15,0.0,0.0,0.9496005833614651,2.226608731837245e-11,0.3094850098213456,0.3094850098213456,true,30,-1.3585130349858696,0.2,0.2,2.773678879,0.0
