L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,0.0,4.0,1.0,100.0,0.0,0.3012948938962857,0.36640117308298853,0.3915286815585617,0.9892962193279731,true,138,-1.379065986388182,0.05,0.05,7.20292391,0.0
256,0.0,4.4,1.0,100.0,0.0,0.28774489028530215,0.3730801081998486,0.36087828289466106,0.9720787631576355,true,136,-1.3991043467785238,0.05,0.05,6.421327106,0.0
256,0.0,4.8,1.0,100.0,0.0,0.2748294373286393,0.378372450534771,0.3307505069928274,0.9801269718348049,true,134,-1.4239648452296807,0.05,0.05,6.365516496,0.0
256,0.0,5.2,1.0,100.0,0.0,0.26260830850448413,0.38260142134380504,0.2893321807557747,0.959013115999996,true,133,-1.4530225449430074,0.05,0.05,6.339798311,0.0
256,0.0,5.6,1.0,100.0,0.0,0.25110476787720354,0.3860087914556608,0.25476585427608445,0.95367421520276,true,132,-1.485736068835069,0.05,0.05,6.292207979,0.0
256,0.0,6.0,1.0,100.0,0.0,0.24031505909440376,0.3887769094003519,0.22664754659862396,0.9601706253844489,true,131,-1.5216387983434516,0.05,0.05,6.282022018,0.0
256,0.0,6.4,1.0,100.0,0.0,0.2302179683507441,0.3910439232474901,0.2040230059152659,0.9757551910534179,true,130,-1.560329777665627,0.05,0.05,6.266619615,0.0
256,0.0,6.8,1.0,100.0,0.0,0.22078140357529846,0.3929151473160767,0.18584386428038835,0.9985611101875902,true,129,-1.6014649582815195,0.05,0.05,6.230261764,0.0
256,0.0,7.2,1.0,100.0,0.0,0.21196716499912954,0.3944713880722803,0.1626282290874692,0.9759746897837207,true,129,-1.6447491503156109,0.05,0.05,6.285178143,0.0
256,0.0,7.6,1.0,100.0,0.0,0.20373431546892753,0.39577506070138924,0.14373580146037623,0.9577923686657774,true,129,-1.6899288510617574,0.05,0.05,6.308426844,0.0
256,0.0,8.0,1.0,100.0,0.0,0.1960413947252435,0.39687471364747506,0.13491734165932412,0.9925657166137691,true,128,-1.7367859910336376,0.05,0.05,6.22683398,0.0
256,5.0,4.0,1.0,100.0,0.0,0.3012948938962857,0.36640117308298853,0.3915286815585617,0.9892962193279731,true,138,-1.379065986388182,0.05,0.05,6.725519727,0.0
256,5.0,4.4,1.0,100.0,0.0,0.28774489028530215,0.3730801081998486,0.36087828289466106,0.9720787631576355,true,136,-1.3991043467785238,0.05,0.05,6.642193496,0.0
256,5.0,4.8,1.0,100.0,0.0,0.2748294373286393,0.378372450534771,0.3307505069928274,0.9801269718348049,true,134,-1.4239648452296807,0.05,0.05,6.553994531,0.0
256,5.0,5.2,1.0,100.0,0.0,0.26260830850448413,0.38260142134380504,0.2893321807557747,0.959013115999996,true,133,-1.4530225449430074,0.05,0.05,6.571503751,0.0
256,5.0,5.6,1.0,100.0,0.0,0.25110476787720354,0.3860087914556608,0.25476585427608445,0.95367421520276,true,132,-1.485736068835069,0.05,0.05,6.537980797,0.0
256,5.0,6.0,1.0,100.0,0.0,0.24031505909440376,0.3887769094003519,0.22664754659862396,0.9601706253844489,true,131,-1.5216387983434516,0.05,0.05,6.520771545,0.0
256,5.0,6.4,1.0,100.0,0.0,0.2302179683507441,0.3910439232474901,0.2040230059152659,0.9757551910534179,true,130,-1.560329777665627,0.05,0.05,6.483535884,0.0
256,5.0,6.8,1.0,100.0,0.0,0.22078140357529846,0.3929151473160767,0.18584386428038835,0.9985611101875902,true,129,-1.6014649582815195,0.05,0.05,6.387910975,0.0
256,5.0,7.2,1.0,100.0,0.0,0.21196716499912954,0.3944713880722803,0.1626282290874692,0.9759746897837207,true,129,-1.6447491503156109,0.05,0.05,6.428949876,0.0
256,5.0,7.6,1.0,100.0,0.0,0.20373431546892753,0.39577506070138924,0.14373580146037623,0.9577923686657774,true,129,-1.6899288510617574,0.05,0.05,6.435239728,0.0
256,5.0,8.0,1.0,100.0,0.0,0.1960413947252435,0.39687471364747506,0.13491734165932412,0.9925657166137691,true,128,-1.7367859910336376,0.05,0.05,6.400214283,0.0
256,10.0,4.0,1.0,100.0,0.0,0.3012948938962857,0.36640117308298853,0.3915286815585617,0.9892962193279731,true,138,-1.379065986388182,0.05,0.05,6.885529871,0.0
256,10.0,4.4,1.0,100.0,0.0,0.28774489028530215,0.3730801081998486,0.36087828289466106,0.9720787631576355,true,136,-1.3991043467785238,0.05,0.05,6.858418099,0.0
256,10.0,4.8,1.0,100.0,0.0,0.2748294373286393,0.378372450534771,0.3307505069928274,0.9801269718348049,true,134,-1.4239648452296807,0.05,0.05,6.778996563,0.0
256,10.0,5.2,1.0,100.0,0.0,0.26260830850448413,0.38260142134380504,0.2893321807557747,0.959013115999996,true,133,-1.4530225449430074,0.05,0.05,6.707659322,0.0
256,10.0,5.6,1.0,100.0,0.0,0.25110476787720354,0.3860087914556608,0.25476585427608445,0.95367421520276,true,132,-1.485736068835069,0.05,0.05,6.682147637,0.0
