L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.9447155553945485,true,30,-0.810759363929386,0.2,0.2,1.383149272,0.0
256,0.0,0.1,1.0,100.0,0.0,0.4052530739017818,0.9446977258129596,true,30,-0.8107612967276713,0.2,0.2,0.644369879,0.0
256,0.0,0.2,1.0,100.0,0.0,0.40525202171051855,0.9446778227333308,true,30,-0.8107632754121952,0.2,0.2,0.618474498,0.0
256,0.0,0.3,1.0,100.0,0.0,0.4052508969560363,0.9446555990290095,true,30,-0.8107652995513408,0.2,0.2,0.614010768,0.0
256,0.0,0.4,1.0,100.0,0.0,0.4052496932618992,0.9446307746842075,true,30,-0.8107673683609431,0.2,0.2,0.616813945,0.0
256,0.0,0.5,1.0,100.0,0.0,0.40524840356401065,0.9446030317400433,true,30,-0.810769480635028,0.2,0.2,0.626130587,0.0
256,0.0,0.6,1.0,100.0,0.0,0.4052470200203049,0.9445720083343101,true,30,-0.810771634663811,0.2,0.2,0.617886015,0.0
256,0.0,0.7,1.0,100.0,0.0,0.4052455339060537,0.9445372916392358,true,30,-0.8107738281363922,0.2,0.2,0.620061499,0.0
256,0.0,0.8,1.0,100.0,0.0,0.40524393549204907,0.9444984094593156,true,30,-0.8107760580249801,0.2,0.2,0.619743363,0.0
256,0.0,0.9,1.0,100.0,0.0,0.40524221390231313,0.9444548201960057,true,30,-0.8107783204467367,0.2,0.2,0.621256017,0.0
256,0.0,1.0,1.0,100.0,0.0,0.40524035694722516,0.9444059008053562,true,30,-0.810780610498375,0.2,0.2,0.623482344,0.0
256,0.0,1.1,1.0,100.0,0.0,0.4052383509269898,0.944350932279292,true,30,-0.8107829220574219,0.2,0.2,0.62082426,0.0
256,0.0,1.2,1.0,100.0,0.0,0.4052361803991564,0.9442890820587913,true,30,-0.810785247542495,0.2,0.2,0.623762935,0.0
