L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,0.1,0.0,0.049629115686376124,0.9769672070704116,true,45,-13.863313132047486,0.1,0.1,1.72572991,0.0
256,0.0,0.2,1.0,0.1,0.0,0.04938526250360126,0.9631394194813958,true,45,-13.863793719425038,0.1,0.1,1.001537059,0.0
256,0.0,0.4,1.0,0.1,0.0,0.04914378531744899,0.9493992517348449,true,45,-13.864264963398966,0.1,0.1,0.982404176,0.0
256,0.0,0.6,1.0,0.1,0.0,0.04890465089793662,0.9357502638936421,true,45,-13.864727066437704,0.1,0.1,0.9927751,0.0
256,0.0,0.8,1.0,0.1,0.0,0.04866782656224025,0.9221958158590615,true,45,-13.865180225940891,0.1,0.1,0.995143097,0.0
256,0.0,1.0,1.0,0.1,0.0,0.048433280165933346,0.9087390738790196,true,45,-13.865624634379662,0.1,0.1,1.002380612,0.0
256,0.0,1.2,1.0,0.1,0.0,0.04819951410544136,0.9981277718306286,true,44,-13.866060311029678,0.1,0.1,0.9693982,0.0
256,0.0,1.4,1.0,0.1,0.0,0.047969208985710776,0.9838921988959692,true,44,-13.866487719191637,0.1,0.1,0.971933373,0.0
256,0.0,1.6,1.0,0.1,0.0,0.047741095203115036,0.9697596613422177,true,44,-13.866906918662856,0.1,0.1,0.966236419,0.0
256,0.0,1.8,1.0,0.1,0.0,0.047515142604669144,0.9557330551147186,true,44,-13.86731808398467,0.1,0.1,0.969243562,0.0
256,0.0,2.0,1.0,0.1,0.0,0.04729132153071568,0.9418151004799424,true,44,-13.867721385397816,0.1,0.1,0.970602286,0.0
256,0.0,2.2,1.0,0.1,0.0,0.04706960280692622,0.9280083478160617,true,44,-13.868116988960152,0.1,0.1,0.966223435,0.0
256,0.0,2.4,1.0,0.1,0.0,0.04684995773639272,0.914315183265263,true,44,-13.868505056661016,0.1,0.1,0.962101279,0.0
256,0.0,2.6,1.0,0.1,0.0,0.04663235809181063,0.900737834248655,true,44,-13.868885746532259,0.1,0.1,0.969844638,0.0
256,0.0,2.8,1.0,0.1,0.0,0.04641336627230826,0.9934422730435016,true,43,-13.869258332198267,0.1,0.1,0.944045971,0.0
256,0.0,3.0,1.0,0.1,0.0,0.04619958337230283,0.9790454805944926,true,43,-13.869624613923142,0.1,0.1,0.952210011,0.0
256,0.0,3.2,1.0,0.1,0.0,0.04598777048626945,0.9647692886289444,true,43,-13.869983965156598,0.1,0.1,0.951755587,0.0
256,0.0,3.4,1.0,0.1,0.0,0.04577790109649503,0.9506157305443491,true,43,-13.870336529531357,0.1,0.1,0.955988169,0.0
256,0.0,3.6,1.0,0.1,0.0,0.04556994911564466,0.9365866952549678,true,43,-13.870682447217659,0.1,0.1,0.964641146,0.0
256,0.0,3.8,1.0,0.1,0.0,0.045363888879671355,0.9226839320996688,true,43,-13.87102185501669,0.1,0.1,0.94089316,0.0
256,0.0,4.0,1.0,0.1,0.0,0.04515969514081686,0.9089090556259755,true,43,-13.8713548864513,0.1,0.1,0.941881262,0.0
256,0.0,4.2,1.0,0.1,0.0,0.04495734306070169,0.8952635502561118,true,43,-13.871681671854192,0.1,0.1,0.946447103,0.0
256,0.0,4.4,1.0,0.1,0.0,0.044751452314904086,0.9916228355992124,true,42,-13.872000241830431,0.1,0.1,0.927136087,0.0
256,0.0,4.6,1.0,0.1,0.0,0.04455254822466463,0.9771139735751111,true,42,-13.872314761976018,0.1,0.1,0.921773172,0.0
256,0.0,4.8,1.0,0.1,0.0,0.0443554199636869,0.962738994076312,true,42,-13.872623407054396,0.1,0.1,0.923796675,0.0
256,0.0,5.0,1.0,0.1,0.0,0.04416004416070393,0.9484992465404601,true,42,-13.872926295778779,0.1,0.1,0.922829224,0.0
256,0.0,5.2,1.0,0.1,0.0,0.04396639781991253,0.9343959614424163,true,42,-13.873223544063617,0.1,0.1,0.924248012,0.0
256,0.0,5.4,1.0,0.1,0.0,0.04377445831473316,0.9204302544497389,true,42,-13.87351526509897,0.1,0.1,0.924036132,0.0
256,0.0,5.6,1.0,0.1,0.0,0.04358420338165443,0.9066031304742622,true,42,-13.87380156942271,0.1,0.1,0.923865153,0.0
256,0.0,5.8,1.0,0.1,0.0,0.04339561111416286,0.8929154876190781,true,42,-13.874082564990724,0.1,0.1,0.935444032,0.0
256,0.0,6.0,1.0,0.1,0.0,0.04320133463401925,0.9933541850011829,true,41,-13.874354580733359,0.1,0.1,0.902959152,0.0
256,0.0,0.0,1.0,4.0,0.0,0.39584217970541535,0.956936599343372,true,62,-0.877558318042947,0.1,0.1,1.360503486,0.0
256,0.0,0.2,1.0,4.0,0.0,0.39516157313149025,0.9448176106868766,true,62,-0.8788664875992365,0.1,0.1,1.368078035,0.0
256,0.0,0.4,1.0,4.0,0.0,0.39440446979781457,0.9304578902323835,true,62,-0.8802023545560311,0.1,0.1,1.366244114,0.0
256,0.0,0.6,1.0,4.0,0.0,0.3935593990200801,0.913438031896141,true,62,-0.8815607695657455,0.1,0.1,1.367859157,0.0
256,0.0,0.8,1.0,4.0,0.0,0.39261334439544127,0.9936560097665303,true,61,-0.8829346106930516,0.1,0.1,1.343707152,0.0
256,0.0,1.0,1.0,4.0,0.0,0.3915494964373302,0.967530178817344,true,61,-0.884313569644829,0.1,0.1,1.354263327,0.0
256,0.0,1.2,1.0,4.0,0.0,0.39034933486835866,0.936604613845371,true,61,-0.8856840115573488,0.1,0.1,1.343791059,0.0
256,0.0,1.4,1.0,4.0,0.0,0.3889906045231398,0.9000698614840541,true,61,-0.8870275188916342,0.1,0.1,1.340689956,0.0
256,0.0,1.6,1.0,4.0,0.0,0.3874488372119079,0.9560238082561012,true,60,-0.8883207960866625,0.1,0.1,1.338214216,0.0
256,0.0,1.8,1.0,4.0,0.0,0.38569053828747546,0.9009159497791464,true,60,-0.8895300416836294,0.1,0.1,1.320433638,0.0
256,0.0,2.0,1.0,4.0,0.0,0.3836846246678462,0.9360165310203783,true,59,-0.8906170569346152,0.1,0.1,1.299548985,0.0
256,0.0,2.2,1.0,4.0,0.0,0.38138982259126036,0.9585293967157016,true,58,-0.8915287784558965,0.1,0.1,1.278033906,0.0
