L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.0,1.0,100.0,0.0,0.0,0.40525405929677566,0.3094850098213456,0.9447155553944375,true,30,-1.6212674825229372,0.2,0.2,1.594368302,0.0
256,0.5,0.0,1.0,100.0,0.0,0.0011970061325068508,0.4052538783106825,0.9729707720979534,0.0010638190124367952,true,63,-1.6212672755742135,0.2,0.2,1.727955333,0.0
256,1.0,0.0,1.0,100.0,0.0,0.06061884273621823,0.4045176622372073,0.9584685958149708,0.04649301019288288,true,48,-1.621753318932444,0.2,0.2,1.340547373,0.0
256,1.5,0.0,1.0,100.0,0.0,0.12541628013988942,0.40066325416518855,0.9415224820828183,0.01335359105658629,true,40,-1.6262470854020508,0.2,0.2,1.128185545,0.0
256,2.0,0.0,1.0,100.0,0.0,0.1874322179133471,0.39214946475191914,0.996263684037324,0.17317873338418277,true,50,-1.6388598051421823,0.2,0.2,1.403793587,0.0
256,2.5,0.0,1.0,100.0,0.0,0.23984461478567903,0.3795692176275812,0.976124489566188,0.2792543006184811,true,51,-1.6620907647701744,0.2,0.2,1.420633827,0.0
256,3.0,0.0,1.0,100.0,0.0,0.28262878416996795,0.36424058719368246,0.9650054312960732,0.39007294987447594,true,50,-1.6965997514900992,0.2,0.2,1.398289512,0.0
256,3.5,0.0,1.0,100.0,0.0,0.31719950769789684,0.34743992322476513,0.8969136104606257,0.4718207279328368,true,49,-1.741914325590977,0.2,0.2,1.370274062,0.0
256,4.0,0.0,1.0,100.0,0.0,0.34505500865860284,0.3301941927517794,0.9385164833909387,0.6040211048304878,true,47,-1.7970289304041243,0.2,0.2,1.330361089,0.0
256,4.5,0.0,1.0,100.0,0.0,0.3676384979506766,0.31313909592349254,0.8684502353090151,0.6600680633409572,true,46,-1.8607679587921906,0.2,0.2,1.285391985,0.0
256,5.0,0.0,1.0,100.0,0.0,0.3860003091521526,0.2967480305537219,0.947494553703021,0.81762528162177,true,44,-1.931973653122952,0.2,0.2,1.229388046,0.0
256,5.5,0.0,1.0,100.0,0.0,0.40108625241947266,0.28120114492623427,0.9124683816404966,0.8782649741910786,true,43,-2.0095908923038652,0.2,0.2,1.192885818,0.0
256,6.0,0.0,1.0,100.0,0.0,0.4135524528361445,0.26663536969359697,0.8971313183306906,0.9436139444530811,true,42,-2.0926955653143766,0.2,0.2,1.170827878,0.0
256,6.5,0.0,1.0,100.0,0.0,0.4239535332573307,0.2530519485929972,0.7613202574637823,0.87016618283553,true,42,-2.1804958959589875,0.2,0.2,1.164297851,0.0
256,7.0,0.0,1.0,100.0,0.0,0.43266185102810373,0.24048676645200637,0.7766233045882753,0.9408193661541442,true,41,-2.272321224019657,0.2,0.2,1.151221896,0.0
256,7.5,0.0,1.0,100.0,0.0,0.4400371051672971,0.22884043949193267,0.6767869839721108,0.869658795569106,true,41,-2.367606823605769,0.2,0.2,1.165895929,0.0
256,8.0,0.0,1.0,100.0,0.0,0.4463006090324848,0.2181009754573991,0.7144085370197617,0.9515688272395129,true,40,-2.4658779463014993,0.2,0.2,1.127743787,0.0
256,8.5,0.0,1.0,100.0,0.0,0.4516788266861399,0.20815457714673263,0.6378535413971154,0.885603220518949,true,40,-2.5667354260591666,0.2,0.2,1.116820284,0.0
256,9.0,0.0,1.0,100.0,0.0,0.45630477790017976,0.19897907373686707,0.6933150332605331,0.9812542682521297,true,39,-2.6698429049929144,0.2,0.2,1.098279402,0.0
256,9.5,0.0,1.0,100.0,0.0,0.4603263903868856,0.1904656039661925,0.6318941050635907,0.9203046545906424,true,39,-2.7749162068496775,0.2,0.2,1.092897467,0.0
256,10.0,0.0,1.0,100.0,0.0,0.4638329663005729,0.18257600797236867,0.5803392137473384,0.8654855717061816,true,39,-2.8817143423418066,0.2,0.2,1.088960564,0.0
256,0.0,0.0,1.0,100.0,0.05,0.0,0.40322288683389584,0.3094850098213456,0.938429381098338,true,30,-1.7121846206396238,0.2,0.2,37.660543217,0.1802594108271901
256,0.5,0.0,1.0,100.0,0.05,0.00013621074624410937,0.40322287690930414,0.8873479984759015,0.6019336129285957,true,32,-1.7121847429083046,0.2,0.2,40.955488969,0.18025964603869343
256,1.0,0.0,1.0,100.0,0.05,0.00041698272073187033,0.4032227938245625,0.9412431823840806,0.053399390158914706,true,43,-1.7121857408171666,0.2,0.2,54.617808398,0.18026161513206584
256,1.5,0.0,1.0,100.0,0.05,0.0011684485968862512,0.403222156513266,0.979431586191543,0.002202161173414652,true,67,-1.712193535385798,0.2,0.2,84.508951125,0.18027671905882808
256,2.0,0.0,1.0,100.0,0.05,0.007584839545327449,0.40319209947824586,0.9897888809007604,0.008542026509128497,true,165,-1.712578671422282,0.2,0.2,208.753953659,0.18098858122368006
256,2.5,0.0,1.0,100.0,0.05,0.11021524478533215,0.39616209915859046,0.985669801153749,0.036094491006166685,true,40,-1.7967103941591267,0.2,0.2,51.6829677,0.3298167216735651
256,3.0,0.0,1.0,100.0,0.05,0.17569797590356917,0.3832733106194932,0.9567426507128274,0.2496523453885402,true,61,-1.933734364345439,0.2,0.2,73.774453728,0.5591325892820284
256,3.5,0.0,1.0,100.0,0.05,0.22231082846189365,0.36820210684706906,0.9826058928537607,0.3765372427734226,true,57,-2.0871400612795887,0.2,0.2,66.105821676,0.8012208407287441
256,4.0,0.0,1.0,100.0,0.05,0.25828070119940316,0.3520111436879605,0.9350602724653712,0.47259569380975197,true,54,-2.2538946498926524,0.2,0.2,62.442388651,1.051264701262544
256,4.5,0.0,1.0,100.0,0.05,0.2867514719346378,0.3355445644906766,0.9452636867524067,0.5902607682003458,true,51,-2.43091640438108,0.2,0.2,59.306343627,1.3050741615311492
256,5.0,0.0,1.0,100.0,0.05,0.3096925078318909,0.31931794965371496,0.8992851295568371,0.6657137415796432,true,49,-2.6162328388656726,0.2,0.2,56.427471872,1.5607187310569544
256,5.5,0.0,1.0,100.0,0.05,0.3283729237634825,0.3036946961196696,0.8966723684680211,0.7613545154134815,true,47,-2.8079031288534013,0.2,0.2,53.965212956,1.8163104337915308
256,6.0,0.0,1.0,100.0,0.05,0.34374298099196954,0.2888643935271895,0.9353877304311142,0.8872001821600417,true,45,-3.0045992596867186,0.2,0.2,51.884007798,2.0709509747894255
256,6.5,0.0,1.0,100.0,0.05,0.35653713780711493,0.2748828083916145,0.8750506197966468,0.9141364632552218,true,44,-3.20564395495088,0.2,0.2,50.640774773,2.324765285395411
256,7.0,0.0,1.0,100.0,0.05,0.367253614461728,0.26180848504004484,0.8405685106449567,0.9513129066547332,true,43,-3.409954639149892,0.2,0.2,49.679707416,2.5769509899228398
256,7.5,0.0,1.0,100.0,0.05,0.3763223170915132,0.24959786560937125,0.7034592626650182,0.8587838294282779,true,43,-3.617259974871789,0.2,0.2,49.991477341,2.8280322884432625
256,8.0,0.0,1.0,100.0,0.05,0.38401685944540476,0.23827154340400464,0.7053174768789638,0.9097250657076339,true,42,-3.8264382169230577,0.2,0.2,49.345581236,3.0768107619494036
256,8.5,0.0,1.0,100.0,0.05,0.3906071482516972,0.22775027957492816,0.7224910114680405,0.9741168029050451,true,41,-4.037428479447309,0.2,0.2,48.087666679,3.3239168539425656
256,9.0,0.0,1.0,100.0,0.05,0.3963025172357951,0.21795270639609632,0.6329001426794711,0.8949468647957981,true,41,-4.250291379254718,0.2,0.2,49.340106316,3.5700985448602918
256,9.5,0.0,1.0,100.0,0.05,0.40122828108209735,0.20887312532808477,0.6703089267960927,0.9745371343513609,true,40,-4.4640934548467825,0.2,0.2,64.054400707,3.814164745966697
256,10.0,0.0,1.0,100.0,0.05,0.4055356010268402,0.20040685504960093,0.6010301496183201,0.9047118632417028,true,40,-4.679349433582312,0.2,0.2,82.11408523,4.057533618200943
256,0.0,0.0,1.0,100.0,0.1,0.0,0.39575428003388324,0.3094850098213456,0.9153151626095646,true,30,-1.8392494020529828,0.2,0.2,70.629670421,0.426850570413514
256,0.5,0.0,1.0,100.0,0.1,6.346399383097341e-5,0.3957542765703679,0.7452748879975079,0.9162959152889671,true,30,-1.8392494337859397,0.2,0.2,70.4617004,0.4268506261697322
256,1.0,0.0,1.0,100.0,0.1,0.00018695385393461823,0.3957542499778811,0.9107713983626685,0.3775568666957163,true,34,-1.8392496675817815,0.2,0.2,80.959740622,0.4268510542597601
256,1.5,0.0,1.0,100.0,0.1,0.0003629914849938112,0.39575416672722535,0.9369157156002623,0.08159119780815072,true,41,-1.8392503851128656,0.2,0.2,97.598175434,0.4268523944413998
256,2.0,0.0,1.0,100.0,0.1,0.0006639445272567308,0.3957539009574895,0.9533122009405606,0.009483739864091234,true,52,-1.839252695073673,0.2,0.2,80.097581263,0.42685667283784934
256,2.5,0.0,1.0,100.0,0.1,0.001283741919448437,0.395752862867247,0.9611302732199061,0.003271498358436986,true,72,-1.8392619680982571,0.2,0.2,106.520395131,0.4268733840802763
256,3.0,0.0,1.0,100.0,0.1,0.003408848866980083,0.3957442869354394,0.991229181583929,0.006686108078413078,true,120,-1.8393414983105116,0.2,0.2,178.56880738,0.427011435591484
256,3.5,0.0,1.0,100.0,0.1,0.055842734957724294,0.39303556884360846,0.9885990578767795,0.09844579585527313,true,128,-1.8653400509765572,0.2,0.2,183.942957913,0.47024705761294905
256,4.0,0.0,1.0,100.0,0.1,0.13304549190378306,0.379325819026347,0.9794424354420128,0.25825921480804315,true,67,-1.9969528757248067,0.2,0.2,88.247898769,0.6810817401653724
256,4.5,0.0,1.0,100.0,0.1,0.18108180350127445,0.3633393671477304,0.9363689242501971,0.37831214094474763,true,66,-2.1524736269192277,0.2,0.2,87.173502674,0.9188185313776108
256,5.0,0.0,1.0,100.0,0.1,0.21533101536242127,0.34725236294696704,0.9401012829922117,0.5003617973405872,true,60,-2.315496487851844,0.2,0.2,78.953520201,1.1571788336364794
256,5.5,0.0,1.0,100.0,0.1,0.24167913309968497,0.331477382141143,0.9852197330674217,0.6432320514462297,true,55,-2.4846378717171063,0.2,0.2,69.350965289,1.3950959654186899
