L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.0,0.0,0.3120356838859201,0.9524283685617974,0.3120356838859201,0.3120356838859201,true,127,-1.6212287122694493,0.05,0.05,2.741024204,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299201508831,-2.81370745196353e-6,-5.7061803943828635e-6,0.3120356838859201,0.9525345098738702,0.27774597243687565,0.04570011793751487,true,127,-1.6048075559024049,0.05,0.05,2.553585629,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.4052291981538322,-4.984936142214727e-6,-1.2163322161582733e-6,0.3120356838859201,0.9527628095290508,0.24604217257869626,0.006040475541226815,true,127,-1.5883864560971122,0.05,0.05,3.607693302,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.4052284223315062,-6.590096277191182e-6,-1.8292041449656525e-7,0.3120356838859201,0.9530572253784175,0.21685110485546144,0.0007228394033594695,true,127,-1.5719654170415536,0.05,0.05,2.278922037,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758734478037,-7.702317783416713e-6,-2.249855992418416e-8,0.3120356838859201,0.9533996389805566,0.19009199676136845,7.749053097909135e-5,true,127,-1.5555444433182493,0.05,0.05,1.524365716,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.4052266871877492,-8.391112549700708e-6,-2.347633598434026e-9,0.3120356838859201,0.953780956253758,0.1656773993511724,7.370747075229093e-6,true,127,-1.5391235399727157,0.05,0.05,2.29371142,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571509219196,-8.722064350907273e-6,-2.0987392729380806e-10,0.3120356838859201,0.9541957273161428,0.14351364206000936,6.162872557199117e-7,true,127,-1.522702712569972,0.05,0.05,1.83212741,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246634142581,-8.756544489312179e-6,-1.6066761615543674e-11,0.3120356838859201,0.9546402536880771,0.12350125979492808,4.484593628616469e-8,true,127,-1.5062819672610537,0.05,0.05,2.884082872,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522352350134383,-8.551457353671136e-6,-1.04704307108231e-12,0.3120356838859201,0.9551117549628785,0.10553546841575305,2.8083776383860875e-9,true,127,-1.489861310859776,0.05,0.05,2.778335812,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.40522228553545697,-8.159021373286625e-6,-5.752836760668223e-14,0.3120356838859201,0.9556079594859046,0.08950671109424833,1.4941919530833294e-10,true,127,-1.473440750931194,0.05,0.05,2.403964209,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.405220938348494,-7.6265913199398325e-6,-2.6310758694970547e-15,0.3120356838859201,0.9561268827009695,0.07530128475864112,6.6548512252885115e-12,true,127,-1.4570202958938774,0.05,0.05,1.954179108,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.40521946920383445,-6.996528025551043e-6,-9.86889204153418e-17,0.3120356838859201,0.9566666942955049,0.06280205017851552,2.4405006778486934e-13,true,127,-1.4405999551385535,0.05,0.05,2.483321487,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4052178635373913,-6.30612142976916e-6,-2.695311777722387e-18,0.3120356838859201,0.9572256292830206,0.051889225621493215,6.6473301990671734e-15,true,127,-1.4241797391661708,0.05,0.05,2.067690356,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4052161046496604,-5.587572453917928e-6,-8.6714997975159e-20,0.3120356838859201,0.9578019209450783,0.04244126089198359,2.100924686734487e-16,true,127,-1.4077596597490545,0.05,0.05,2.075023631,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.4052141733382971,-4.868038491065805e-6,-2.4881592825595072e-21,0.3120356838859201,0.9583937437535051,0.03433578540961757,5.830265900228826e-18,true,127,-1.3913397301195916,0.05,0.05,2.375745543,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4052120474581811,-4.169746273249304e-6,-1.0587911840678754e-22,0.3120356838859201,0.9589991591441027,0.027450620602906237,2.3085782842465916e-19,true,127,-1.3749199651918362,0.05,0.05,1.737335975,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.4052097013926429,-3.510174494436187e-6,0.0,0.3120356838859201,0.959616059233559,0.021664843229899602,2.9039599674437922e-21,true,127,-1.3585003818226111,0.05,0.05,2.623483766,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.40520710541527727,-2.9023068088062604e-6,2.3822801641527197e-22,0.3120356838859201,0.9602421044812015,0.01685988232458958,4.981736339164236e-19,true,127,-1.342080999120193,0.05,0.05,1.950658042,0.0
