L,U,V,t,β,δ,m,uS,vx,vy,Qm,QuS,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.0,0.0,0.1953125,0.5961535021183906,0.1953125,0.1953125,true,11,-1.6212287122694493,0.5,0.5,0.687119783,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198524336,-3.3289247714397395e-6,-3.328924771439739e-6,0.1953125,0.5962717418785957,0.06173890400688707,0.06173890400688707,true,11,-1.6048075558997412,0.5,0.5,0.151293266,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.4052291975255202,-1.6056411147424009e-6,-1.6056411147424009e-6,0.1953125,0.5965807073974316,0.01631011016727655,0.01631011016727655,true,11,-1.588386456092721,0.5,0.5,0.146865882,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.4052284213235461,-4.463152548633052e-7,-4.463152548633055e-7,0.1953125,0.5970193330234741,0.0032852995743896714,0.003285299574389673,true,11,-1.5719654170278254,0.5,0.5,0.115482223,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.405227585894265,-7.313347733377686e-8,-7.313347733377686e-8,0.1953125,0.5975519587375633,0.0004359957064733898,0.0004359957064733898,true,11,-1.5555444432924321,0.5,0.5,0.128697539,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.4052266852208345,-5.620726981684263e-9,-5.620726981684254e-9,0.1953125,0.5981582969362131,2.8786239341139042e-5,2.8786239341138998e-5,true,11,-1.5391235399335415,0.5,0.5,0.147109801,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571252402706,-1.026976994822492e-10,-1.0269769948224903e-10,0.1953125,0.5988264257418274,4.683820751169317e-7,4.683820751169309e-7,true,11,-1.5227027125180104,0.5,0.5,0.173542915,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601483731,-2.0440783707922082e-14,-2.0440783707921984e-14,0.1953125,0.5995488632305479,8.503056649263245e-11,8.503056649263205e-11,true,11,-1.5062819671985088,0.5,0.5,1.09802128,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522351942823753,-3.817094480860876e-15,-3.8170944808608625e-15,0.1953125,0.6003207391015453,1.4729089720486037e-11,1.4729089720485983e-11,true,11,-1.4898613107899572,0.5,0.5,0.130980775,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.4052222805304073,-1.7927845748879182e-11,-1.79278457488792e-11,0.1953125,0.6011390371791769,6.497380419177465e-8,6.497380419177472e-8,true,11,-1.4734407508579195,0.5,0.5,0.158686096,0.0
