L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,NaN,0.4052305930846235,NaN,NaN,1.0,0.0,1.0,1.0,false,100,NaN,0.5,0.5,2.48560133,0.0
128,0.0,0.1,1.0,100.0,0.0,NaN,0.40522991934235425,NaN,NaN,1.0,1.3698680324825625e-16,1.0206805141205697,1.2992237120677488,false,100,NaN,0.5,0.5,1.766146412,0.0
128,0.0,0.2,1.0,100.0,0.0,NaN,0.4052291964235516,NaN,NaN,1.0,0.0,1.0422343800304747,Inf,false,100,NaN,0.5,0.5,1.701493866,0.0
128,0.0,0.3,1.0,100.0,0.0,NaN,0.4052284195434299,NaN,3.3409558876152446e-52,1.0,0.0,1.0647181052579429,-1.4,false,100,NaN,0.5,0.5,1.69662595,0.0
128,0.0,0.4,1.0,100.0,0.0,NaN,0.40522758333515185,NaN,NaN,1.0,0.0,1.0881931783749346,Inf,false,100,NaN,0.5,0.5,1.676597432,0.0
128,0.0,0.5,1.0,100.0,0.0,NaN,0.4052266817655835,NaN,NaN,1.0,0.0,1.1127266299964116,2.590032910202163,false,100,NaN,0.5,0.5,1.710801067,0.0
128,0.0,0.6,1.0,100.0,0.0,NaN,0.4052257080370568,NaN,NaN,1.0,0.0,1.138391671349806,2.9389661102039084,false,100,NaN,0.5,0.5,1.695527458,0.0
128,0.0,0.7,1.0,100.0,0.0,NaN,0.4052246544725278,4.930380657631324e-32,2.3497574218656458e-14,1.0,1.3698858304541095e-16,-36.08996498574966,-3.528036303523943,false,100,NaN,0.5,0.5,1.673852999,0.0
128,0.0,0.8,1.0,100.0,0.0,NaN,0.40522350466755064,-8.470329472543003e-22,0.00039173699088392944,1.0,2.934480088192794e-9,-4.21332037691766,-3.9320671602205612,false,100,NaN,0.5,0.5,1.670651525,0.0
128,0.0,0.9,1.0,100.0,0.0,NaN,0.40515096771712794,NaN,0.03468144629180503,1.0,1.3701349781796673e-16,3.969787848175209,-4.000000000000011,false,100,NaN,0.5,0.5,1.689576949,0.0
128,0.0,1.0,1.0,100.0,0.0,NaN,0.405035487530503,5.421010862427522e-20,0.051391887685031695,1.0,0.0,-1.9999999999924016,-4.0,false,100,NaN,0.5,0.5,1.665050046,0.0
128,0.0,1.1,1.0,100.0,0.0,NaN,0.40487965470193543,5.421010862427522e-20,0.06468867866286443,1.0,0.0,-3.9999999999991487,-4.0,false,100,NaN,0.5,0.5,1.710895379,0.0
128,0.0,1.2,1.0,100.0,0.0,NaN,0.4046731082145526,NaN,0.076889532046399,1.0,0.0,3.999999999999996,-4.0,false,100,NaN,0.5,0.5,1.736409869,0.0
128,0.0,1.3,1.0,100.0,0.0,NaN,0.4044054487255795,NaN,0.08871265367172315,1.0,0.0,3.999999999999998,-4.0,false,100,NaN,0.5,0.5,1.811269792,0.0
128,0.0,1.4,1.0,100.0,0.0,NaN,0.40406697201343245,5.421010862427522e-19,0.10038908380772765,1.0,0.0,-4.0000000000000036,-4.0,false,100,NaN,0.5,0.5,1.776628821,0.0
128,0.0,1.5,1.0,100.0,0.0,NaN,0.4036488976381464,NaN,0.111965931375679,1.0,0.0,3.999999999999888,-4.0,false,100,NaN,0.5,0.5,1.741792934,0.0
128,0.0,1.6,1.0,100.0,0.0,NaN,0.40314324448204936,2.168404344971009e-19,0.1234269128991668,1.0,1.3769584878590112e-16,-4.00000000000002,-4.0,false,100,NaN,0.5,0.5,1.738337538,0.0
128,0.0,1.7,1.0,100.0,0.0,NaN,0.4025426416554374,2.168404344971009e-19,0.13474012677177732,1.0,0.0,-3.999999999999928,-4.0,false,100,NaN,0.5,0.5,1.736185554,0.0
128,0.0,1.8,1.0,100.0,0.0,NaN,0.40184021017822225,6.505213034913027e-19,0.1458741336461476,1.0,0.0,-3.999999999999954,-4.0,false,100,NaN,0.5,0.5,1.68496136,0.0
128,0.0,1.9,1.0,100.0,0.0,NaN,0.4010295167376938,NaN,0.15680202953813926,1.0,0.0,3.999999999999992,-4.0,false,100,NaN,0.5,0.5,1.674161234,0.0
128,0.0,2.0,1.0,100.0,0.0,NaN,0.40010456933203065,NaN,0.16750173828703913,1.0,0.0,2.7999999999999967,-4.0,false,100,NaN,0.5,0.5,1.652228453,0.0
128,0.0,2.1,1.0,100.0,0.0,NaN,0.3990598352962835,NaN,0.17795535538741747,1.0,0.0,6.106575765926106e14,-4.0,false,100,NaN,0.5,0.5,1.657754428,0.0
128,0.0,2.2,1.0,100.0,0.0,NaN,0.39789027357313,4.336808689942018e-19,0.18814837683344326,1.0,0.0,-4.000000000000021,-4.0,false,100,NaN,0.5,0.5,1.652582685,0.0
128,0.0,2.3,1.0,100.0,0.0,NaN,0.39659137806183714,NaN,0.1980690257672017,1.0,1.3997064561146975e-16,1.0,-4.0,false,100,NaN,0.5,0.5,1.719023086,0.0
128,0.0,2.4,1.0,100.0,0.0,NaN,0.39515923020463806,3.0357660829594124e-18,0.2077077151579113,1.0,0.0,-4.000000000000002,-4.0,false,100,NaN,0.5,0.5,1.692521012,0.0
128,0.0,2.5,1.0,100.0,0.0,NaN,0.39359055893236305,NaN,0.21705663844132617,1.0,0.0,2.0000000000000004,-4.0,false,100,NaN,0.5,0.5,1.654323836,0.0
128,0.0,2.6,1.0,100.0,0.0,NaN,0.39188280562839906,0.0,0.22610946935813525,1.0,0.0,-1.0,-4.0,false,100,NaN,0.5,0.5,1.685581718,0.0
128,0.0,2.7,1.0,100.0,0.0,NaN,0.3900341912055929,NaN,0.23486115141391545,1.0,0.0,4.000000000000001,-4.0,false,100,NaN,0.5,0.5,1.690905976,0.0
128,0.0,2.8,1.0,100.0,0.0,NaN,0.38804378185530664,NaN,0.24330775909488556,1.0,0.0,3.0,-4.0,false,100,NaN,0.5,0.5,1.668459351,0.0
128,0.0,2.9,1.0,100.0,0.0,NaN,0.3859115496036948,8.673617379884035e-19,0.2514464150404575,1.0,0.0,-2.0,-4.0,false,100,NaN,0.5,0.5,1.675520858,0.0
128,0.0,3.0,1.0,100.0,0.0,NaN,0.38363842356914724,NaN,0.2592752491978093,1.0,0.0,1.0,-4.0,false,100,NaN,0.5,0.5,1.660359157,0.0
128,0.0,3.1,1.0,100.0,0.0,NaN,0.3812263278205988,5.204170427930421e-18,0.26679338749054715,1.0,1.4561206081595923e-16,-4.0,-4.0,false,100,NaN,0.5,0.5,1.668299439,0.0
128,0.0,3.2,1.0,100.0,0.0,NaN,0.378678202036221,NaN,0.27400095882663605,1.0,0.0,4.0,-4.0,false,100,NaN,0.5,0.5,1.675844787,0.0
128,0.0,3.3,1.0,100.0,0.0,NaN,0.37599800177639475,NaN,0.2808991104973151,1.0,0.0,3.9536679536679538,-4.0,false,100,NaN,0.5,0.5,1.704164317,0.0
128,0.0,3.4,1.0,100.0,0.0,NaN,0.3731906761007219,NaN,0.2874900233056248,1.0,0.0,10.0,-4.0,false,100,NaN,0.5,0.5,1.677767653,0.0
128,0.0,3.5,1.0,100.0,0.0,NaN,0.37026212142646764,NaN,0.2937769191887941,1.0,0.0,4.0,-4.0,false,100,NaN,0.5,0.5,1.695599984,0.0
128,0.0,3.6,1.0,100.0,0.0,NaN,0.3672191118600602,NaN,0.2997640556857789,1.0,0.0,4.0,-4.0,false,100,NaN,0.5,0.5,1.73844346,0.0
128,0.0,3.7,1.0,100.0,0.0,NaN,0.36406920762033196,NaN,0.3054567033205944,1.0,1.5247417268297898e-16,10.0,-4.0,false,100,NaN,0.5,0.5,1.724516167,0.0
