L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.0,0.5961535021183906,0.1953125,true,11,-1.6212287122694495,0.5,0.5,0.876866744,0.0
128,0.0,0.1,1.0,100.0,0.0,0.40522991669350905,0.00024282115150096287,0.14918677283715098,0.9734323168866224,true,13,-1.6048075519635738,0.5,0.5,0.195091694,0.0
128,0.0,0.2,1.0,100.0,0.0,0.40522915378562596,0.0009470932850722758,0.0002729192452033402,0.915214917160403,true,23,-1.5883863976586703,0.5,0.5,0.294650992,0.0
128,0.0,0.3,1.0,100.0,0.0,0.40520590775936716,0.02093567111469475,0.002247573308689077,0.9558212684092487,true,34,-1.5719655977148064,0.5,0.5,0.440037642,0.0
128,0.0,0.4,1.0,100.0,0.0,0.4049713755470955,0.05819833841855376,0.019268335409106108,0.8299390671150791,true,17,-1.5557313245395172,0.5,0.5,0.223758853,0.0
128,0.0,0.5,1.0,100.0,0.0,0.40453942906332774,0.08336056284295311,0.6103483054997749,0.7038270208737651,true,11,-1.5398483395008036,0.5,0.5,0.559433136,0.0
128,0.0,0.6,1.0,100.0,0.0,0.4038875953245922,0.1057285142073787,0.2677496788637823,0.8238783491310853,true,12,-1.5244090868922822,0.5,0.5,0.17565543,0.0
128,0.0,0.7,1.0,100.0,0.0,0.4029454080424669,0.12742296600129227,0.00376683256919641,0.8006978962016853,true,15,-1.5095105735830217,0.5,0.5,0.250776488,0.0
128,0.0,0.8,1.0,100.0,0.0,0.40173831812247307,0.14737406010794307,0.035465675314538814,0.7818797381246023,true,16,-1.495227831382326,0.5,0.5,0.18919455,0.0
128,0.0,0.9,1.0,100.0,0.0,0.40028085813221176,0.16560150679216895,0.05904452360916412,0.8700808580776043,true,16,-1.481613887085568,0.5,0.5,0.195181901,0.0
128,0.0,1.0,1.0,100.0,0.0,0.39858297498388023,0.18229457453206693,0.08113980394874876,0.8945457639615295,true,16,-1.4687040707048187,0.5,0.5,0.212083773,0.0
128,0.0,1.1,1.0,100.0,0.0,0.396661884235929,0.19757496414030204,0.10066245845308242,0.8780248636970911,true,16,-1.4565200632309292,0.5,0.5,0.202504552,0.0
128,0.0,1.2,1.0,100.0,0.0,0.3945353656173749,0.21157124618852774,0.11703690321973603,0.836470271459222,true,16,-1.4450732537127076,0.5,0.5,0.201221155,0.0
128,0.0,1.3,1.0,100.0,0.0,0.3922209099606683,0.22440725248400478,0.13004855919940272,0.7807432715387641,true,16,-1.4343673150140113,0.5,0.5,0.20884453,0.0
128,0.0,1.4,1.0,100.0,0.0,0.38973528454853246,0.23619721544852493,0.13972249160210115,0.7180890825579378,true,16,-1.4244001575809977,0.5,0.5,0.20738612,0.0
128,0.0,1.5,1.0,100.0,0.0,0.3870943390714725,0.24704422810122345,0.14623505082611565,0.6532509587738877,true,16,-1.4151654008182908,0.5,0.5,0.566273951,0.0
128,0.0,1.6,1.0,100.0,0.0,0.3843319943019854,0.2569760382662072,0.2235117701470113,0.9215252297044563,true,15,-1.406653459706038,0.5,0.5,0.266086542,0.0
