L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,4.0,1.0,100.0,0.0,0.4046965910388758,-2.7755575615628914e-17,0.9748720599940253,5.771145929835784e-14,true,126,-0.8103835792517501,0.05,0.05,1.835760768,0.0
128,0.0,4.1,1.0,100.0,0.0,0.40456741344089975,1.3877787807814457e-17,0.960386304414862,2.712889002082788e-14,true,126,-0.8102192765151118,0.05,0.05,1.198381512,0.0
128,0.0,4.2,1.0,100.0,0.0,0.40439021864751723,0.0,0.9890933879350694,1.9182286457154514e-16,true,125,-0.8099799192748554,0.05,0.05,1.166632015,0.0
128,0.0,4.3,1.0,100.0,0.0,0.4041368473233027,-1.3877787807814457e-17,0.9538279879793832,2.7323017442457428e-14,true,125,-0.8096173192748469,0.05,0.05,1.174404527,0.0
128,0.0,4.4,1.0,100.0,0.0,0.4037618651845555,0.0,0.9993364276182914,6.286960560353556e-16,true,123,-0.8090518043634632,0.05,0.05,1.143578395,0.0
128,0.0,4.5,1.0,100.0,0.0,0.4031736211544361,8.326672684688674e-17,0.9484075725167962,1.6809006897885373e-13,true,122,-0.8081187603518551,0.05,0.05,1.13998057,0.0
128,0.0,4.6,1.0,100.0,0.0,0.40221417701325,5.551115123125783e-17,0.9762113765362512,1.1319367447167295e-13,true,118,-0.8065269871966184,0.05,0.05,1.090855921,0.0
128,0.0,4.7,1.0,100.0,0.0,0.40059078923014574,-9.076073226310655e-15,0.963968264718118,1.8576104602042912e-11,true,112,-0.8037219724717637,0.05,0.05,1.046810348,0.0
128,0.0,4.8,1.0,100.0,0.0,0.39791915037519743,-8.911077431505987e-10,0.9715952672419981,1.8169063285314234e-6,true,102,-0.7989479089045728,0.05,0.05,0.948937798,0.0
128,0.0,4.9,1.0,100.0,0.0,0.393937353217721,-2.2838367393085424e-7,0.9037392612797346,0.0004643070588057829,true,90,-0.7916434315093333,0.05,0.05,0.833697885,0.0
128,0.0,5.0,1.0,100.0,0.0,0.3888811665911216,-1.6546798481398284e-7,0.9678448896129899,0.0003357055109315394,true,77,-0.7822078506277141,0.05,0.05,0.720551343,0.0
128,0.0,5.1,1.0,100.0,0.0,0.3830698422717208,-2.945272289944789e-9,0.8576403104696428,5.966689162906215e-6,true,67,-0.7712155929478608,0.05,0.05,0.630464954,0.0
128,0.0,5.2,1.0,100.0,0.0,0.3769168835758204,-1.4710326318168043e-8,0.7437631916958898,2.976936149555332e-5,true,59,-0.7594741880627368,0.05,0.05,0.547221887,0.0
128,0.0,5.3,1.0,100.0,0.0,0.3707901854983823,1.7451018685665787e-9,0.9428983795745083,3.5287795793566493e-6,true,52,-0.7477627615845753,0.05,0.05,0.48153879,0.0
128,0.0,5.4,1.0,100.0,0.0,0.36455020172798314,3.029754169769916e-9,0.8468820079177153,6.122598340633982e-6,true,47,-0.735734937212648,0.05,0.05,0.445030834,0.0
128,0.0,5.5,1.0,100.0,0.0,0.3583422361109708,-6.80426782972976e-9,0.6416010887020374,1.3743076964479791e-5,true,43,-0.7236965175322294,0.05,0.05,0.403441165,0.0
128,0.0,5.6,1.0,100.0,0.0,0.352136058904024,-2.382174976722773e-8,0.18629882239074025,4.8093328145973964e-5,true,40,-0.7115550463207654,0.05,0.05,0.374112155,0.0
128,0.0,5.7,1.0,100.0,0.0,0.3461835844176125,-4.3815396255642014e-8,0.025914852767816576,8.842510688828514e-5,true,37,-0.6999273454648078,0.05,0.05,0.344469982,0.0
128,0.0,5.8,1.0,100.0,0.0,0.3406253763959375,1.9329013853375265e-7,0.2704839606229026,0.00038995949528949594,true,35,-0.6891850692412896,0.05,0.05,0.329773074,0.0
128,0.0,5.9,1.0,100.0,0.0,0.3346302511357082,1.8736817769260394e-6,0.6675098174347971,0.0037789886921865564,true,34,-0.6772190898298348,0.05,0.05,0.322922895,0.0
128,0.0,6.0,1.0,100.0,0.0,0.32989219487209653,3.6204736458822495e-8,0.6803740918251977,7.300269303875467e-5,true,33,-0.6683972951995197,0.05,0.05,0.308558408,0.0
