L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
128,0.05,5.0,1.0,100.0,0.0,0.0010340729286506527,0.38853737301437097,0.9963416335970811,0.00015060538516298294,true,183,-0.8037565444692849,0.05,0.05,2.054884241,0.0
128,0.05,5.05,1.0,100.0,0.0,0.0011852843015277869,0.38569049756435725,0.9916463298120888,0.00014383543089913076,true,194,-0.7962631949261325,0.05,0.05,1.374946927,0.0
128,0.05,5.1,1.0,100.0,0.0,0.0013536764018654266,0.38272682258772683,0.9880123295443366,0.000139315160629927,true,206,-0.7888820328346817,0.05,0.05,1.457235799,0.0
128,0.05,5.15,1.0,100.0,0.0,0.0015591111420596247,0.37968599318955254,0.9969615634906545,0.00013982275970381153,true,218,-0.7816158788235322,0.05,0.05,1.54652813,0.0
128,0.05,5.2,1.0,100.0,0.0,0.001766356200828362,0.37659857046627043,0.9930331310068685,0.00013798205644732775,true,232,-0.7744661452132428,0.05,0.05,1.641788407,0.0
128,0.05,5.25,1.0,100.0,0.0,0.002017026919556765,0.37348754185906297,0.9996567464518584,0.00014023832595189134,true,246,-0.7674331862140839,0.05,0.05,1.734007702,0.0
128,0.05,5.3,1.0,100.0,0.0,0.002276029875025178,0.37037001155428895,0.9962209762254337,0.00014077737819917502,true,262,-0.7605165861430874,0.05,0.05,1.852211025,0.0
128,0.05,5.35,1.0,100.0,0.0,0.002568995804006438,0.3672586356176136,0.9939676758668297,0.00014272263204606617,true,279,-0.7537153683613383,0.05,0.05,1.991819192,0.0
128,0.05,5.4,1.0,100.0,0.0,0.002903670250749923,0.36416276832773165,0.9930659818926969,0.00014617299193275812,true,297,-0.7470281574603983,0.05,0.05,2.106467908,0.0
128,0.05,5.45,1.0,100.0,0.0,0.003289854462561697,0.36108931546282663,0.9935789064208352,0.00015127176278273424,true,316,-0.7404532955628097,0.05,0.05,2.244624661,0.0
