L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.1953125,0.5961535021183906,true,11,-1.6212287122694493,0.5,0.5,0.891750105,0.0
128,0.1,0.0,1.0,100.0,0.0,5.61213434662968e-5,0.40523059273727835,0.6520650665923841,0.596284924158752,true,11,-1.6212287120007425,0.5,0.5,0.083957174,0.0
128,0.2,0.0,1.0,100.0,0.0,0.00015128079181814054,0.40523059056070787,0.7275761674264756,0.14926762847744524,true,13,-1.6212287090366395,0.5,0.5,0.094612825,0.0
128,0.3,0.0,1.0,100.0,0.0,0.000284093969356954,0.405230584183648,0.7215043037990766,0.01881749837107094,true,16,-1.6212286987239712,0.5,0.5,0.11708341,0.0
128,0.4,0.0,1.0,100.0,0.0,0.0007025481273855953,0.4052305386455465,0.9870552222180624,0.002636247316556428,true,19,-1.6212286308128014,0.5,0.5,0.135293103,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,0.8967438423698746,0.00035243725182709795,true,26,-1.621228508634671,0.5,0.5,0.18946715,0.0
128,0.6,0.0,1.0,100.0,0.0,0.0035095367932664557,0.405229230553655,0.9618203832869615,0.0008358539724806491,true,37,-1.6212278291047273,0.5,0.5,0.267660184,0.0
128,0.7,0.0,1.0,100.0,0.0,0.018913890327122485,0.40518753456281137,0.9979399826487018,0.00507331326460303,true,32,-1.6212289957686281,0.5,0.5,0.23155013,0.0
128,0.8,0.0,1.0,100.0,0.0,0.03540487544004399,0.4050484165577739,0.9978819008874124,0.013043016934943807,true,23,-1.621295766922151,0.5,0.5,0.16230286,0.0
128,0.9,0.0,1.0,100.0,0.0,0.04820988336534719,0.40483426573859493,0.8635014966148769,0.01905104798560764,true,21,-1.6214625905775675,0.5,0.5,0.15200404,0.0
128,1.0,0.0,1.0,100.0,0.0,0.060788141970432426,0.40451167085214423,0.8735491693890735,0.029162989202191625,true,19,-1.621750399346752,0.5,0.5,0.138580288,0.0
