L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
30,0.0,1.0,1.0,100.0,0.0,0.0,0.40454144635361317,0.3094850098213456,0.9424408167281184,true,30,-1.4554292803130433,0.2,0.2,0.297635407,0.0
30,0.0,1.2,1.0,100.0,0.0,0.0,0.4045403452284683,0.3094850098213456,0.9424088070657533,true,30,-1.422698611602648,0.2,0.2,0.008091746,0.0
30,0.0,1.4,1.0,100.0,0.0,0.0,0.4045390336300133,0.3094850098213456,0.9423679477928992,true,30,-1.3899681380424174,0.2,0.2,0.008508759,0.0
30,0.0,1.6,1.0,100.0,0.0,0.0,0.40453746748201164,0.3094850098213456,0.9423157318693143,true,30,-1.3572378972531403,0.2,0.2,0.00780031,0.0
30,0.0,1.8,1.0,100.0,0.0,0.0,0.4045355895585818,0.3094850098213456,0.9422486386925222,true,30,-1.3245079350273459,0.2,0.2,0.007928521,0.0
30,0.0,2.0,1.0,100.0,0.0,0.0,0.40453332256781,0.3094850098213456,0.9421614656707211,true,30,-1.2917783079887033,0.2,0.2,0.007924403,0.0
30,0.5,1.0,1.0,100.0,0.0,0.04272318990227185,0.4044293576655447,0.9761063018588895,0.03407389316534282,true,46,-1.4555103355760028,0.2,0.2,0.012209159,0.0
30,0.5,1.2,1.0,100.0,0.0,0.04541772024944468,0.4044013373673913,0.9746602058264275,0.0503622057683728,true,44,-1.4227985691573062,0.2,0.2,0.011749376,0.0
30,0.5,1.4,1.0,100.0,0.0,0.048408491328990104,0.40436502862255236,0.9545196005815715,0.0751029677787951,true,42,-1.3900918402336233,0.2,0.2,0.047851359,0.0
30,0.5,1.6,1.0,100.0,0.0,0.05181863802652563,0.4043165507807936,0.9719028309072147,0.1389394411883682,true,39,-1.3573917226073413,0.2,0.2,0.011422724,0.0
30,0.5,1.8,1.0,100.0,0.0,0.05565195824569432,0.4042520622494571,0.9235458303097632,0.26073938626336446,true,36,-1.3247004913079317,0.2,0.2,0.009275938,0.0
30,0.5,2.0,1.0,100.0,0.0,0.06013783672140888,0.4041625463849206,0.9661936382934083,0.9563206325723383,true,30,-1.2920213713718158,0.2,0.2,0.007962845,0.0
30,1.0,1.0,1.0,100.0,0.0,0.10025302027965036,0.40256121707400067,0.9193375356173206,0.5426702400141981,true,32,-1.4582408435543646,0.2,0.2,0.008399564,0.0
