L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,2.112832713,0.0,1
256,0.0,0.4,1.0,100.0,0.0,0.4049902343952866,-1.063612280471915e-7,2.3087054351568687e-6,0.057678977066681666,3.469446951953614e-18,0.07678382025544384,0.00025864892200579717,0.047869750032752206,0.9820512593348152,0.021267647932553167,true,42,-1.5557525823144067,0.2,0.2,2.460454316,0.0,1
256,0.0,0.8,1.0,100.0,0.0,0.40174788431039044,-7.468710533919953e-7,1.585925553351862e-5,0.14727707125977751,0.0,0.01817043508178795,0.006025848506305267,0.1372443923132098,0.9230613807023058,0.026584559915691953,true,41,-1.4952322352235083,0.2,0.2,2.392097734,0.0,1
256,0.0,1.2,1.0,100.0,0.0,0.39454347381090454,-3.970720882678913e-6,5.946292567044365e-5,0.21152942746843484,0.0,0.08700547400342096,0.01869818440389169,0.28304319116875254,0.9598322790291824,0.021267647932560984,true,42,-1.4450747910912283,0.2,0.2,2.446658181,0.0,1
256,0.0,1.6,1.0,100.0,0.0,0.3843327529606188,-2.2077352984942178e-5,0.00027502087596726656,0.2569756855690057,-6.938893903907228e-18,0.16426796114932252,0.0631504802342339,0.7899677060215748,0.9030835093947198,0.026584559915718016,true,41,-1.406654271592524,0.2,0.2,2.393441272,0.0,1
256,0.0,2.0,1.0,100.0,0.0,0.3720388562012428,-4.601930581646374e-5,0.0005203366134952075,0.2900347746660443,6.938893903907228e-18,0.06773423066586126,0.08158046320966023,0.9228514775349652,0.20833391522379063,0.005575186299620067,true,48,-1.379573653083497,0.2,0.2,2.802536177,0.0,1
256,0.0,2.4,1.0,100.0,0.0,0.358487015122974,-8.303992044428332e-5,0.000894502410804016,0.314488223071242,6.938893903907228e-18,0.0041766013454402895,0.08813173488059461,0.9493759925822214,0.01629660606561334,0.0003064991081637306,true,61,-1.362890053273193,0.2,0.2,3.538003183,0.0,1
256,0.0,2.8,1.0,100.0,0.0,0.3442396626215732,-0.00015982285153892661,0.001690562530784338,0.33292874070790757,0.0,0.0034677532817495305,0.0907073665401765,0.9594982349233373,0.004471389016380556,1.1579209131323903e-6,true,86,-1.355530618841752,0.2,0.2,4.972664004,0.0,1
256,0.0,3.2,1.0,100.0,0.0,0.3297234765413082,-0.0004443563565906389,0.004708490850131222,0.3470134807797587,-6.938893903907228e-18,0.009312145585083087,0.09292475243968704,0.9847360427375061,0.008222409094593708,5.85088894369828e-13,true,151,-1.3564800945241542,0.2,0.2,8.651272331,0.0,1
256,0.0,3.6,1.0,100.0,0.0,0.30951290401565146,-0.007238432233023409,0.07851072328996483,0.35341666329993715,0.0,0.14557174616403046,0.09046894959603008,0.9985440221304265,0.12148045477577973,1.4334385338673963e-9,true,116,-1.3870241487631858,0.2,0.2,6.61675256,0.0,1
256,0.0,4.0,1.0,100.0,0.0,0.281267349993076,-0.012975763874806048,0.1469805708720543,0.3502533310827457,2.0816681711721685e-17,0.29747290601489507,0.0806998963315056,0.9742583104908054,0.11674198497568788,0.021267647932535456,true,42,-1.47148883486927,0.2,0.2,2.381593735,0.0,1
256,0.4,0.0,1.0,100.0,0.0,0.4052540592966165,0.0,-4.963083675318166e-23,0.0,-1.1224645129159694e-6,0.9454664989214656,0.3094850098213869,0.3094850098213456,0.3094850098213456,0.0061907810039331995,true,30,-1.6212674825237277,0.2,0.2,1.703281682,0.0,1
256,0.4,0.4,1.0,100.0,0.0,0.4049902854587731,-1.4097174244609434e-7,2.8220253554608757e-6,0.0576746797152448,-1.1759593211528585e-7,0.09299200858325918,0.0002382294350120134,0.05850842601436005,0.9773821427721541,0.0008576677024314527,true,41,-1.5557525833918442,0.2,0.2,2.316971774,0.0,1
256,0.4,0.8,1.0,100.0,0.0,0.40174852060846056,-7.4661280044519e-7,1.5852758162438006e-5,0.14726797142046066,-2.8742186403488135e-7,0.0168358361638532,0.006022371687536031,0.1371872517562649,0.9439721974429105,0.0032352447019636976,true,41,-1.495232232061435,0.2,0.2,2.315416322,0.0,1
