L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,3.874658327,0.0,1
256,0.0,0.0,1.0,100.0,0.05,0.40322288683389584,-1.3877787807814457e-17,0.0,0.0,0.0,0.938429381098338,0.3094850098213457,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.712184620639624,0.2,0.2,109.745115879,0.1802594108271901,1
256,0.0,0.0,1.0,100.0,0.1,0.3957542800338832,0.0,0.0,0.0,0.0,0.9153151626098976,0.3094850098213456,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.8392494020529828,0.2,0.2,124.620927384,0.42685057041351393,1
256,0.0,0.0,1.0,100.0,0.15,0.3815042294856449,0.0,0.0,0.0,0.0,0.8712133922709198,0.3094850098213456,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.9949495924491978,0.2,0.2,102.587826996,0.7212731029735917,1
256,0.0,0.0,1.0,100.0,0.2,0.3593419491772771,-2.7755575615628914e-17,0.0,0.0,0.0,0.8026244568820617,0.30948500982130017,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-2.178890279813257,0.2,0.2,103.785321093,1.0591852450403874,1
256,0.0,0.0,1.0,100.0,0.25,0.32819611271481014,-2.7755575615628914e-17,0.0,0.0,0.0,0.8827909523090316,0.38685626227668196,0.38685626227668196,0.38685626227668196,0.38685626227668196,true,29,-2.392630726021073,0.2,0.2,98.671178768,1.4396859717772217,1
256,0.0,0.0,1.0,100.0,0.3,0.2870064194750661,-2.7755575615628914e-17,0.0,0.0,0.0,0.9043075557481073,0.48357032784585247,0.4835703278458524,0.4835703278458524,0.4835703278458524,true,28,-2.6382282221621547,0.2,0.2,92.592556145,1.8626617117830404,1
256,0.0,0.0,1.0,100.0,0.35,0.23470206064478777,-2.7755575615628914e-17,0.0,0.0,0.0,0.8142239953437547,0.6044629098073155,0.6044629098073154,0.6044629098073154,0.6044629098073154,true,27,-2.9186845566831856,0.2,0.2,93.896436144,2.3291863430842352,1
256,0.0,0.0,1.0,100.0,0.4,0.17019008383680223,0.0,0.0,0.0,0.0,0.6629265986812793,0.9444732965739303,0.9444732965739303,0.9444732965739303,0.9444732965739303,true,25,-3.236576499872966,0.2,0.2,15.791522577,2.8397272647727663,1
256,0.0,0.0,1.0,100.0,0.45,0.09234261228174998,-2.7755575615628914e-17,0.0,0.0,0.0,0.07232198221410191,0.9444732965739302,0.9444732965739303,0.9444732965739303,0.9444732965739303,true,25,-3.5957193323672225,0.2,0.2,14.967741782,3.3960971908465467,1
256,0.0,0.4,1.0,100.0,0.0,0.4049902343952866,-1.063612280471915e-7,2.3087054351568687e-6,0.057678977066681666,3.469446951953614e-18,0.07678382025544384,0.00025864892200579717,0.047869750032752206,0.9820512593348152,0.021267647932553167,true,42,-1.5557525823122746,0.2,0.2,4.655908979,0.0,1
