L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.0,0.0,0.0,0.9447155553945485,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.6212674825229374,0.2,0.2,3.64172283,0.0,0
256,0.0,0.0,1.0,100.0,0.05,0.40322288683389584,-1.3877787807814457e-17,0.0,0.0,0.938429381098338,0.3094850098213457,0.3094850098213456,0.3094850098213456,true,30,-1.712184620639624,0.2,0.2,87.532742753,0.1802594108271901,0
256,0.0,0.0,1.0,100.0,0.1,0.3957542800338832,0.0,0.0,0.0,0.9153151626098976,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.8392494020529828,0.2,0.2,157.636759811,0.42685057041351393,0
256,0.0,0.0,1.0,100.0,0.15,0.3815042294856449,0.0,0.0,0.0,0.8712133922709198,0.3094850098213456,0.3094850098213456,0.3094850098213456,true,30,-1.994949592449198,0.2,0.2,132.131771902,0.7212731029735917,0
256,0.0,0.0,1.0,100.0,0.2,0.3593419491772771,-2.7755575615628914e-17,0.0,0.0,0.8026244568820617,0.30948500982130017,0.3094850098213456,0.3094850098213456,true,30,-2.178890279813257,0.2,0.2,139.808595818,1.0591852450403874,0
256,0.0,0.0,1.0,100.0,0.25,0.32819611271481014,-2.7755575615628914e-17,0.0,0.0,0.8827909523090316,0.38685626227668196,0.38685626227668196,0.38685626227668196,true,29,-2.392630726021073,0.2,0.2,253.114354891,1.4396859717772217,0
256,0.0,0.0,1.0,100.0,0.3,0.2870064194750661,-2.7755575615628914e-17,0.0,0.0,0.9043075557481073,0.48357032784585247,0.4835703278458524,0.4835703278458524,true,28,-2.6382282221621542,0.2,0.2,231.104170526,1.8626617117830404,0
256,0.0,0.0,1.0,100.0,0.35,0.23470206064478777,-2.7755575615628914e-17,0.0,0.0,0.8142239953437547,0.6044629098073155,0.6044629098073154,0.6044629098073154,true,27,-2.918684556683186,0.2,0.2,148.425574896,2.3291863430842352,0
256,0.0,0.0,1.0,100.0,0.4,0.17019008383680223,0.0,0.0,0.0,0.6629265986812793,0.9444732965739303,0.9444732965739303,0.9444732965739303,true,25,-3.236576499872966,0.2,0.2,15.765910537,2.8397272647727663,0
256,0.0,0.0,1.0,100.0,0.45,0.09234261228174998,-2.7755575615628914e-17,0.0,0.0,0.07232198221410191,0.9444732965739302,0.9444732965739303,0.9444732965739303,true,25,-3.595719332367223,0.2,0.2,14.894805718,3.3960971908465467,0
256,0.0,0.4,1.0,100.0,0.0,0.40524969326578364,-2.051141511208443e-6,0.0,0.0,0.9453812618366308,0.01260660543855935,0.3094850098213456,0.3094850098213456,true,30,-1.555575818646021,0.2,0.2,2.990382193,0.0,0
256,0.0,0.4,1.0,100.0,0.05,0.40321948206753677,-6.711215156607331e-6,0.0,0.0,0.9389682079598005,0.0743342989802337,0.3094850098213456,0.3094850098213456,true,30,-1.6391528388408942,0.2,0.2,89.83525621,0.16571972030718513,0
256,0.0,0.4,1.0,100.0,0.1,0.3957516147533538,-7.781764603864705e-6,0.0,0.0,0.915704028445874,0.12342407231780979,0.3094850098213456,0.3094850098213456,true,30,-1.7563429161515707,0.2,0.2,156.817693267,0.39308671878521706,0
256,0.0,0.4,1.0,100.0,0.15,0.3815020689408173,-7.4892554485506135e-6,0.0,0.0,0.8714961084468342,0.1647826725465642,0.3094850098213456,0.3094850098213456,true,30,-1.9009882562781826,0.2,0.2,137.622963646,0.666283160404004,0
256,0.0,0.4,1.0,100.0,0.2,0.3593401793200012,-6.471342961306137e-6,0.0,0.0,0.8028248350895328,0.2012429166722556,0.3094850098213456,0.3094850098213456,true,30,-2.0740246124220505,0.2,0.2,136.983147334,0.983163446735498,0
256,0.0,0.4,1.0,100.0,0.25,0.3281946231238743,-6.245804270998967e-6,0.0,0.0,0.882967456225292,0.29660634474330705,0.38685626227668196,0.38685626227668196,true,29,-2.278777976903861,0.2,0.2,250.24001483,1.3453288183255916,0
256,0.0,0.4,1.0,100.0,0.3,0.28700522408548085,-5.49978831776432e-6,0.0,0.0,0.9044430099752754,0.41307312681545083,0.4835703278458524,0.4835703278458524,true,28,-2.5198928594725016,0.2,0.2,235.441634486,1.7559286797869524,0
256,0.0,0.4,1.0,100.0,0.35,0.23470122976446092,-4.229120010162957e-6,0.0,0.0,0.8143100283547478,0.5555194802198198,0.6044629098073154,0.6044629098073154,true,27,-2.8038571313094165,0.2,0.2,146.748646619,2.2200175400035578,0
256,0.0,0.4,1.0,100.0,0.4,0.17018952839082105,-2.9880431383633166e-6,0.0,0.0,0.6629866462694589,0.9139666324250991,0.9444732965739303,0.9444732965739303,true,25,-3.1381580791000134,0.2,0.2,96.457379452,2.7432466030094296,0
256,0.0,0.4,1.0,100.0,0.45,0.09234233929306895,-7.402579195181502e-7,0.0,0.0,0.07230341878758373,0.937012932624968,0.9444732965739303,0.9444732965739303,true,25,-3.5326983165166306,0.2,0.2,98.867254732,3.3333496511920515,0
256,0.0,0.8,1.0,100.0,0.0,0.4052439355270087,-4.5685165747655354e-8,0.0,0.0,0.9466320228275205,0.00017952084210130727,0.3094850098213456,0.3094850098213456,true,30,-1.4898857852620693,0.2,0.2,2.404652806,0.0,0
256,0.0,0.8,1.0,100.0,0.05,0.40321503544244086,-1.947858084078158e-6,0.0,0.0,0.9402947332380895,0.011960551427767708,0.3094850098213456,0.3094850098213456,true,30,-1.5661321416043417,0.2,0.2,90.228750399,0.15119789550894847,0
