L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.1953125,0.5961535021183906,true,11,-1.6212287122694493,0.5,0.5,1.31407072,0.0,5
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198554523,0.1953125,0.59614300366162,true,11,-1.604807555897257,0.5,0.5,0.095083535,0.0,5
128,0.0,0.2,1.0,100.0,0.0,0.0,0.40522919752542685,0.1953125,0.596131170404357,true,11,-1.588386456091437,0.5,0.5,0.094249698,0.0,5
128,0.0,0.3,1.0,100.0,0.0,0.0,0.40522842132091585,0.1953125,0.5961178217955831,true,11,-1.5719654170276618,0.5,0.5,0.097563434,0.0,5
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758588806074,0.1953125,0.596102749513383,true,11,-1.5555444432924257,0.5,0.5,0.093213879,0.0,5
128,0.0,0.5,1.0,100.0,0.0,0.0,0.40522668520886396,0.1953125,0.5960857126457997,true,11,-1.539123539933542,0.5,0.5,0.093002014,0.0,5
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571250335027,0.1953125,0.5960664319422104,true,11,-1.5227027125180106,0.5,0.5,0.10254734,0.0,5
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601152055,0.1953125,0.5960445829413796,true,11,-1.5062819671985088,0.5,0.5,0.097460702,0.0,5
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522351937776036,0.1953125,0.5960197877328266,true,11,-1.4898613107899572,0.5,0.5,0.088941417,0.0,5
128,0.0,0.9,1.0,100.0,0.0,0.0,0.4052222804565213,0.1953125,0.5959916050566338,true,11,-1.4734407508579197,0.5,0.5,0.092317868,0.0,5
128,0.0,1.0,1.0,100.0,0.0,0.0,0.40522093216363353,0.1953125,0.5959595183653299,true,11,-1.4570202958209333,0.5,0.5,0.099686327,0.0,5
128,0.0,1.1,1.0,100.0,0.0,0.0,0.4052194617386388,0.1953125,0.5959229213946537,true,11,-1.4405999550692643,0.5,0.5,0.098618015,0.0,5
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4052178545886185,0.1953125,0.5958811006605558,true,11,-1.4241797391031203,0.5,0.5,0.089989798,0.0,5
128,0.0,1.3,1.0,100.0,0.0,0.0,0.40521609397921,0.1953125,0.5958332141589029,true,11,-1.4077596596939537,0.5,0.5,0.096436813,0.0,5
128,0.0,1.4,1.0,100.0,0.0,0.0,0.40521416066596117,0.1953125,0.5957782653486232,true,11,-1.3913397300732768,0.5,0.5,0.099282952,0.0,5
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4052120324529086,0.1953125,0.5957150712544435,true,11,-1.374919965154368,0.5,0.5,0.092499955,0.0,5
128,0.0,1.6,1.0,100.0,0.0,0.0,0.4052096836619634,0.1953125,0.5956422231884195,true,11,-1.3585003817934385,0.5,0.5,0.090586044,0.0,5
128,0.0,1.7,1.0,100.0,0.0,0.0,0.40520708449241905,0.1953125,0.5955580381680203,true,11,-1.3420809990983467,0.5,0.5,0.093019815,0.0,5
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40520420024433457,0.1953125,0.5954604985219936,true,11,-1.3256618387948427,0.5,0.5,0.099308635,0.0,5
128,0.0,1.9,1.0,100.0,0.0,0.0,0.4052009903722399,0.1953125,0.5953471764026386,true,11,-1.3092429256627542,0.5,0.5,0.100391557,0.0,5
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40519740732591136,0.1953125,0.5952151388667337,true,11,-1.2928242880576482,0.5,0.5,0.094943845,0.0,5
128,0.0,2.1,1.0,100.0,0.0,0.0,0.40519339512196517,0.1953125,0.595060827728533,true,11,-1.276405958537512,0.5,0.5,0.093409316,0.0,5
128,0.0,2.2,1.0,100.0,0.0,0.0,0.40518888757240074,0.1953125,0.5948799063700827,true,11,-1.259987974619314,0.5,0.5,0.093123473,0.0,5
128,0.0,2.3,1.0,100.0,0.0,0.0,0.4051838060720738,0.1953125,0.5946670628393935,true,11,-1.2435703796972268,0.5,0.5,0.100696319,0.0,5
128,0.0,2.4,1.0,100.0,0.0,0.0,0.40517805681356767,0.1953125,0.5944157545095807,true,11,-1.2271532241636174,0.5,0.5,0.094893551,0.0,5
128,0.0,2.5,1.0,100.0,0.0,0.0,0.4051715272508214,0.1953125,0.5941178736892372,true,11,-1.2107365667864745,0.5,0.5,0.09396441,0.0,5
128,0.0,2.6,1.0,100.0,0.0,0.0,0.4051640815657541,0.1953125,0.5937633049688529,true,11,-1.1943204764140893,0.5,0.5,0.094347765,0.0,5
128,0.0,2.7,1.0,100.0,0.0,0.0,0.4051555547951131,0.1953125,0.5933393322709035,true,11,-1.1779050341016433,0.5,0.5,0.101712554,0.0,5
128,0.0,2.8,1.0,100.0,0.0,0.0,0.40514574513246127,0.1953125,0.5928298342341431,true,11,-1.1614903357877957,0.5,0.5,0.094896445,0.0,5
128,0.0,2.9,1.0,100.0,0.0,0.0,0.40513440370814546,0.1953125,0.592214176895256,true,11,-1.145076495697126,0.5,0.5,0.090503702,0.0,5
128,0.0,3.0,1.0,100.0,0.0,0.0,0.4051212208288287,0.1953125,0.5914656663746909,true,11,-1.1286636507135208,0.5,0.5,0.097865053,0.0,5
128,0.0,3.1,1.0,100.0,0.0,0.0,0.40510580716303346,0.1953125,0.5905493509490434,true,11,-1.1122519660716736,0.5,0.5,0.09911853,0.0,5
128,0.0,3.2,1.0,100.0,0.0,0.0,0.40508766758196735,0.1953125,0.5894188435404679,true,11,-1.0958416428670885,0.5,0.5,0.098565407,0.0,5
128,0.0,3.3,1.0,100.0,0.0,0.0,0.4050661641211004,0.1953125,0.5880116410572622,true,11,-1.079432928119247,0.5,0.5,0.092115498,0.0,5
128,0.0,3.4,1.0,100.0,0.0,0.0,0.4050404624954076,0.1953125,0.5862420906681542,true,11,-1.063026128488099,0.5,0.5,0.107533181,0.0,5
128,0.0,3.5,1.0,100.0,0.0,0.0,0.4050094532034747,0.1953125,0.5839905940616674,true,11,-1.0466216293264285,0.5,0.5,0.098328573,0.0,5
128,0.0,3.6,1.0,100.0,0.0,0.0,0.40497163243241385,0.1953125,0.5810866611165588,true,11,-1.030219921700335,0.5,0.5,0.093945541,0.0,5
128,0.0,3.7,1.0,100.0,0.0,0.0,0.40492491771466366,0.1953125,0.5772816654445734,true,11,-1.0138216415980312,0.5,0.5,0.093917586,0.0,5
128,0.0,3.8,1.0,100.0,0.0,0.0,0.4048663546386134,0.1953125,0.5722039141574653,true,11,-0.9974276282769855,0.5,0.5,0.103145832,0.0,5
128,0.0,3.9,1.0,100.0,0.0,0.0,0.4047916358291941,0.1953125,0.5652825225308522,true,11,-0.9810390135389696,0.5,0.5,0.093729064,0.0,5
128,0.0,4.0,1.0,100.0,0.0,0.0,0.4046942848542031,0.1953125,0.5556147660272792,true,11,-0.9646573625999213,0.5,0.5,0.096116218,0.0,5
128,0.0,4.1,1.0,100.0,0.0,0.0,0.40456421824996336,0.1953125,0.5417285604047972,true,11,-0.9482849041224252,0.5,0.5,0.095033013,0.0,5
128,0.0,4.2,1.0,100.0,0.0,0.0,0.40438510381805576,0.1953125,0.5211480822673309,true,11,-0.9319249204225913,0.5,0.5,0.095539857,0.0,5
128,0.0,4.3,1.0,100.0,0.0,0.0,0.40412928982825413,0.1953125,0.48959931737446727,true,11,-0.9155824374494387,0.5,0.5,0.097345503,0.0,5
128,0.0,4.4,1.0,100.0,0.0,0.0,0.4037600918775883,0.390625,0.928975469330684,true,10,-0.8992654998609514,0.5,0.5,0.083897138,0.0,5
128,0.0,4.5,1.0,100.0,0.0,0.0,0.4031670816771985,0.390625,0.7901797771637797,true,10,-0.8829875986527825,0.5,0.5,0.089551848,0.0,5
128,0.0,4.6,1.0,100.0,0.0,0.0,0.40218485906411716,0.390625,0.5629616263571613,true,10,-0.8667723507146089,0.5,0.5,0.088952226,0.0,5
128,0.0,4.7,1.0,100.0,0.0,0.0,0.4005612772168897,0.78125,0.7235759569783617,true,9,-0.850661722700079,0.5,0.5,0.082108429,0.0,5
128,0.0,4.8,1.0,100.0,0.0,0.0,0.39773995071413937,0.78125,0.08494643227652254,true,9,-0.8347254398810954,0.5,0.5,0.07961556,0.0,5
128,0.0,4.9,1.0,100.0,0.0,0.0,0.39367032061214835,0.78125,0.024157316829587216,true,9,-0.8190590687913595,0.5,0.5,0.082536326,0.0,5
128,0.0,5.0,1.0,100.0,0.0,0.0,0.388187167682568,0.0244140625,0.9770552470144134,true,14,-0.803758663628389,0.5,0.5,0.128074629,0.0,5
128,0.0,5.1,1.0,100.0,0.0,0.0,0.382871562403989,0.0,0.361300834074596,true,6,-0.7888826014649291,0.25,0.5,0.056666056,0.0,5
128,0.0,5.2,1.0,100.0,0.0,0.0,0.37680714079721045,8.271806125530277e-23,0.48705967993023513,true,82,-0.7744677884182566,0.5,0.5,0.719046511,0.0,5
128,0.0,5.3,1.0,100.0,0.0,0.0,0.3700892605935596,0.0,0.6294480716594331,true,9,-0.7605203864993082,0.125,0.25,0.08513162,0.0,5
128,0.0,5.4,1.0,100.0,0.0,0.0,0.36459676607231684,0.0,0.9487828807298593,true,13,-0.7470408536688121,0.125,0.25,0.099146192,0.0,5
128,0.0,5.5,1.0,100.0,0.0,0.0,0.35847377611180486,0.0,0.9243622683003938,true,15,-0.7340046841181368,0.125,0.25,0.111963499,0.0,5
128,0.0,5.6,1.0,100.0,0.0,0.0,0.3519074379342304,0.0,0.2987406644945345,true,11,-0.7213856505226802,0.0625,0.125,0.086060648,0.0,5
128,0.0,5.7,1.0,100.0,0.0,0.0,0.3466260525883863,0.0,0.9046650841429971,true,12,-0.7092188239372923,0.0625,0.125,0.082450693,0.0,5
128,0.0,5.8,1.0,100.0,0.0,0.0,0.3400300243649115,0.0,0.9725979023172959,true,11,-0.6974353797177093,0.0625,0.125,0.078604602,0.0,5
128,0.0,5.9,1.0,100.0,0.0,0.0,0.3345609706671515,0.0,0.8113830020860524,true,16,-0.6860253057702734,0.0625,0.125,0.111991702,0.0,5
128,0.0,6.0,1.0,100.0,0.0,0.0,0.32988486376206116,0.0,0.6652070030057633,true,48,-0.6749835411797387,0.25,0.5,0.344011766,0.0,5
128,0.0,6.1,1.0,100.0,0.0,0.0,0.32425625050118245,0.0,0.14957364949086394,true,5,-0.6642759868365073,0.03125,0.0625,0.800722952,0.0,5
128,0.0,6.2,1.0,100.0,0.0,0.0,0.3196196639189899,0.0,0.7704771202869942,true,88,-0.6539554366743758,0.125,0.25,0.659854549,0.0,5
