x_d,y_d
0.0,0.3
0.01,0.3
0.02,0.3
0.03,0.3
0.04,0.3
0.05,0.4
0.05,0.4
0.06,0.4
0.07,0.4
0.08,0.4
0.09,0.5
0.09,0.5
0.1,0.5
0.11,0.5
0.12,0.5
0.13,0.6
0.13,0.6
0.14,0.6
0.15,0.6
0.16,0.7
0.16,0.7
0.17,0.7
0.18,0.7
0.19,0.8
0.19,0.8
0.2,0.8
0.21,0.8
0.22,0.9
0.22,0.9
0.23,0.9
0.24,1.0
0.24,1.0
0.25,1.0
0.26,1.1
0.26,1.1
0.27,1.1
0.28,1.2
0.28,1.2
0.29,1.3
0.29,1.3
0.3,1.4
0.3,1.4
0.31,1.5
0.31,1.5
0.32,1.5
0.33,1.6
0.33,1.6
0.34,1.7
0.34,1.8
0.34,1.8
0.35,1.9
0.35,2.0
0.35,2.1
0.35,2.2
0.35,2.3
0.35,2.4
0.35,2.4
0.36,2.5
0.36,2.6
0.36,2.6
0.37,2.7
0.37,2.8
0.37,2.9
0.37,2.9
0.38,3.0
0.38,3.0
0.39,3.1
0.39,3.2
0.39,3.3
0.39,3.3
0.4,3.4
0.4,3.5
0.4,3.5
0.41,3.6
0.41,3.7
0.41,3.7
0.42,3.8
0.42,3.9
0.42,4.0
0.42,4.1
0.42,4.1
0.43,4.2
0.43,4.3
0.43,4.3
0.44,4.4
0.44,4.5
0.44,4.6
0.44,4.7
0.44,4.7
0.45,4.8
0.45,4.9
0.45,5.0
0.45,5.0
0.46,5.1
0.46,5.2
0.46,5.3
0.46,5.4
0.46,5.5
0.46,5.6
0.46,5.7
0.46,5.8
0.46,5.9
0.46,6.0
0.46,6.1
0.46,6.2
0.46,6.3
0.46,6.4
0.46,6.5
0.46,6.6
0.46,6.7
0.46,6.8
0.46,6.9
0.46,7.0
0.46,7.1
0.46,7.2
0.46,7.3
0.46,7.4
0.46,7.5
0.46,7.6
0.46,7.7
0.46,7.8
0.46,7.9
0.46,8.0
