x_m,y_m
0.0,3.0
0.01,3.0
0.02,3.0
0.03,3.0
0.04,3.0
0.05,3.0
0.06,3.0
0.07,3.0
0.08,3.0
0.09,3.0
0.1,3.0
0.11,3.0
0.12,3.0
0.13,3.0
0.14,3.0
0.15,3.0
0.15,3.0
0.16,2.9
0.17,2.9
0.18,2.9
0.19,2.9
0.2,2.9
0.21,2.9
0.21,2.9
0.22,2.8
0.23,2.8
0.24,2.8
0.25,2.8
0.25,2.8
0.26,2.7
0.27,2.7
0.28,2.7
0.28,2.7
0.29,2.6
0.3,2.6
0.3,2.6
0.31,2.5
0.31,2.5
0.32,2.4
0.32,2.4
0.33,2.3
0.33,2.3
0.33,2.2
0.33,2.1
0.33,2.0
0.34,1.9
0.35,2.0
0.35,2.1
0.35,2.2
0.35,2.3
0.35,2.4
0.35,2.4
0.36,2.5
0.36,2.6
0.36,2.6
0.37,2.7
0.37,2.8
0.37,2.9
0.37,2.9
0.38,3.0
0.38,3.0
0.39,3.1
0.39,3.2
0.39,3.3
0.39,3.3
0.4,3.4
0.4,3.5
0.4,3.5
0.41,3.6
0.41,3.7
0.41,3.7
0.42,3.8
0.42,3.9
0.42,4.0
0.42,4.1
0.42,4.1
0.43,4.2
0.43,4.3
0.43,4.3
0.44,4.4
0.44,4.5
0.44,4.6
0.44,4.7
0.44,4.7
0.45,4.8
0.45,4.9
0.45,5.0
0.45,5.0
0.46,5.1
0.46,5.2
0.46,5.3
0.46,5.4
0.46,5.5
0.46,5.6
0.46,5.7
0.46,5.8
0.46,5.9
0.46,6.0
0.46,6.1
0.46,6.2
0.46,6.3
0.46,6.4
0.46,6.5
0.46,6.6
0.46,6.7
0.46,6.8
0.46,6.9
0.46,7.0
0.46,7.1
0.46,7.2
0.46,7.3
0.46,7.4
0.46,7.5
0.46,7.6
0.46,7.7
0.46,7.8
0.46,7.9
0.46,8.0
