x_s,y_s
0.0,3.0
0.01,3.0
0.02,3.0
0.03,3.0
0.04,3.0
0.05,3.0
0.06,3.0
0.07,3.0
0.08,3.0
0.09,3.0
0.1,3.0
0.11,3.0
0.12,3.0
0.13,3.0
0.14,3.0
0.15,3.0
0.15,3.0
0.16,2.9
0.17,2.9
0.18,2.9
0.19,2.9
0.2,2.9
0.21,2.9
0.21,2.9
0.22,2.8
0.23,2.8
0.24,2.8
0.25,2.8
0.25,2.8
0.26,2.7
0.27,2.7
0.28,2.7
0.28,2.7
0.29,2.6
0.3,2.6
0.3,2.6
0.31,2.5
0.31,2.5
0.32,2.4
0.32,2.4
0.33,2.3
0.33,2.3
0.33,2.2
0.33,2.1
0.33,2.0
0.34,1.9
0.34,1.9
0.35,1.8
0.36,1.8
0.37,1.8
0.37,1.8
0.38,1.7
0.39,1.7
0.39,1.7
0.4,1.6
0.41,1.6
0.42,1.6
0.42,1.6
0.43,1.5
0.44,1.5
0.45,1.5
0.45,1.5
0.46,1.4
0.47,1.4
0.48,1.4
0.49,1.4
